gbif_id,taxon_name,decimal_latitude,decimal_longitude
699209230,Tayassu pecari,-25.67501,-54.49128
919427039,Tayassu pecari,0.05978,-79.12227
699209227,Tayassu pecari,-25.59643,-54.16259
919420717,Tayassu pecari,0.70455,-79.24207
784017103,Tayassu pecari,-24.45,-55.65
686441505,Tayassu pecari,9.3970670168332,-82.5042412803957
1891348350,Tayassu pecari,-15.813766,-52.374626
699209233,Tayassu pecari,-25.69141,-54.48111
919417609,Tayassu pecari,0.333,-79.467
699209238,Tayassu pecari,-25.62967,-54.50596
1891348391,Tayassu pecari,-15.843339,-52.325693
1839257810,Tayassu pecari,-24.243944,-50.455311
382067055,Tayassu pecari,-25.86364,-58.8854
891132459,Tayassu pecari,-21.390044,-56.125544
699209231,Tayassu pecari,-25.68408,-54.44669
1847544707,Tayassu pecari,-22.579827,-49.617844
699209226,Tayassu pecari,-25.56084,-54.13884
371698466,Tayassu pecari,18.833,-87.667
699209232,Tayassu pecari,-25.71336,-54.44145
1891348360,Tayassu pecari,-15.912951,-52.368751
919426808,Tayassu pecari,0.04977,-79.56108
233881228,Tayassu pecari,-26.79596,-59.62628
699209234,Tayassu pecari,-25.69113,-54.45676
699209236,Tayassu pecari,-25.66061,-54.50073
699209212,Tayassu pecari,-23.65902,-64.57689
1891348333,Tayassu pecari,-15.820528,-52.240297
699209228,Tayassu pecari,-25.62943,-54.55304
665885598,Tayassu pecari,6.966667,-72
233881310,Tayassu pecari,-25.60398,-54.54579
919424741,Tayassu pecari,0.39638,-79.47747
699209229,Tayassu pecari,-25.68264,-54.44808
665717800,Tayassu pecari,7.05,-72.166667
665817264,Tayassu pecari,-21.666666,-49.75
699209223,Tayassu pecari,-25.62697,-54.54789
382067057,Tayassu pecari,-26.66935,-60.82363
699209235,Tayassu pecari,-25.67946,-54.45628
919431388,Tayassu pecari,0.25,-79.8333
1881834567,Tayassu pecari,4.92877,-52.57826
1881834864,Tayassu pecari,5.64784,-53.75317
859448655,Tayassu pecari,-16.466667,-63.133333
