gbif_id,taxon_name,decimal_latitude,decimal_longitude
1878205563,Capra ibex,45.57649,6.91243
1802770101,Capra ibex,45.464796,7.148902
1038564629,Capra ibex,45.493835,7.363265
1272092921,Capra ibex,45.457105,7.058576
1806355092,Capra ibex,45.503,7.195
1920813139,Capra ibex,45.51329,7.218086
1877733696,Capra ibex,45.48655,6.90609
1088979336,Capra ibex,45.578484,7.355347
1861635416,Capra ibex,45.39661,6.89977
1211987153,Capra ibex,45.616643,7.32259
1891325707,Capra ibex,45.401964,7.121403
1831224115,Capra ibex,45.453617,7.183374
1088961862,Capra ibex,45.508271,7.193298
1269584185,Capra ibex,45.303253,7.183063
1453151620,Capra ibex,45.548731,7.129875
920873392,Capra ibex,45.510887,7.173461
1838026718,Capra ibex,45.552917,7.018052
1836643761,Capra ibex,45.514367,7.159549
1841248817,Capra ibex,45.311009,7.242168
1571085382,Capra ibex,45.463497,7.13228
1640071648,Capra ibex,45.584532,7.284188
1500341047,Capra ibex,45.454584,7.183765
1861642781,Capra ibex,45.58087,6.78435
1883515017,Capra ibex,45.475731,7.144266
1861636207,Capra ibex,45.21675,6.88719
1453151599,Capra ibex,45.577599,7.269273
1890699684,Capra ibex,45.282649,7.138726
1571094576,Capra ibex,45.327663,6.916612
1891327626,Capra ibex,45.400546,7.185307
1453289031,Capra ibex,45.346808,6.831491
1805415768,Capra ibex,45.280909,7.176046
1291093271,Capra ibex,45.45771,7.316895
1861633584,Capra ibex,45.3921,7.02741
1881963112,Capra ibex,45.38743,7.15504
1837774477,Capra ibex,45.36317,7.22203
1877830543,Capra ibex,45.30217,7.02091
1878144635,Capra ibex,45.48203,7.03394
1861636229,Capra ibex,45.30668,6.89347
1802770098,Capra ibex,45.46722,7.150624
1703210062,Capra ibex,45.527211,7.16701
1671730459,Capra ibex,45.395783,7.15863
1878316212,Capra ibex,45.29751,7.14833
1802688214,Capra ibex,45.459523,7.184248
1802769838,Capra ibex,45.450108,7.188087
1831165193,Capra ibex,45.246558,6.833771
1861634009,Capra ibex,45.21224,7.01442
1038555936,Capra ibex,44.077229,7.459373
1837071449,Capra ibex,45.963607,6.783543
1453408960,Capra ibex,46.625187,8.096622
1831098527,Capra ibex,46.741006,7.926628
1038561485,Capra ibex,46.479008,10.461044
1877851266,Capra ibex,44.21862,7.06946
1621799629,Capra ibex,46.076386,7.371161
920869970,Capra ibex,47.352779,11.318665
1914356405,Capra ibex,45.879871,7.850082
1877535775,Capra ibex,44.02932,7.30576
1703168004,Capra ibex,46.4081,11.8218
1871146061,Capra ibex,44.02435,7.43031
1881917410,Capra ibex,44.11919,7.31257
245352872,Capra ibex,44.1219,7.28717
1898788305,Capra ibex,44.835198,7.035043
920942176,Capra ibex,47.039257,11.409492
472902723,Capra ibex,44.1771,7.34993
472902718,Capra ibex,44.17,7.34598
1890721138,Capra ibex,46.0058,6.8001
1914257428,Capra ibex,47.021832,11.372394
1863700243,Capra ibex,44.11421,7.43731
1847605806,Capra ibex,44.127721,7.417515
1837071399,Capra ibex,45.96313,6.780796
472902717,Capra ibex,44.1699,7.34595
472902720,Capra ibex,44.1738,7.34836
1883514264,Capra ibex,46.062565,9.960242
1092891222,Capra ibex,46.480546,10.431862
1863951947,Capra ibex,45.76502,6.66817
1836655540,Capra ibex,46.443062,10.50293
1914356404,Capra ibex,46.471853,9.980561
1579908976,Capra ibex,44.109283,7.461691
1881067555,Capra ibex,46.30472,6.70437
1878359097,Capra ibex,45.31934,6.51104
1869530820,Capra ibex,45.32327,6.38352
1852969235,Capra ibex,44.10908,7.56203
920923085,Capra ibex,47.313225,11.395912
1913673145,Capra ibex,46.499378,7.711167
920946617,Capra ibex,46.72633,7.801495
1586942349,Capra ibex,45.878367,7.838615
1676785795,Capra ibex,47.295589,10.668755
1871154306,Capra ibex,44.21392,7.19444
1899857951,Capra ibex,47.200367,10.478222
1890700057,Capra ibex,45.878392,7.86948
1586076349,Capra ibex,46.874157,9.111357
1877633314,Capra ibex,45.86688,6.28787
472902722,Capra ibex,44.1781,7.34951
1668846312,Capra ibex,44.102322,7.360501
1890721186,Capra ibex,45.988721,6.751945
1668846362,Capra ibex,44.085221,7.472297
237350903,Capra ibex,44.1163,7.36029
920942378,Capra ibex,46.723152,7.895737
1899769355,Capra ibex,46.331694,8.241031
472902719,Capra ibex,44.1721,7.34806
345746899,Capra ibex,44.1271,7.48363
1676808020,Capra ibex,46.989124,10.829773
472902721,Capra ibex,44.1755,7.34939
1914358940,Capra ibex,46.04446,7.305833
1668846341,Capra ibex,44.089437,7.4013
1877425819,Capra ibex,44.12404,7.18781
1877430275,Capra ibex,44.22761,6.81943
1453408961,Capra ibex,46.624997,8.095356
1676777319,Capra ibex,46.431393,8.094419
1877331924,Capra ibex,44.01923,7.55483
1621799539,Capra ibex,46.625076,8.096605
1668846315,Capra ibex,44.088867,7.401946
1883513771,Capra ibex,46.038544,9.910605
932770854,Capra ibex,46.710442,7.777977
