gbif_id,taxon_name,decimal_latitude,decimal_longitude
35955800,Bos taurus primigenius,16.25,33.75
35955723,Bos taurus primigenius,24.7667,32.95
35957324,Bos taurus primigenius,26.1214,32.4736
35956794,Bos taurus primigenius,31.8692,-8.8744
35956303,Bos taurus primigenius,32.55,35.12
1057637628,Bos taurus primigenius,32.67,35.08
35955732,Bos taurus primigenius,34.4356,-6.814
35956317,Bos taurus primigenius,35.1333,36.75
35957402,Bos taurus primigenius,35.15,38.82
35955716,Bos taurus primigenius,35.75,-5.9167
35956554,Bos taurus primigenius,38.2792,31.9139
35956902,Bos taurus primigenius,40.3833,18.1833
35956813,Bos taurus primigenius,40.55,14.22
35956809,Bos taurus primigenius,41.0186,28.9647
35957030,Bos taurus primigenius,43.7656,7.4589
35956853,Bos taurus primigenius,45.55,11.55
35956819,Bos taurus primigenius,45.65,0.15
35956863,Bos taurus primigenius,45.7264,13.7294
35956861,Bos taurus primigenius,45.7364,13.7486
35956637,Bos taurus primigenius,49.7386,84.2719
35956948,Bos taurus primigenius,50.95,11.38
35956953,Bos taurus primigenius,50.97,11.3497
146104377,Bos taurus primigenius,52.495,1.5342
1059584665,Bos taurus primigenius,53.337777,83.773888
1990346037,Bos taurus primigenius,55.829822,46.088897
893379854,Bos taurus primigenius,57.733333,25.233333
1059584671,Bos taurus primigenius,57.793195,25.154259
415709779,Bos taurus primigenius,58.018333,25.879167
