"","gbif_id","taxon_name","decimal_latitude","decimal_longitude"
"1",1943708149,"Capra_hircus_aegagrus",29.59,52.53
"6182",1851310532,"Capra_hircus_aegagrus",36.599998,30.566668
"6183",1211831574,"Capra_hircus_aegagrus",29.6333,52.6333
"6184",1039516925,"Capra_hircus_aegagrus",36.6,29.7667
"6185",686492871,"Capra_hircus_aegagrus",37.3333,56.11666
"6186",665916092,"Capra_hircus_aegagrus",34.546291,47.064999
"6187",665916061,"Capra_hircus_aegagrus",28.8153,51.208401
"6188",665915396,"Capra_hircus_aegagrus",26.7652,54.6189
"6189",665915395,"Capra_hircus_aegagrus",34.573101,46.757599
"6190",665915394,"Capra_hircus_aegagrus",27.269301,54.3265
"6191",665915393,"Capra_hircus_aegagrus",28.51639,53.554169
"6192",665915392,"Capra_hircus_aegagrus",27.264099,54.332199
"6194",665915390,"Capra_hircus_aegagrus",27.15889,57.040829
"6195",665914337,"Capra_hircus_aegagrus",36.116699,51.4333
"6196",665914308,"Capra_hircus_aegagrus",37.48333,56.716671
"6197",665914295,"Capra_hircus_aegagrus",36.171108,54.349171
"6198",665914289,"Capra_hircus_aegagrus",28.897499,51.301701
"6199",665914038,"Capra_hircus_aegagrus",29.614719,52.538609
"6200",665914015,"Capra_hircus_aegagrus",28.9077,51.313301
"6201",665905039,"Capra_hircus_aegagrus",33.620392,53.938042
"6204",665903105,"Capra_hircus_aegagrus",33.254902,51.795502
"6205",665895805,"Capra_hircus_aegagrus",36.683334,44.583332
"6208",665892942,"Capra_hircus_aegagrus",36.333332,44.383335
"6209",665892734,"Capra_hircus_aegagrus",28.896669,51.293331
"6210",665884995,"Capra_hircus_aegagrus",34.314171,47.064999
"6211",665884242,"Capra_hircus_aegagrus",33.308998,51.859901
"6215",665883788,"Capra_hircus_aegagrus",36.75,44.166668
"6216",665848144,"Capra_hircus_aegagrus",36.766666,44.349999
"6218",665822441,"Capra_hircus_aegagrus",27.502501,54.285561
"6220",665822132,"Capra_hircus_aegagrus",36.626999,43.80357
"6228",665753167,"Capra_hircus_aegagrus",36.549999,44.349999
"6232",665736952,"Capra_hircus_aegagrus",34.542,47.0667
"6234",665731956,"Capra_hircus_aegagrus",39.314098,44.556198
"6236",665731486,"Capra_hircus_aegagrus",28.251671,53.982781
"6238",665728113,"Capra_hircus_aegagrus",34.544498,47.180401
"6241",665722920,"Capra_hircus_aegagrus",39.286671,44.558609
"6245",476848857,"Capra_hircus_aegagrus",36.736014,44.390326
