"","gbif_id","taxon_name","decimal_latitude","decimal_longitude"
"1",1990593807,"Lama_glama_guanicoe",-50.980343,-72.764435
"2",1990566091,"Lama_glama_guanicoe",-53.182945,-69.282936
"3",1990556566,"Lama_glama_guanicoe",-46.872203,-70.224092
"5",1990486258,"Lama_glama_guanicoe",-51.005546,-72.842054
"7",1986626409,"Lama_glama_guanicoe",-42.629804,-64.191275
"8",1986625937,"Lama_glama_guanicoe",-42.628104,-64.206254
"10",1986625399,"Lama_glama_guanicoe",-42.630414,-64.201937
"14",1986624198,"Lama_glama_guanicoe",-53.415312,-68.129085
"15",1986621637,"Lama_glama_guanicoe",-52.142153,-69.519961
"16",1986621380,"Lama_glama_guanicoe",-30.65371,-71.684147
"17",1986621362,"Lama_glama_guanicoe",-26.245364,-70.614434
"18",1986620369,"Lama_glama_guanicoe",-51.27,-72.37
"19",1986615782,"Lama_glama_guanicoe",-47.859555,-66.390651
"20",1986615744,"Lama_glama_guanicoe",-47.768678,-66.194965
"21",1986615503,"Lama_glama_guanicoe",-47.881436,-66.655434
"22",1986604678,"Lama_glama_guanicoe",-32.754679,-69.056301
"23",1986576951,"Lama_glama_guanicoe",-47.1153,-72.484409
"24",1986574863,"Lama_glama_guanicoe",-46.896389,-71.251667
"25",1978837059,"Lama_glama_guanicoe",-50.992761,-72.802884
"27",1948744292,"Lama_glama_guanicoe",-51.314305,-72.845159
"28",1946332099,"Lama_glama_guanicoe",-50.938865,-72.733875
"29",1945445782,"Lama_glama_guanicoe",-51.107129,-73.048587
"31",1935605309,"Lama_glama_guanicoe",-26.066915,-65.846828
"32",1935601785,"Lama_glama_guanicoe",-50.974461,-72.722791
"33",1933592462,"Lama_glama_guanicoe",-48.625107,-70.696707
"35",1932343222,"Lama_glama_guanicoe",-42.660856,-63.835883
"36",1932342979,"Lama_glama_guanicoe",-42.462633,-64.414416
"37",1914210240,"Lama_glama_guanicoe",-21.928159,-68.86945
"38",1913665390,"Lama_glama_guanicoe",-26.073535,-70.53299
"39",1913183574,"Lama_glama_guanicoe",-29.7,-67.5833
"40",1898830125,"Lama_glama_guanicoe",-51.269984,-72.363087
"41",1898828770,"Lama_glama_guanicoe",-50.942326,-73.406788
"42",1890052292,"Lama_glama_guanicoe",-53.801827,-67.672119
"43",1890049507,"Lama_glama_guanicoe",-50.972751,-72.875834
"44",1883940087,"Lama_glama_guanicoe",-49.93464,-72.04917
"45",1883908136,"Lama_glama_guanicoe",-49.995823,-72.166786
"46",1880577801,"Lama_glama_guanicoe",-30.149877,-67.964859
"47",1850973982,"Lama_glama_guanicoe",-30.645572,-71.66879
"48",1847588551,"Lama_glama_guanicoe",-53.85901,-67.87903
"49",1847578108,"Lama_glama_guanicoe",-29.291181,-71.327285
"50",1838353175,"Lama_glama_guanicoe",-28.302053,-70.77638
"51",1837778721,"Lama_glama_guanicoe",-25.238539,-65.879619
"52",1837735899,"Lama_glama_guanicoe",-49.99207,-72.163696
"53",1837100336,"Lama_glama_guanicoe",-29.303197,-71.310197
"54",1837080711,"Lama_glama_guanicoe",-49.509495,-70.13689
"55",1837080688,"Lama_glama_guanicoe",-49.923046,-72.084389
"56",1837080677,"Lama_glama_guanicoe",-49.505816,-70.151653
"57",1837080617,"Lama_glama_guanicoe",-49.80653,-72.072201
"58",1837080605,"Lama_glama_guanicoe",-49.99185,-72.16404
"59",1837080535,"Lama_glama_guanicoe",-49.923046,-72.081127
"60",1836744157,"Lama_glama_guanicoe",-51.067104,-73.001915
"61",1836666432,"Lama_glama_guanicoe",-51.0034,-72.959605
"63",1836645730,"Lama_glama_guanicoe",-32.53251,-67.052307
"65",1836573905,"Lama_glama_guanicoe",-29.319482,-71.230373
"66",1831224749,"Lama_glama_guanicoe",-32.751766,-69.057484
"67",1831172716,"Lama_glama_guanicoe",-28.187657,-71.152546
"68",1831172472,"Lama_glama_guanicoe",-29.328911,-71.236382
"69",1831097657,"Lama_glama_guanicoe",-34.193995,-69.694038
"70",1831097495,"Lama_glama_guanicoe",-34.245033,-69.479286
"71",1807909087,"Lama_glama_guanicoe",-51.117317,-72.81189
"72",1807883180,"Lama_glama_guanicoe",-47.493633,-70.940849
"73",1807324525,"Lama_glama_guanicoe",-47.15,-70.666666
"74",1807305586,"Lama_glama_guanicoe",-52.313943,-69.617038
"75",1806351235,"Lama_glama_guanicoe",-29.835339,-69.931841
"76",1806351213,"Lama_glama_guanicoe",-29.867443,-70.043893
"77",1806351148,"Lama_glama_guanicoe",-29.808215,-70.023122
"78",1805375362,"Lama_glama_guanicoe",-52.196882,-69.482931
"79",1802764443,"Lama_glama_guanicoe",-50.983505,-72.877808
"80",1802667161,"Lama_glama_guanicoe",-29.802779,-70.043764
"81",1802666838,"Lama_glama_guanicoe",-28.347899,-70.768433
"82",1702484232,"Lama_glama_guanicoe",-18.175826,-69.500029
"83",1702481456,"Lama_glama_guanicoe",-18.166405,-69.434517
"84",1677326550,"Lama_glama_guanicoe",-50.990139,-72.799694
"85",1671721888,"Lama_glama_guanicoe",-50.99864,-72.790355
"87",1640056326,"Lama_glama_guanicoe",-41.676576,-65.328484
"88",1640056274,"Lama_glama_guanicoe",-22.83225,-68.321228
"89",1586954753,"Lama_glama_guanicoe",-47.124562,-72.493532
"90",1586105517,"Lama_glama_guanicoe",-51.012891,-72.825417
"91",1580505705,"Lama_glama_guanicoe",-36.883237,-73.147712
"92",1580485647,"Lama_glama_guanicoe",-51.060208,-72.975845
"93",1580131250,"Lama_glama_guanicoe",-42.484631,-64.341171
"94",1580130693,"Lama_glama_guanicoe",-42.468361,-64.664413
"96",1562926137,"Lama_glama_guanicoe",-25.234353,-65.947628
"98",1562881483,"Lama_glama_guanicoe",-50.872827,-73.295288
"99",1510971729,"Lama_glama_guanicoe",-28.246337,-71.143302
"100",1510971567,"Lama_glama_guanicoe",-27.944628,-70.51909
"101",1510971528,"Lama_glama_guanicoe",-28.147892,-70.950274
"103",1510971208,"Lama_glama_guanicoe",-47.109593,-73.436663
"104",1510970446,"Lama_glama_guanicoe",-47.063861,-72.31681
"106",1510970428,"Lama_glama_guanicoe",-47.056465,-72.196019
"107",1510970420,"Lama_glama_guanicoe",-47.069372,-72.358091
"108",1510970386,"Lama_glama_guanicoe",-47.114191,-72.476988
"109",1510970382,"Lama_glama_guanicoe",-47.117274,-72.48947
"110",1510970345,"Lama_glama_guanicoe",-47.115388,-72.482296
"111",1510970145,"Lama_glama_guanicoe",-29.322901,-71.234174
"112",1510969485,"Lama_glama_guanicoe",-52.652118,-71.462149
"113",1510969440,"Lama_glama_guanicoe",-50.875904,-72.734595
"114",1510969428,"Lama_glama_guanicoe",-51.00772,-72.84594
"115",1510968015,"Lama_glama_guanicoe",-18.267204,-69.597931
"116",1510964176,"Lama_glama_guanicoe",-27.838244,-70.524603
"117",1510964129,"Lama_glama_guanicoe",-28.153304,-71.008293
"118",1510960872,"Lama_glama_guanicoe",-34.534556,-70.42365
"119",1510959977,"Lama_glama_guanicoe",-34.535218,-70.426503
"120",1457602583,"Lama_glama_guanicoe",-37.995622,-65.592155
"122",1457600590,"Lama_glama_guanicoe",-42.631889,-64.207855
"123",1457596347,"Lama_glama_guanicoe",-42.528587,-63.879015
"124",1453548358,"Lama_glama_guanicoe",-23.983743,-66.20636
"126",1453307523,"Lama_glama_guanicoe",-27.723973,-68.140247
"127",1453228368,"Lama_glama_guanicoe",-50.965563,-72.832661
"128",1453228277,"Lama_glama_guanicoe",-51.087135,-73.12706
"129",1453208474,"Lama_glama_guanicoe",-30.948278,-69.082994
"130",1453208441,"Lama_glama_guanicoe",-31.239795,-69.62513
"131",1453207464,"Lama_glama_guanicoe",-30.832819,-69.057871
"132",1453207431,"Lama_glama_guanicoe",-30.909707,-69.079278
"133",1453207421,"Lama_glama_guanicoe",-30.873823,-69.068779
"134",1453207398,"Lama_glama_guanicoe",-29.000127,-67.733803
"135",1453207371,"Lama_glama_guanicoe",-30.928019,-69.081584
"136",1453207370,"Lama_glama_guanicoe",-30.948157,-69.083489
"137",1453206235,"Lama_glama_guanicoe",-27.221344,-68.108726
"138",1453053434,"Lama_glama_guanicoe",-51.485659,-72.720909
"139",1338932128,"Lama_glama_guanicoe",-51.137138,-72.979431
"140",1323026628,"Lama_glama_guanicoe",-42.549034,-63.627319
"144",1265898724,"Lama_glama_guanicoe",-50.952495,-72.70945
"145",1265895307,"Lama_glama_guanicoe",-50.915502,-72.846497
"147",1265540592,"Lama_glama_guanicoe",-53.18693,-69.280433
"148",1265540518,"Lama_glama_guanicoe",-51.188812,-72.47715
"149",1265540393,"Lama_glama_guanicoe",-50.971941,-72.717261
"150",1262373132,"Lama_glama_guanicoe",-50.958887,-72.803017
"151",1227766680,"Lama_glama_guanicoe",-50.930425,-72.747963
"152",1227725646,"Lama_glama_guanicoe",-37.714245,-68.890457
"153",1145683537,"Lama_glama_guanicoe",-16.7167,-71.55718
"156",1092896165,"Lama_glama_guanicoe",-29.298975,-71.287794
"157",1088920038,"Lama_glama_guanicoe",-31.78833,-69.25884
"158",1088917626,"Lama_glama_guanicoe",-36.356368,-69.217601
"159",1088917569,"Lama_glama_guanicoe",-36.487247,-69.367783
"160",1088916214,"Lama_glama_guanicoe",-36.424187,-69.38179
"161",1088911090,"Lama_glama_guanicoe",-36.461641,-69.377139
"162",1088910997,"Lama_glama_guanicoe",-36.12817,-69.326649
"163",1088910263,"Lama_glama_guanicoe",-36.309246,-69.287467
"164",1088910250,"Lama_glama_guanicoe",-36.149242,-69.335747
"165",1065614630,"Lama_glama_guanicoe",-36.308901,-69.321413
"166",1065614583,"Lama_glama_guanicoe",-36.367531,-69.216013
"167",1065610123,"Lama_glama_guanicoe",-32.510703,-69.01547
"168",1065605267,"Lama_glama_guanicoe",-33.087739,-69.358025
"169",1065605074,"Lama_glama_guanicoe",-32.188979,-69.449644
"170",1065595480,"Lama_glama_guanicoe",-34.191819,-69.704078
"171",1024180475,"Lama_glama_guanicoe",-49.687069,-71.888716
"172",922185271,"Lama_glama_guanicoe",-46.763382,-70.809631
"173",922175775,"Lama_glama_guanicoe",-42.451836,-63.616333
"174",922145488,"Lama_glama_guanicoe",-50.006882,-72.118271
"177",899971289,"Lama_glama_guanicoe",-44.00913,-65.3143
"178",899966700,"Lama_glama_guanicoe",-33.078168,-69.353491
"179",899944346,"Lama_glama_guanicoe",-18.21272,-69.237213
"180",899941339,"Lama_glama_guanicoe",-51.203442,-72.460327
"181",899937960,"Lama_glama_guanicoe",-54.3013,-67.285766
"182",894781596,"Lama_glama_guanicoe",-34.167516,-69.69026
"183",891084293,"Lama_glama_guanicoe",-36.310578,-69.285488
"184",891072453,"Lama_glama_guanicoe",-52.13254,-69.681473
"185",891027748,"Lama_glama_guanicoe",-50.985233,-73.005524
"186",891026422,"Lama_glama_guanicoe",-51.433464,-72.009888
"189",699207390,"Lama_glama_guanicoe",-54.83084,-68.56394
"190",699207389,"Lama_glama_guanicoe",-54.80803,-68.59713
"192",699207387,"Lama_glama_guanicoe",-54.83031,-68.56331
"193",699207386,"Lama_glama_guanicoe",-54.52426,-68.19351
"194",699207385,"Lama_glama_guanicoe",-54.58638,-68.54593
"195",699207384,"Lama_glama_guanicoe",-54.81295,-68.57661
"197",699207382,"Lama_glama_guanicoe",-54.83226,-68.56781
"198",699207380,"Lama_glama_guanicoe",-47.75577,-72.11719
"199",699207379,"Lama_glama_guanicoe",-47.7557,-72.11844
"200",699207378,"Lama_glama_guanicoe",-47.90105,-72.03865
"201",699207377,"Lama_glama_guanicoe",-47.76594,-72.10512
"202",699207376,"Lama_glama_guanicoe",-47.76512,-72.10574
"204",699207374,"Lama_glama_guanicoe",-47.7648,-72.10932
"205",699207373,"Lama_glama_guanicoe",-47.74421,-72.13032
"206",699207372,"Lama_glama_guanicoe",-47.74882,-72.09511
"207",699207371,"Lama_glama_guanicoe",-47.90369,-71.97247
"208",699207370,"Lama_glama_guanicoe",-47.81406,-72.05552
"209",699207369,"Lama_glama_guanicoe",-40.84452,-71.09782
"210",699207368,"Lama_glama_guanicoe",-40.84341,-71.09707
"211",699207367,"Lama_glama_guanicoe",-40.843,-71.09889
"212",699207366,"Lama_glama_guanicoe",-40.99076,-71.10686
"213",699207365,"Lama_glama_guanicoe",-40.99779,-71.12466
"214",699207364,"Lama_glama_guanicoe",-40.94955,-71.04566
"215",699207363,"Lama_glama_guanicoe",-40.83692,-71.27572
"216",699207353,"Lama_glama_guanicoe",-50.54586,-72.80669
"232",699207337,"Lama_glama_guanicoe",-50.52487,-72.77599
"233",699207336,"Lama_glama_guanicoe",-50.52714,-72.76526
"234",699207335,"Lama_glama_guanicoe",-50.56287,-72.83589
"235",699207334,"Lama_glama_guanicoe",-50.49716,-72.7229
"236",699207333,"Lama_glama_guanicoe",-50.50022,-72.72886
"237",699207332,"Lama_glama_guanicoe",-49.35438,-72.84745
"238",699207331,"Lama_glama_guanicoe",-49.66827,-72.87982
"239",699207330,"Lama_glama_guanicoe",-49.66815,-72.88145
"240",699207329,"Lama_glama_guanicoe",-49.66866,-72.88282
"241",699207327,"Lama_glama_guanicoe",-49.66186,-72.87946
"242",699207326,"Lama_glama_guanicoe",-49.678,-72.88109
"243",699207325,"Lama_glama_guanicoe",-49.6784,-72.88224
"244",699207324,"Lama_glama_guanicoe",-49.67154,-72.88253
"245",699207323,"Lama_glama_guanicoe",-49.68521,-72.88185
"246",699207322,"Lama_glama_guanicoe",-49.66008,-72.86175
"247",699207321,"Lama_glama_guanicoe",-49.6931,-72.87754
"248",699207319,"Lama_glama_guanicoe",-49.66778,-72.88131
"249",686469351,"Lama_glama_guanicoe",-50.28559,-68.90084
"250",665815672,"Lama_glama_guanicoe",-54.416672,-67.683327
"251",665815671,"Lama_glama_guanicoe",-52.900001,-68.466667
"252",665815670,"Lama_glama_guanicoe",-53.783333,-67.699997
"253",665815669,"Lama_glama_guanicoe",-54.033329,-67.366669
"254",665792768,"Lama_glama_guanicoe",-45.25,-71.25
"257",665785658,"Lama_glama_guanicoe",-45.5,-68.800003
"259",233874223,"Lama_glama_guanicoe",-54.55322,-68.11103
"260",233874220,"Lama_glama_guanicoe",-54,-68
"262",233874183,"Lama_glama_guanicoe",-54.23288,-68.56788
"263",233874180,"Lama_glama_guanicoe",-54.5292,-68.4735
"264",233874179,"Lama_glama_guanicoe",-54.82897,-68.53683
"267",233873959,"Lama_glama_guanicoe",-47.75371,-72.11841
"268",233873957,"Lama_glama_guanicoe",-47.76207,-72.11121
"269",233873956,"Lama_glama_guanicoe",-47.75396,-72.11883
"271",233873954,"Lama_glama_guanicoe",-47.88105,-72.06513
"272",233873953,"Lama_glama_guanicoe",-47.75008,-72.11607
"273",233873947,"Lama_glama_guanicoe",-47.86748,-72.02645
"274",233873946,"Lama_glama_guanicoe",-47.8555,-72.0913
"275",233873932,"Lama_glama_guanicoe",-47,-72
"276",233873925,"Lama_glama_guanicoe",-47.74041,-72.13224
"277",233873882,"Lama_glama_guanicoe",-47.7299,-72.12182
"278",233873812,"Lama_glama_guanicoe",-47.83932,-72.0486
"279",233873794,"Lama_glama_guanicoe",-47.73086,-72.14715
"281",233873777,"Lama_glama_guanicoe",-47.8565,-72.05944
"283",233873681,"Lama_glama_guanicoe",-40.9491,-71.05034
"284",233873227,"Lama_glama_guanicoe",-50.55625,-72.79388
"285",233873226,"Lama_glama_guanicoe",-49.33442,-72.88082
"286",233873225,"Lama_glama_guanicoe",-49.34713,-72.86243
"287",233873224,"Lama_glama_guanicoe",-49.34491,-72.86526
"288",233873223,"Lama_glama_guanicoe",-49.35636,-72.85038
"290",233873221,"Lama_glama_guanicoe",-49.33954,-72.87582
"291",233873220,"Lama_glama_guanicoe",-49.33954,-72.87945
"292",233873219,"Lama_glama_guanicoe",-49.3751,-72.81275
"293",233873218,"Lama_glama_guanicoe",-49.3731,-72.81789
"294",233873217,"Lama_glama_guanicoe",-49.37531,-72.81163
"295",233873216,"Lama_glama_guanicoe",-50.49492,-72.7298
"296",233873215,"Lama_glama_guanicoe",-50.55105,-72.84726
"297",233873213,"Lama_glama_guanicoe",-50.48336,-72.70376
"298",233873212,"Lama_glama_guanicoe",-50.55596,-72.84421
"299",233873211,"Lama_glama_guanicoe",-50.52277,-72.77186
"300",233873210,"Lama_glama_guanicoe",-50.49537,-72.6646
"301",233873209,"Lama_glama_guanicoe",-50.54272,-72.79712
"305",233873205,"Lama_glama_guanicoe",-50.55762,-72.83583
"306",233873204,"Lama_glama_guanicoe",-49.3854,-72.79441
"307",233873203,"Lama_glama_guanicoe",-49.4012,-72.75732
"308",233873202,"Lama_glama_guanicoe",-49.33621,-72.88154
"309",233873201,"Lama_glama_guanicoe",-49.39329,-72.78393
"311",233873198,"Lama_glama_guanicoe",-49.40415,-72.76026
"312",233873196,"Lama_glama_guanicoe",-54.52608,-68.5575
"313",233873195,"Lama_glama_guanicoe",-49.40613,-72.77311
"314",233873194,"Lama_glama_guanicoe",-49.4028,-72.77429
"315",233873193,"Lama_glama_guanicoe",-49.40213,-72.75348
"318",233873189,"Lama_glama_guanicoe",-49.38084,-72.82945
"320",233873187,"Lama_glama_guanicoe",-49.38194,-72.80041
"321",233873186,"Lama_glama_guanicoe",-49.4053,-72.764
"322",233873155,"Lama_glama_guanicoe",-47.75337,-68.19844
"323",233873153,"Lama_glama_guanicoe",-47.70264,-68.14983
"324",233873152,"Lama_glama_guanicoe",-47.68364,-68.27705
"325",233873151,"Lama_glama_guanicoe",-47.67794,-68.19001
"326",233873150,"Lama_glama_guanicoe",-47.70789,-68.16449
"327",233873149,"Lama_glama_guanicoe",-47.6366,-67.97348
