"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80939,"Neotragus pygmaeus",5.87,-1
"2",80939,"Neotragus pygmaeus",7.43,-3.47
"3",80939,"Neotragus pygmaeus",7.05,-5.62
"5",80939,"Neotragus pygmaeus",5.7,-4.08
"7",80939,"Neotragus pygmaeus",5.43385,-1.32848
"11",80939,"Neotragus pygmaeus",5.251646,-8.574947
"12",80939,"Neotragus pygmaeus",5.273537,-8.559419
"13",80939,"Neotragus pygmaeus",5.269652,-8.554557
"14",80939,"Neotragus pygmaeus",5.271662,-8.557119
"15",80939,"Neotragus pygmaeus",5.280027,-8.527639
"16",80939,"Neotragus pygmaeus",5.284182,-8.610888
"17",80939,"Neotragus pygmaeus",5.301348,-8.590192
"18",80939,"Neotragus pygmaeus",5.305439,-8.704346
"19",80939,"Neotragus pygmaeus",5.307821,-8.557382
"21",80939,"Neotragus pygmaeus",5.31386,-8.564625
"22",80939,"Neotragus pygmaeus",5.313505,-8.785082
"23",80939,"Neotragus pygmaeus",5.316997,-8.785469
"24",80939,"Neotragus pygmaeus",5.318246,-8.785829
"25",80939,"Neotragus pygmaeus",5.394434,-8.67977
"26",80939,"Neotragus pygmaeus",5.482696,-8.536483
"27",80939,"Neotragus pygmaeus",5.50525,-8.562556
"28",80939,"Neotragus pygmaeus",5.491674,-8.508418
"29",80939,"Neotragus pygmaeus",5.510311,-8.569495
"30",80939,"Neotragus pygmaeus",5.259985,-8.585274
"31",80939,"Neotragus pygmaeus",5.260311,-8.585707
"32",80939,"Neotragus pygmaeus",5.273473,-8.559464
"33",80939,"Neotragus pygmaeus",5.277158,-8.564136
"34",80939,"Neotragus pygmaeus",5.307096,-8.556543
"35",80939,"Neotragus pygmaeus",5.302733,-8.591933
"36",80939,"Neotragus pygmaeus",5.308919,-8.784452
"37",80939,"Neotragus pygmaeus",5.306635,-8.556092
"38",80939,"Neotragus pygmaeus",5.321358,-8.786279
"39",80939,"Neotragus pygmaeus",5.328721,-8.759219
"40",80939,"Neotragus pygmaeus",5.346352,-8.439275
"42",80939,"Neotragus pygmaeus",5.34685,-8.439825
"46",80939,"Neotragus pygmaeus",5.353009,-8.409377
"47",80939,"Neotragus pygmaeus",5.364752,-8.383345
"48",80939,"Neotragus pygmaeus",5.364679,-8.383354
"49",80939,"Neotragus pygmaeus",5.362669,-8.381064
"50",80939,"Neotragus pygmaeus",5.387877,-8.443181
"51",80939,"Neotragus pygmaeus",5.383718,-8.746858
"52",80939,"Neotragus pygmaeus",5.392794,-8.449378
"53",80939,"Neotragus pygmaeus",5.401895,-8.573092
"54",80939,"Neotragus pygmaeus",5.423228,-8.483127
"55",80939,"Neotragus pygmaeus",5.40745,-8.503396
"56",80939,"Neotragus pygmaeus",5.417224,-8.475243
"57",80939,"Neotragus pygmaeus",5.428682,-8.601255
"58",80939,"Neotragus pygmaeus",5.45896,-8.515766
"59",80939,"Neotragus pygmaeus",5.488392,-8.544432
"60",80939,"Neotragus pygmaeus",5.516582,-8.534994
"63",80939,"Neotragus pygmaeus",5.91667,-0.98333
"65",80939,"Neotragus pygmaeus",4.95,-1.87
"66",80939,"Neotragus pygmaeus",5.84606,-4.15814
"67",80939,"Neotragus pygmaeus",5.82032,-4.15017
"70",80939,"Neotragus pygmaeus",5.33102,-4.15262
"73",80939,"Neotragus pygmaeus",8.88333,-11.16667
"74",80939,"Neotragus pygmaeus",7.65,-11.1
"75",80939,"Neotragus pygmaeus",8.531,-8.906
"76",80939,"Neotragus pygmaeus",8.525,-8.937
"77",80939,"Neotragus pygmaeus",5.2,-2.4
"78",80939,"Neotragus pygmaeus",6.617,-2.85
"79",80939,"Neotragus pygmaeus",5.533,-2.617
"90",80939,"Neotragus pygmaeus",6,-5.433333
"93",80939,"Neotragus pygmaeus",5.82,-6.75
