"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80872,"Gazella dorcas",30.464359,34.938648
"2",80872,"Gazella dorcas",31.766495,35.494957
"3",80872,"Gazella dorcas",16.55,-15.77
"4",80872,"Gazella dorcas",30.203614,29.617758
"5",80872,"Gazella dorcas",23.9028,32.3194
"6",80872,"Gazella dorcas",28.07198,29.541807
"7",80872,"Gazella dorcas",19.14311,30.815379
"8",80872,"Gazella dorcas",30.858273,34.467123
"9",80872,"Gazella dorcas",30.895661,34.752368
"10",80872,"Gazella dorcas",31.105431,34.653894
"11",80872,"Gazella dorcas",31.119634,34.43366
"12",80872,"Gazella dorcas",30.444216,34.636826
"13",80872,"Gazella dorcas",30.509019,34.605198
"14",80872,"Gazella dorcas",30.518151,34.630146
"15",80872,"Gazella dorcas",30.387968,34.79114
"16",80872,"Gazella dorcas",30.579904,34.734033
"17",80872,"Gazella dorcas",30.997382,34.698491
"19",80872,"Gazella dorcas",30.933416,35.140381
"20",80872,"Gazella dorcas",31.030163,34.565301
"21",80872,"Gazella dorcas",31.08045,35.219926
"22",80872,"Gazella dorcas",31.076832,35.150764
"23",80872,"Gazella dorcas",31.146298,34.370527
"24",80872,"Gazella dorcas",31.028559,34.607206
"25",80872,"Gazella dorcas",29.96908,35.059158
"26",80872,"Gazella dorcas",30.627346,34.919461
"27",80872,"Gazella dorcas",30.584172,34.982141
"29",80872,"Gazella dorcas",30.489413,34.659478
"30",80872,"Gazella dorcas",30.647989,34.875584
"31",80872,"Gazella dorcas",29.951038,35.059184
"32",80872,"Gazella dorcas",29.624304,34.949174
"33",80872,"Gazella dorcas",29.622511,34.955373
"34",80872,"Gazella dorcas",29.633402,34.992521
"38",80872,"Gazella dorcas",29.642439,35.00283
"39",80872,"Gazella dorcas",29.7955,34.857723
"40",80872,"Gazella dorcas",29.804574,34.878379
"41",80872,"Gazella dorcas",29.7055,34.951035
"42",80872,"Gazella dorcas",29.71454,34.961347
"43",80872,"Gazella dorcas",29.597203,34.930661
"44",80872,"Gazella dorcas",30.511753,34.611432
"45",80872,"Gazella dorcas",31.26715,35.208406
"46",80872,"Gazella dorcas",31.164535,34.401832
"47",80872,"Gazella dorcas",31.088489,35.347788
"48",80872,"Gazella dorcas",31.044374,34.722336
"49",80872,"Gazella dorcas",30.081901,35.131602
"50",80872,"Gazella dorcas",29.672225,35.013101
"51",80872,"Gazella dorcas",29.729789,34.917899
"52",80872,"Gazella dorcas",29.707316,34.957231
"53",80872,"Gazella dorcas",29.788315,34.870158
"54",80872,"Gazella dorcas",30.679974,35.219862
"55",80872,"Gazella dorcas",29.664106,35.013116
"56",80872,"Gazella dorcas",29.598094,34.925498
"57",80872,"Gazella dorcas",29.597158,34.910016
"58",80872,"Gazella dorcas",29.588181,34.930686
"59",80872,"Gazella dorcas",29.795473,34.84738
"60",80872,"Gazella dorcas",29.732601,34.97164
"61",80872,"Gazella dorcas",29.642193,34.878904
"62",80872,"Gazella dorcas",29.72358,34.971661
"63",80872,"Gazella dorcas",29.615306,34.961586
"64",80872,"Gazella dorcas",30.670917,35.105076
"65",80872,"Gazella dorcas",29.921965,34.929777
"66",80872,"Gazella dorcas",29.912985,34.950512
