"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80426,"Lama glama",-20.670695,-66.645521
"2",80426,"Lama glama",-18.231478,-69.314056
"3",80426,"Lama glama",-1.521197,-78.836632
"4",80426,"Lama glama",-33.689905,-65.470128
"5",80426,"Lama glama",-13.25677,-72.265845
"6",80426,"Lama glama",-2.540608,-78.874009
"7",80426,"Lama glama",-23.743889,-65.501111
"8",80426,"Lama glama",-12.998135,-72.28125
"9",80426,"Lama glama",-13.164318,-72.544928
"10",80426,"Lama glama",-13.163141,-72.544963
"12",80426,"Lama glama",-13.163723,-72.544771
"13",80426,"Lama glama",-2.84424,-79.150132
"14",80426,"Lama glama",-13.164998,-72.544848
"15",80426,"Lama glama",-18.17439,-69.484093
"16",80426,"Lama glama",-16.013761,-68.293779
"17",80426,"Lama glama",-13.164384,-72.544343
"18",80426,"Lama glama",-21.966769,-65.666798
"19",80426,"Lama glama",-16.557347,-68.674697
"20",80426,"Lama glama",-15.785935,-68.864665
"21",80426,"Lama glama",-19.262869,-68.940285
"22",80426,"Lama glama",-0.367932,-78.148606
"23",80426,"Lama glama",-13.160759,-72.546379
"24",80426,"Lama glama",32.721401,-97.355598
"25",80426,"Lama glama",33.576,-101.852997
"27",80426,"Lama glama",40.1667,-83.0833
"28",80426,"Lama glama",-23.437734,-65.789738
"29",80426,"Lama glama",-13.15833,-72.53139
"30",80426,"Lama glama",-13.165853,-72.545075
"31",80426,"Lama glama",50.712276,8.946329
"32",80426,"Lama glama",-2.781195,-79.222755
"33",80426,"Lama glama",-13.162782,-72.544567
"34",80426,"Lama glama",-16.55421,-68.678236
"35",80426,"Lama glama",-13.162982,-72.544734
"36",80426,"Lama glama",-2.833333,-79.16666
"37",80426,"Lama glama",-18.25,-69.166664
"39",80426,"Lama glama",-14.55,-69.800003
"41",80426,"Lama glama",-51.527611,-71.894531
"42",80426,"Lama glama",47.814804,10.229435
"43",80426,"Lama glama",50.712669,8.946421
"44",80426,"Lama glama",-16.329365,-68.520355
"45",80426,"Lama glama",51.99847,10.407803
"47",80426,"Lama glama",-2.768083,-79.231911
"48",80426,"Lama glama",-13.163653,-72.546326
"49",80426,"Lama glama",-54.8,-65.25
"50",80426,"Lama glama",-16.146092,-71.428299
"51",80426,"Lama glama",-32.641,26.426
