"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81038,"Tragelaphus eurycerus",-0.93333,36.56667
"2",81038,"Tragelaphus eurycerus",5.251882,-8.575307
"3",81038,"Tragelaphus eurycerus",5.27149,-8.556902
"4",81038,"Tragelaphus eurycerus",5.270232,-8.555378
"5",81038,"Tragelaphus eurycerus",5.280874,-8.759048
"6",81038,"Tragelaphus eurycerus",5.28177,-8.760229
"7",81038,"Tragelaphus eurycerus",5.284282,-8.610879
"8",81038,"Tragelaphus eurycerus",5.296026,-8.735189
"9",81038,"Tragelaphus eurycerus",5.300723,-8.589164
"10",81038,"Tragelaphus eurycerus",5.304209,-8.593818
"11",81038,"Tragelaphus eurycerus",5.307951,-8.78438
"12",81038,"Tragelaphus eurycerus",5.312119,-8.712854
"13",81038,"Tragelaphus eurycerus",5.310501,-8.560566
"14",81038,"Tragelaphus eurycerus",5.310564,-8.560656
"16",81038,"Tragelaphus eurycerus",5.30726,-8.597498
"17",81038,"Tragelaphus eurycerus",5.328839,-8.759408
"18",81038,"Tragelaphus eurycerus",5.325609,-8.758904
"19",81038,"Tragelaphus eurycerus",5.396732,-8.539988
"20",81038,"Tragelaphus eurycerus",5.400299,-8.686483
"21",81038,"Tragelaphus eurycerus",5.3716,-8.662127
"22",81038,"Tragelaphus eurycerus",5.409128,-8.273977
"23",81038,"Tragelaphus eurycerus",5.437133,-8.577762
"24",81038,"Tragelaphus eurycerus",5.443361,-8.308426
"25",81038,"Tragelaphus eurycerus",5.47741,-8.227126
"26",81038,"Tragelaphus eurycerus",5.488179,-8.50407
"27",81038,"Tragelaphus eurycerus",5.485603,-8.540841
"28",81038,"Tragelaphus eurycerus",5.479406,-8.577876
"29",81038,"Tragelaphus eurycerus",5.502056,-8.25303
"31",81038,"Tragelaphus eurycerus",5.499185,-8.478865
"32",81038,"Tragelaphus eurycerus",5.51967,-8.191765
"33",81038,"Tragelaphus eurycerus",5.544324,-8.257825
"34",81038,"Tragelaphus eurycerus",5.250478,-8.573468
"35",81038,"Tragelaphus eurycerus",5.248059,-8.580688
"36",81038,"Tragelaphus eurycerus",5.2822,-8.60829
"37",81038,"Tragelaphus eurycerus",5.279592,-8.527567
"38",81038,"Tragelaphus eurycerus",5.351206,-8.445543
"41",81038,"Tragelaphus eurycerus",5.369564,-8.660486
"42",81038,"Tragelaphus eurycerus",5.372776,-8.735824
"43",81038,"Tragelaphus eurycerus",5.371474,-8.662163
"44",81038,"Tragelaphus eurycerus",5.371383,-8.662082
"45",81038,"Tragelaphus eurycerus",5.4212,-8.325032
"46",81038,"Tragelaphus eurycerus",5.399505,-8.570323
"47",81038,"Tragelaphus eurycerus",5.429264,-8.370679
"48",81038,"Tragelaphus eurycerus",5.459259,-8.515973
"49",81038,"Tragelaphus eurycerus",5.467496,-8.332708
"50",81038,"Tragelaphus eurycerus",5.483782,-8.537963
"51",81038,"Tragelaphus eurycerus",5.503922,-8.330799
"52",81038,"Tragelaphus eurycerus",5.499293,-8.479
"53",81038,"Tragelaphus eurycerus",5.520031,-8.53835
"55",81038,"Tragelaphus eurycerus",5.543357,-8.448708
"56",81038,"Tragelaphus eurycerus",5.539199,-8.443331
"57",81038,"Tragelaphus eurycerus",5.540646,-8.405664
"58",81038,"Tragelaphus eurycerus",5.535947,-8.520236
"59",81038,"Tragelaphus eurycerus",2.94760873541138,37.3465431363686
"60",81038,"Tragelaphus eurycerus",2.833333,20.75
"61",81038,"Tragelaphus eurycerus",8.756808,2.03212
"62",81038,"Tragelaphus eurycerus",8.955147,2.184746
"63",81038,"Tragelaphus eurycerus",3.9833,13.1833
"64",81038,"Tragelaphus eurycerus",2.881449,16.285973
"65",81038,"Tragelaphus eurycerus",4.95,23.91667
"66",81038,"Tragelaphus eurycerus",2.842493,16.352156
"67",81038,"Tragelaphus eurycerus",-0.45,36.83333
"68",81038,"Tragelaphus eurycerus",5.403,-7.732
"69",81038,"Tragelaphus eurycerus",6.174,-7.788
"70",81038,"Tragelaphus eurycerus",13.316638,30.209495
"71",81038,"Tragelaphus eurycerus",-1.634307,20.501891
"72",81038,"Tragelaphus eurycerus",3.7,27.866694
