"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81049,"Tragelaphus spekii",2.324467,15.720577
"2",81049,"Tragelaphus spekii",-12.553143,30.234064
"3",81049,"Tragelaphus spekii",6.995307,2.455851
"4",81049,"Tragelaphus spekii",6.937652,2.544496
"5",81049,"Tragelaphus spekii",6.952114,2.598787
"6",81049,"Tragelaphus spekii",6.83908,2.439182
"7",81049,"Tragelaphus spekii",6.907983,2.579641
"8",81049,"Tragelaphus spekii",7.38592,1.634608
"9",81049,"Tragelaphus spekii",-2.6,29.733333
"10",81049,"Tragelaphus spekii",2.833333,20.75
"13",81049,"Tragelaphus spekii",-1.75,30.75
"15",81049,"Tragelaphus spekii",-8.366667,29.633333
"22",81049,"Tragelaphus spekii",6.8533,2.4559
"23",81049,"Tragelaphus spekii",7.1063,2.1347
"24",81049,"Tragelaphus spekii",6.5337,2.6599
"25",81049,"Tragelaphus spekii",6.9211,2.4072
"26",81049,"Tragelaphus spekii",9.333489,2.526029
"27",81049,"Tragelaphus spekii",6.5262,2.7048
"28",81049,"Tragelaphus spekii",7.2068,2.4048
"29",81049,"Tragelaphus spekii",1.066642,35.035229
"30",81049,"Tragelaphus spekii",-19.377228,22.206802
"32",81049,"Tragelaphus spekii",1.097396,35.121145
"33",81049,"Tragelaphus spekii",-1.651,20.508
"34",81049,"Tragelaphus spekii",6.916667,2.166667
"35",81049,"Tragelaphus spekii",6.615757,1.784952
"36",81049,"Tragelaphus spekii",6.365485,2.096119
"38",81049,"Tragelaphus spekii",7.065248,2.130028
"39",81049,"Tragelaphus spekii",-1.073912,29.762897
"40",81049,"Tragelaphus spekii",0.218963,12.713512
"41",81049,"Tragelaphus spekii",-1.98134,9.373489
"42",81049,"Tragelaphus spekii",-2.005141,9.412803
"43",81049,"Tragelaphus spekii",-2.029937,9.419133
"44",81049,"Tragelaphus spekii",2.570434,15.800044
"45",81049,"Tragelaphus spekii",0.777302,15.026035
"46",81049,"Tragelaphus spekii",-18.41709,21.8
"47",81049,"Tragelaphus spekii",-18.95898,23.41667
"48",81049,"Tragelaphus spekii",-18.423109,21.94046
"49",81049,"Tragelaphus spekii",2.943697,16.353536
"50",81049,"Tragelaphus spekii",2.952153,16.361394
"51",81049,"Tragelaphus spekii",2.954269,16.364089
"52",81049,"Tragelaphus spekii",2.2447,16.401839
"53",81049,"Tragelaphus spekii",6.420711,2.464123
"54",81049,"Tragelaphus spekii",2.1085,32.2071
"56",81049,"Tragelaphus spekii",1.098154,35.121403
"57",81049,"Tragelaphus spekii",6.885579,2.518595
"58",81049,"Tragelaphus spekii",6.872021,2.585809
"59",81049,"Tragelaphus spekii",6.936593,2.487252
"60",81049,"Tragelaphus spekii",6.851277,2.425627
"61",81049,"Tragelaphus spekii",6.925312,2.440859
"62",81049,"Tragelaphus spekii",6.94312,2.440467
"63",81049,"Tragelaphus spekii",6.898251,2.56226
"64",81049,"Tragelaphus spekii",6.854548,2.484133
"65",81049,"Tragelaphus spekii",6.800186,2.529203
"66",81049,"Tragelaphus spekii",6.934754,2.576679
"67",81049,"Tragelaphus spekii",6.956856,2.411916
"68",81049,"Tragelaphus spekii",6.899294,2.4604
"69",81049,"Tragelaphus spekii",6.857624,2.531468
"70",81049,"Tragelaphus spekii",6.954543,2.459368
"71",81049,"Tragelaphus spekii",6.877716,2.408124
"72",81049,"Tragelaphus spekii",-19,23
"73",81049,"Tragelaphus spekii",-0.33333,32.33333
"75",81049,"Tragelaphus spekii",6.85501,2.480158
"76",81049,"Tragelaphus spekii",6.936438,2.478536
"77",81049,"Tragelaphus spekii",6.896038,2.530145
"78",81049,"Tragelaphus spekii",6.968606,2.599106
"79",81049,"Tragelaphus spekii",6.906382,2.438969
"80",81049,"Tragelaphus spekii",6.9452,2.448258
"81",81049,"Tragelaphus spekii",-12.596114,30.252228
"82",81049,"Tragelaphus spekii",4.029,29.022
"83",81049,"Tragelaphus spekii",3.77,29.424
"84",81049,"Tragelaphus spekii",-29.38,-50.88
"85",81049,"Tragelaphus spekii",-18.83,22.25
