"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80627,"Ozotoceros bezoarticus",-19.588499,-56.087017
"2",80627,"Ozotoceros bezoarticus",-18.171848,-52.91914
"3",80627,"Ozotoceros bezoarticus",-18.08166,-53.03977
"4",80627,"Ozotoceros bezoarticus",-15.483334,-44.366665
"5",80627,"Ozotoceros bezoarticus",-16.75,-57.700001
"15",80627,"Ozotoceros bezoarticus",-34.099998,-53.833332
"18",80627,"Ozotoceros bezoarticus",-20.25155,-46.540314
"19",80627,"Ozotoceros bezoarticus",-28.982698,-57.649335
"20",80627,"Ozotoceros bezoarticus",-28.577674,-57.082676
"21",80627,"Ozotoceros bezoarticus",-20.368015,-46.571605
"22",80627,"Ozotoceros bezoarticus",-12.750843,-65.208898
"23",80627,"Ozotoceros bezoarticus",-20.095917,-55.965729
"25",80627,"Ozotoceros bezoarticus",-19.872814,-56.261864
"26",80627,"Ozotoceros bezoarticus",-18.75,-62.217
