Aepyceros_melampus,Alcelaphus_buselaphus,Alcelaphus_caama,Alces_alces,Alces_americanus,Ammotragus_lervia,Antidorcas_marsupialis,Antilocapra_americana,Antilope_cervicapra,Axis_axis,Axis_porcinus,Bison_bison,Bison_bonasus,Blastocerus_dichotomus,Bos_frontalis_gaurus,Bos_grunniens_mutus,Bos_javanicus,Bos_taurus_primigenius,Boselaphus_tragocamelus,Bubalus_bubalis_arnee,Budorcas_taxicolor,Camelus_bactrianus,Camelus_dromedarius,Capra_hircus_aegagrus,Capra_ibex,Capra_nubiana,Capra_pyrenaica,Capra_sibirica,Capreolus_capreolus,Capreolus_pygargus,Capricornis_crispus,Capricornis_swinhoei,Catagonus_wagneri,Cephalophus_dorsalis,Cephalophus_jentinki,Cephalophus_natalensis,Cephalophus_niger,Cephalophus_nigrifrons,Cephalophus_rufilatus,Cephalophus_silvicultor,Cephalophus_zebra,Ceratotherium_simum,Cervus_elaphus,Cervus_nippon,Connochaetes_gnou,Connochaetes_taurinus,Dama_dama,Damaliscus_korrigum,Damaliscus_lunatus,Damaliscus_pygargus,Diceros_bicornis,Equus_burchellii,Equus_grevyi,Equus_hemionus,Equus_kiang,Equus_przewalskii,Equus_zebra,Eudorcas_rufifrons,Eudorcas_thomsonii,Gazella_bennettii,Gazella_dorcas,Gazella_gazella,Gazella_subgutturosa,Giraffa_camelopardalis,Hemitragus_jemlahicus,Hippocamelus_antisensis,Hippocamelus_bisulcus,Hippopotamus_amphibius,Hippotragus_equinus,Hippotragus_niger,Hyemoschus_aquaticus,Hylochoerus_meinertzhageni,Kobus_ellipsiprymnus,Kobus_kob,Kobus_leche,Kobus_megaceros,Kobus_vardonii,Lama_glama_guanicoe,Litocranius_walleri,Madoqua_guentheri,Madoqua_kirkii,Madoqua_saltiana,Mazama_americana,Mazama_gouazoubira,Mazama_nana,Mazama_pandora,Mazama_rufina,Mazama_temama,Muntiacus_muntjak,Muntiacus_reevesi,Nanger_granti,Nanger_soemmerringii,Neotragus_batesi,Neotragus_pygmaeus,Odocoileus_hemionus,Odocoileus_virginianus,Oreamnos_americanus,Oreotragus_oreotragus,Oryx_beisa,Oryx_gazella,Oryx_leucoryx,Ourebia_ourebi,Ovibos_moschatus,Ovis_ammon,Ovis_aries_orientalis,Ovis_canadensis,Ovis_dalli,Ozotoceros_bezoarticus,Pecari_tajacu,Pelea_capreolus,Phacochoerus_aethiopicus,Phacochoerus_africanus,Philantomba_maxwellii,Philantomba_monticola,Potamochoerus_larvatus,Potamochoerus_porcus,Procapra_picticaudata,Pseudois_nayaur,Pudu_puda,Rangifer_tarandus,Raphicerus_campestris,Raphicerus_melanotis,Raphicerus_sharpei,Redunca_arundinum,Redunca_fulvorufula,Redunca_redunca,Rhinoceros_unicornis,Rucervus_duvaucelii,Rupicapra_pyrenaica,Rupicapra_rupicapra,Rusa_timorensis,Rusa_unicolor,Sus_barbatus,Sus_cebifrons,Sus_scrofa,Sylvicapra_grimmia,Syncerus_caffer,Tapirus_bairdii,Tapirus_pinchaque,Tapirus_terrestris,Taurotragus_oryx,Tayassu_pecari,Tragelaphus_angasii,Tragelaphus_buxtoni,Tragelaphus_eurycerus,Tragelaphus_imberbis,Tragelaphus_scriptus,Tragelaphus_spekii,Tragelaphus_strepsiceros,Tragulus_kanchil,Tragulus_napu,Vicugna_vicugna
Aepyceros_melampus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcelaphus_buselaphus,0.0729680348057116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcelaphus_caama,0.0327033449741376,0.0744424266442255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alces_alces,2.19188223127276e-10,0.035763214902734,0.000472093937685436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alces_americanus,0,0.136140001306362,3.57772478309926e-10,0.266631151654116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammotragus_lervia,0.0604925584476569,0.00798432760690404,0.00304764499282395,0.000737623619953109,0.000308624673649449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antidorcas_marsupialis,0.0183064919000993,0.21756262838287,0.114477678240459,0.0534828387351902,0.0341883646187341,0.00894095019857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antilocapra_americana,0.00582704866727146,0.0937466391988896,0.0374380717478224,0.225750947653904,0.119559217732079,0.00272930038875074,0.125605266025872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antilope_cervicapra,0.301340354042302,0.0635146038107667,0.192888881717544,0,0,0.0312100504759415,0.091273148024406,0.0044918360926528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axis_axis,0.150831340315996,0.0557761222600884,0.0252148773134774,0.00490126162690996,0,0.0208489617120162,0.023308024888669,0.00624794746674973,0.181490417696676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axis_porcinus,0.175182767798922,0.147061795394376,0.111561910683524,-2.88657986402541e-15,2.01328259882283e-05,0.0352369464471278,0.165454381912737,0.0414716293787412,0.196108803815687,0.388320198451188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_bison,0.0286905891587192,0.0873755031389837,7.7715611723761e-16,0.00560474965474922,0.12017611264669,0.00859948504830765,0.00732801528452331,0.00790040206421805,0.0191149776520075,0.0356557895790212,0.0821059094474171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
