"","Aepyceros_melampus","Alcelaphus_buselaphus","Alcelaphus_caama","Alces_alces","Alces_americanus","Ammotragus_lervia","Antidorcas_marsupialis","Antilocapra_americana","Antilope_cervicapra","Axis_axis","Axis_porcinus","Bison_bison","Bison_bonasus","Blastocerus_dichotomus","Bos_frontalis_gaurus","Bos_grunniens_mutus","Bos_javanicus","Bos_taurus_primigenius","Boselaphus_tragocamelus","Bubalus_bubalis_arnee","Budorcas_taxicolor","Camelus_bactrianus","Camelus_dromedarius","Capra_hircus_aegagrus","Capra_ibex","Capra_nubiana","Capra_pyrenaica","Capra_sibirica","Capreolus_capreolus","Capreolus_pygargus","Capricornis_crispus","Capricornis_swinhoei","Catagonus_wagneri","Cephalophus_dorsalis","Cephalophus_jentinki","Cephalophus_natalensis","Cephalophus_niger","Cephalophus_nigrifrons","Cephalophus_rufilatus","Cephalophus_silvicultor","Cephalophus_zebra","Ceratotherium_simum","Cervus_elaphus","Cervus_nippon","Connochaetes_gnou","Connochaetes_taurinus","Dama_dama","Damaliscus_korrigum","Damaliscus_lunatus","Damaliscus_pygargus","Diceros_bicornis","Equus_burchellii","Equus_grevyi","Equus_hemionus","Equus_kiang","Equus_przewalskii","Equus_zebra","Eudorcas_rufifrons","Eudorcas_thomsonii","Gazella_bennettii","Gazella_dorcas","Gazella_gazella","Gazella_subgutturosa","Giraffa_camelopardalis","Hemitragus_jemlahicus","Hippocamelus_antisensis","Hippocamelus_bisulcus","Hippopotamus_amphibius","Hippotragus_equinus","Hippotragus_niger","Hyemoschus_aquaticus","Hylochoerus_meinertzhageni","Kobus_ellipsiprymnus","Kobus_kob","Kobus_leche","Kobus_megaceros","Kobus_vardonii","Lama_glama_guanicoe","Litocranius_walleri","Madoqua_guentheri","Madoqua_kirkii","Madoqua_saltiana","Mazama_americana","Mazama_gouazoubira","Mazama_nana","Mazama_pandora","Mazama_rufina","Mazama_temama","Muntiacus_muntjak","Muntiacus_reevesi","Nanger_granti","Nanger_soemmerringii","Neotragus_batesi","Neotragus_pygmaeus","Odocoileus_hemionus","Odocoileus_virginianus","Oreamnos_americanus","Oreotragus_oreotragus","Oryx_beisa","Oryx_gazella","Oryx_leucoryx","Ourebia_ourebi","Ovibos_moschatus","Ovis_ammon","Ovis_aries_orientalis","Ovis_canadensis","Ovis_dalli","Ozotoceros_bezoarticus","Pecari_tajacu","Pelea_capreolus","Phacochoerus_aethiopicus","Phacochoerus_africanus","Philantomba_maxwellii","Philantomba_monticola","Potamochoerus_larvatus","Potamochoerus_porcus","Procapra_picticaudata","Pseudois_nayaur","Pudu_puda","Rangifer_tarandus","Raphicerus_campestris","Raphicerus_melanotis","Raphicerus_sharpei","Redunca_arundinum","Redunca_fulvorufula","Redunca_redunca","Rhinoceros_unicornis","Rucervus_duvaucelii","Rupicapra_pyrenaica","Rupicapra_rupicapra","Rusa_timorensis","Rusa_unicolor","Sus_barbatus","Sus_cebifrons","Sus_scrofa","Sylvicapra_grimmia","Syncerus_caffer","Tapirus_bairdii","Tapirus_pinchaque","Tapirus_terrestris","Taurotragus_oryx","Tayassu_pecari","Tragelaphus_angasii","Tragelaphus_buxtoni","Tragelaphus_eurycerus","Tragelaphus_imberbis","Tragelaphus_scriptus","Tragelaphus_spekii","Tragelaphus_strepsiceros","Tragulus_kanchil","Tragulus_napu","Vicugna_vicugna"
"Mazama_temama",0.167928844493608,0.152064623815506,0.245568585110897,0.402104471045456,0.406631730421783,0.285134106729706,0.25090724537998,0.376317648278188,0.231092943609869,0.135975180349149,0.169726977934896,0.442945649711612,0.365262147871205,0.164456186172153,0.0992291428197001,0.449703117775369,0.0824452516181156,0.366787270855137,0.240127095433091,0.101745696936128,0.28189186786518,0.455654560833329,0.290433701069895,0.333448143020873,0.320987070487914,0.297493866498082,0.295488301538192,0.506323436731457,0.338292352893981,0.348220086366223,0.325708178653373,0.261810227924414,0.185658295695011,0.126149826079567,0.13419506727922,0.129251626609322,0.0956855174294055,0.185696815845149,0.175818522743963,0.0991103822386286,0.134112907273748,0.182703033702688,0.371947079163518,0.280303984795957,0.251856212234012,0.182034590570538,0.33998474752734,0.1495351896486,0.15300404550484,0.225864696860597,0.178171966530111,0.162828023898679,0.20204246075179,0.289410619373833,0.489665515575396,0.477634993839294,0.25866689210501,0.220359179061471,0.169962472875461,0.268065643621632,0.294119383357429,0.265247861665972,0.383423413268967,0.185718861065219,0.303097334251874,0.331045205843283,0.35834620209602,0.163498451063492,0.189244858093936,0.198995339622087,0.122364535763917,0.0939204428229502,0.142093155200648,0.188201674434153,0.227169482320045,0.172834146278145,0.176599344247234,0.350071927450952,0.196437964748222,0.193698342414075,0.164912000267566,0.184658668451893,0.141389608710216,0.0526585319537662,0.194077026612122,0.102073385913809,0.21853117705513,0,0.105097483081857,0.328990188465307,0.196939590097098,0.192177704202846,0.063781529125809,0.117693667666819,0.323951800562364,0.270264315197018,0.40178080291774,0.214600057266306,0.201505464469424,0.251795624260311,0.298643399862863,0.181445661975189,0.562425013581328,0.488283553239044,0.384018216638576,0.342006051057249,0.491685560649962,0.197963414999767,0.102497192429723,0.255035780960695,0.136732472510066,0.154574647525063,0.123389134107798,0.112135787807034,0.156548179743857,0.0978119072499091,0.468450080884246,0.47045695823374,0.297519042304275,0.465205756442251,0.227032977407576,0.246015183385805,0.19092836018459,0.189005062770953,0.200440742612613,0.18720396171601,0.168765333347795,0.169002039776906,0.389373632542269,0.406445837769768,0.170688942821739,0.114936287574972,0.146584153324107,0.0751461011985296,0.310528095264478,0.169071758627119,0.139386763956736,0.0349423907718298,0.29173412428134,0.187993176563447,0.168580532621561,0.0387827794201015,0.174196552768048,0.254701778140378,0.127124940622283,0.176552811618439,0.13555831430021,0.0924598208546138,0.210004515393028,0.0926569059470488,0.12417216338981,0.347683016949044
"Muntiacus_muntjak",0.134433958599917,0.157104932021437,0.199666238865833,0.36439375850046,0.362488767083445,0.230205750976019,0.196023967284201,0.322348197238475,0.212462316363643,0.114477947574348,0.112644051002107,0.38516947667887,0.323532761247948,0.142946711184082,0.0540477198399193,0.380040898871696,0.102834373069988,0.320226751764287,0.216397863493755,0.0788538770336617,0.209252601418813,0.382622664602995,0.241190624771841,0.266208104815621,0.282366408428663,0.238310183004903,0.239629628279497,0.430733288228092,0.302364491704072,0.282421587490174,0.272017613435174,0.225914522680572,0.171550380025731,0.193420986194106,0.201511738693901,0.0995365507774845,0.163615229038212,0.183569853759486,0.200924362733672,0.163956593153686,0.201212120058839,0.138789742929734,0.336183445308152,0.22717929143775,0.201214360343215,0.137227280415042,0.302902386717625,0.178404292857826,0.134539213698154,0.175856594421313,0.14204089394926,0.139317796908752,0.190751436248577,0.235177335035176,0.418338651614059,0.411461404979485,0.207529745020519,0.221754100363133,0.161566050801822,0.23955128008134,0.245602296201244,0.211481634281479,0.31771318361217,0.180841064413823,0.23589858253952,0.272474906913971,0.314965097382931,0.130591169142749,0.198564510057353,0.147629192627175,0.189616751535117,0.160050489377291,0.13868267574162,0.212310424483194,0.184415779877546,0.217071438063492,0.141169840019229,0.286155903001776,0.20646472123836,0.188851186839108,0.141109529736094,0.189781271564338,0.131893689057691,0.11349135130041,0.174672919229782,0.145833839477568,0.230499635940829,0.105097483081857,0,0.292516729666752,0.207055697781854,0.206116077190981,0.131328938945092,0.185409042043338,0.263512877610023,0.22965136951892,0.354352784294415,0.157068073286398,0.219307574982238,0.198082777873679,0.264088638404029,0.203486390122984,0.516340803726468,0.406487444320952,0.321149393167394,0.279706030123478,0.42786390413774,0.154107148730698,0.0851933411081682,0.198570821617101,0.138225885798706,0.160356024079622,0.190749289375325,0.113775872381459,0.115638927137556,0.16790089282782,0.399109261088849,0.402188806962616,0.2687915274504,0.409026582630259,0.173547335104191,0.181962973667801,0.152128643086472,0.138364797869193,0.150090165010431,0.211967075781727,0.10392593397157,0.121592768456327,0.348192146976723,0.375117648392909,0.125310916883184,0.0700828100483194,0.218245776563099,0.138481878924243,0.27030548736776,0.184281542749155,0.147090909215311,0.111323912528726,0.301765940711807,0.166100598186832,0.135730663516655,0.118574369058981,0.139891800923045,0.224056108183999,0.194370222207937,0.186972039384295,0.144281432197215,0.129053910216852,0.156592940372509,0.150167030689253,0.190386601849366,0.295239748952342
"Muntiacus_reevesi",0.279824674471299,0.33507034961906,0.313532731467253,0.118672453397222,0.14599251653205,0.182187661383133,0.291908331066401,0.194566129123178,0.351564099814523,0.325040359688676,0.341188070365749,0.185553174495408,0.105713585268519,0.244931972417257,0.321987219437725,0.216349588911589,0.337637891694041,0.111403163382016,0.361245277241612,0.338367051591602,0.168446979023748,0.248965085761791,0.3301733084048,0.257751053395223,0.101439913074615,0.290116840037384,0.143007286920644,0.244551401104606,0.061284801422726,0.199180292634245,0.179257683843044,0.264501707329306,0.306046459852326,0.428596724043448,0.4363773505541,0.245958773010597,0.400842324737433,0.240895679459224,0.392054360780951,0.399657990852403,0.436068842640405,0.256125418132873,0.100002084742047,0.178944604876512,0.199665372669776,0.277803753829016,0.0383828293736635,0.364938276484667,0.298427255009636,0.201080097352148,0.286526497635298,0.272699026458172,0.31796391301069,0.26539681745199,0.227194467227352,0.238380024038277,0.248171247331732,0.393883066697548,0.267713812059359,0.366801439855429,0.301673812225387,0.269993036668716,0.246229349705795,0.335847799882762,0.130985692766651,0.213286874867767,0.115286806796825,0.288498788241274,0.382159672599037,0.306630957966783,0.426635546285499,0.372696666705219,0.314921028616692,0.398739070912741,0.32217486571553,0.391671618497906,0.324715763790744,0.103793841144113,0.363872841230239,0.341636568878026,0.293350064123958,0.346907016532736,0.303035354801319,0.326854376808284,0.301940361320609,0.308666140362122,0.282908495579664,0.328990188465307,0.292516729666752,0,0.362320568292086,0.366943140211178,0.355472375901936,0.421337432551766,0.167787005760423,0.167485838934799,0.156307841599549,0.235334764514826,0.375658073948322,0.298404695730141,0.3565624491361,0.390516400586214,0.282107016433083,0.240621894255531,0.203015845295418,0.204922381284572,0.222614290593958,0.235291833594459,0.286117971321795,0.178108402955212,0.311567639954085,0.338347328702025,0.426218696460588,0.267215282459423,0.230593373586777,0.403573377989148,0.220381526026165,0.211056167299693,0.142890752200616,0.193743246398175,0.286375615764992,0.189092508424022,0.304006642825281,0.274034284669234,0.230659507155971,0.39924678388845,0.330286654936553,0.342143977356073,0.139368900056951,0.15906268102798,0.212775573382044,0.306202908668029,0.3998968672021,0.351179529603253,0.0958383601143272,0.369388366182921,0.329397294182976,0.350290703733584,0.245936142221357,0.299384787721995,0.267616373806292,0.341786079206344,0.275888675568694,0.206944414043764,0.430022362484723,0.348192339365476,0.326962497040123,0.32255097007899,0.286455765549864,0.346174952784149,0.402472813958896,0.221469306491916
"Nanger_granti",0.095138875504904,0.090539554082808,0.124443622550385,0.453224351316517,0.435001709960111,0.23812437183531,0.128212619451602,0.297717880414013,0.158629249456739,0.162306764911466,0.2364379822852,0.414468912942875,0.392571700143492,0.20787587550377,0.172975575289962,0.412846953482039,0.164268800128299,0.383701578042863,0.173560581076879,0.226643845291795,0.318853518374952,0.366558003202469,0.187978138877466,0.249711266752246,0.361944767818979,0.205301173678176,0.272349879698308,0.447958528725139,0.389472769013065,0.407308799750883,0.429222172275872,0.399839040250465,0.126206962449478,0.266502913528005,0.273171771078456,0.159868417992334,0.234733917339546,0.267469924523625,0.134681602814035,0.227493343709761,0.273234509441074,0.135274678062715,0.437306996673014,0.389323579991471,0.188854606823868,0.101469641660707,0.38298223952037,0.102302399167759,0.0967380022541559,0.183550822108582,0.0907147900153305,0.101773024914971,0.0666255940511376,0.197226771555308,0.430727291288261,0.41989528084684,0.160873847422995,0.131339098306788,0.11312722987337,0.17603249428265,0.202533599119095,0.189993258226151,0.28640238602791,0.041006001857034,0.36689932631672,0.257588966586226,0.413064270771906,0.0987389529336308,0.126187566373779,0.11268454859203,0.259335608075936,0.206266489294911,0.0873076273140623,0.134781602172801,0.110161123628626,0.100541525446322,0.105483660389899,0.34393261044311,0.0193059674927947,0.0448307208351924,0.0887256683105305,0.0741905707548211,0.232813716066016,0.192098808328365,0.258588278749421,0.14548124539047,0.34018635263384,0.196939590097098,0.207055697781854,0.362320568292086,0,0.0727202040490298,0.210080111205797,0.257250674285276,0.279957494427103,0.2901151236954,0.45367303205542,0.14480179404242,0.0189606633230264,0.129220063973648,0.20887986666183,0.135441213268071,0.549191633907911,0.410416700826623,0.305388136059444,0.262835629476405,0.478855021156687,0.174640132297663,0.158339690990392,0.206851398762799,0.0787839202227441,0.0912743926484108,0.263332150765309,0.157560709122015,0.146202497021566,0.238038274068993,0.419821121068857,0.415223875715604,0.389383870634363,0.508784335076763,0.114127356775159,0.217167462148265,0.10511076104096,0.129111634398159,0.152176385556827,0.138514831757802,0.227390600567837,0.19811020977852,0.461204778366921,0.48061605656048,0.247836592961659,0.16944292960391,0.301897015070188,0.231590892649749,0.312825373368465,0.118027963031498,0.0869197488176006,0.201901226248163,0.389734687045488,0.252228774493993,0.105063739609525,0.204787178392078,0.130501707206186,0.239787460216998,0.266569164466277,0.0354160010026297,0.0980912027231201,0.140795660284552,0.108713668232714,0.21442706842796,0.284725938921383,0.290441629336581
"Nanger_soemmerringii",0.0978360207131922,0.0738543878279618,0.120498345616387,0.451424300296652,0.434554268395785,0.232278476069497,0.132443137392929,0.296404913617003,0.136088701126285,0.143308748818048,0.209506414618178,0.411958209419514,0.394113717698001,0.197705659190805,0.161003178069597,0.412504525424109,0.151143355394625,0.372540655079066,0.155293380352044,0.204489667709111,0.329566819852847,0.363346462374629,0.167383621890703,0.233792946209961,0.358819293776011,0.202037110074841,0.270454725220595,0.449860589535513,0.387583361501069,0.392951730879535,0.426556018765933,0.394924595630031,0.104606547385327,0.270711135772321,0.279018178800068,0.162748359238158,0.229259155941621,0.302176543092027,0.10947437024798,0.23410001260714,0.279416562323458,0.136513014589869,0.432597982061495,0.380011244364281,0.192280585092249,0.103831941628118,0.384605794271635,0.0874589389887815,0.0930204946828692,0.184356852131766,0.0967190633222566,0.110020534533243,0.106945196927045,0.200243031405599,0.4393012539558,0.431360612729787,0.162079854425123,0.107227625414604,0.14721698081214,0.150370175716548,0.192228784624508,0.192046110186473,0.282773973760072,0.0652671643248922,0.362594569945574,0.281071947796771,0.418183268321491,0.0985949067681746,0.105375505332832,0.108596679676966,0.259615191970599,0.225353340009581,0.0818679535824275,0.108683984584002,0.114149798914593,0.091145775984057,0.106954622183289,0.346133715014818,0.0721089338222744,0.0821890042138553,0.0993890098299233,0.0357927212113175,0.216559038385886,0.192483473282575,0.238571484106927,0.123957878318326,0.370133120677982,0.192177704202846,0.206116077190981,0.366943140211178,0.0727202040490298,0,0.220696047591598,0.263838407352098,0.270045688803561,0.289116496353418,0.445729024177227,0.142835637206064,0.0665911881371431,0.133097809374236,0.17269851637091,0.107445587169094,0.546712984250862,0.416009447502269,0.310931270326869,0.260884647641977,0.483517090669548,0.173946944308845,0.149633836640028,0.209371493739614,0.0846501984692122,0.0732222726705295,0.266187494097192,0.175197392132586,0.152285616409984,0.235920472791255,0.425320424306067,0.419654603303413,0.38933562792751,0.511575825224717,0.120951164414124,0.209525947133723,0.100332856281694,0.133170445557345,0.147719633052022,0.109665648682852,0.221222526521019,0.16712043677139,0.463056409258727,0.474974355850445,0.254845589416984,0.158187630811104,0.310979325980027,0.238786730897046,0.316726373296467,0.0948478744216449,0.0737696118446107,0.199656468951054,0.42420573328029,0.23259921865495,0.113295394937966,0.203922657860959,0.121267997689221,0.283998085482626,0.269186706699913,0.0767982108708425,0.0826744428694364,0.134938857233693,0.108673474322954,0.217921026191994,0.291180837451985,0.320991334257473
"Neotragus_batesi",0.194823549057616,0.17442620265617,0.278306070799127,0.422361252580728,0.436241799761807,0.312084737814313,0.278403635642069,0.40434739640955,0.257659549942092,0.167001559674357,0.202321355215762,0.466252869242561,0.383852869550136,0.194256771249811,0.1347242547195,0.485853001242952,0.0887317973486745,0.385675791436204,0.266693701765314,0.122067695770276,0.315172482136491,0.485144417645994,0.317483054636233,0.361370783834573,0.349259047504449,0.324323223600753,0.329235137617331,0.531547014233213,0.36821200667566,0.380449527397589,0.353281104738861,0.282748822287562,0.214662508763464,0.0924559099911791,0.0998376201922666,0.15953659179782,0.0636557182366327,0.200941774491247,0.186005110052032,0.0709072572911111,0.0995125948800832,0.211030170108745,0.393414115419103,0.310426954185672,0.282006467878234,0.208589351767968,0.363869577455826,0.162978746743384,0.173778309788868,0.254451552422992,0.213137697807668,0.198031722328678,0.213994039495271,0.316313370851195,0.518268306665403,0.510223939538864,0.288823850811731,0.237583589565262,0.187522141587123,0.295741007094629,0.321380792800251,0.299274326616332,0.411075464568669,0.207652087222846,0.327143161542411,0.352702374734399,0.378118610540848,0.190363105776796,0.20518642872026,0.221179187947259,0.0891426777589268,0.0757514518914954,0.166237996465414,0.200332067819853,0.251889132177007,0.198766313893222,0.198575954831908,0.380496227352154,0.210039254465491,0.206646292638583,0.196402563857445,0.212389343585411,0.160709056802644,0.0668297480225979,0.218900071333916,0.147857375817139,0.223805095495654,0.063781529125809,0.131328938945092,0.355472375901936,0.210080111205797,0.220696047591598,0,0.0843027420928882,0.351163575497171,0.294490176335817,0.426326341716188,0.244812743278221,0.214361512760478,0.27889526432405,0.322039553555435,0.199312503058955,0.599040628879106,0.513569561108493,0.411167561205691,0.367239037653555,0.516514699553427,0.225036201369378,0.138792076992338,0.280179168468932,0.159181231982036,0.176750527575673,0.0904160035317039,0.123248542411906,0.184584890181656,0.0679874843830362,0.499514410486081,0.502275606510302,0.313807895567533,0.468950874780841,0.254002081163854,0.264308713417723,0.219318921228189,0.215383640313912,0.230834503014331,0.19761101137751,0.200257009417452,0.210039842719738,0.408307700855488,0.44002731753323,0.188582039855038,0.148173463782223,0.110148135185114,0.0687990088719167,0.33756021288883,0.1848954380011,0.161069919544789,0.0919888465005019,0.298222478161011,0.211213429544352,0.196161141436136,0.0518412877008142,0.202829144292367,0.265888040366984,0.0931089103678716,0.194298732938148,0.158522354155117,0.0894237549476224,0.237951762961505,0.0760328015810494,0.093120811997757,0.364172750477617
"Neotragus_pygmaeus",0.26141272580195,0.235364059552842,0.33330780374851,0.475774083993054,0.498995359887825,0.384822336896279,0.339438274154731,0.474384327904174,0.322155319488228,0.230107112032101,0.23792187407609,0.540930893717356,0.449337998102205,0.244953529453067,0.178588425506283,0.549295354023262,0.150412956447706,0.444714228118377,0.33118947131145,0.167291750704807,0.381652236379908,0.555945491346256,0.380264567916369,0.427636121000634,0.40471010901165,0.395676728206734,0.401402600605261,0.608922793337472,0.425391331465891,0.425283366359618,0.383373723231188,0.286917548852707,0.281868298249476,0.0100464448286887,0.0185752401243161,0.22116298841428,0.0353454707374406,0.249195499328287,0.238907885665688,0.0412921234585186,0.0186515402347384,0.283347180053843,0.442109979030935,0.344393633874636,0.354427218825588,0.278265306474104,0.426605993004078,0.220580374774277,0.232970771629727,0.326872303370346,0.267286405915669,0.258897501536367,0.260390358191773,0.388225038648912,0.592918564049514,0.580352655041975,0.360493421484427,0.297167605638385,0.235951561507855,0.354980665984523,0.392865477730296,0.340216309505474,0.481829541485186,0.272103978419274,0.391825241652425,0.430078153838657,0.445148915597719,0.259370954495367,0.266979999015159,0.281763716325523,0.0128380304487473,0.0751351791257278,0.231158995484512,0.256314844748159,0.320381825962787,0.229204831849488,0.261678998580658,0.449835527360736,0.266599393811844,0.267095353844472,0.247729318237598,0.261848245995074,0.170883982799991,0.111412936545174,0.223315040896429,0.20473855398807,0.252017469601475,0.117693667666819,0.185409042043338,0.421337432551766,0.257250674285276,0.263838407352098,0.0843027420928882,0,0.421645542297556,0.349987101105017,0.480330573060984,0.313312278650056,0.262565362551791,0.340049454120869,0.380760998408177,0.254509597820747,0.66879488455039,0.586095958199602,0.485814485825033,0.439188207643435,0.58842878571208,0.291816237172813,0.201568759728789,0.351870289113673,0.220747658310361,0.237661908071952,0.00780774252598829,0.180489338217484,0.258621035263943,0.0304009500077341,0.564254629821074,0.574862156069607,0.38142229177548,0.518287602161424,0.32251373054562,0.325842459193996,0.286418071615813,0.286531362632763,0.29840008393889,0.251122826142106,0.245962079702606,0.235512681656503,0.437648107826974,0.45931372054877,0.237997732439244,0.211322032292937,0.106173254090503,0.108733188204584,0.414089537153941,0.242927948900619,0.222136570764299,0.111484748039086,0.328699707649588,0.216856351468594,0.262679336931379,0.0897502412958203,0.272931744626992,0.32004871344067,0.0103189601714159,0.248046421291405,0.221638625066145,0.143848565240448,0.302527290865079,0.114895300221972,0.0822552394388873,0.438753454342193
