"","cluster","domesticated"
"Aepyceros_melampus",1,FALSE
"Alcelaphus_buselaphus",2,FALSE
"Alcelaphus_caama",3,FALSE
"Alces_alces",4,FALSE
"Alces_americanus",5,FALSE
"Ammotragus_lervia",6,FALSE
"Antidorcas_marsupialis",3,FALSE
"Antilocapra_americana",7,FALSE
"Antilope_cervicapra",8,FALSE
"Axis_axis",9,FALSE
"Axis_porcinus",9,FALSE
"Bison_bison",5,FALSE
"Bison_bonasus",10,FALSE
"Blastocerus_dichotomus",11,FALSE
"Bos_frontalis_gaurus",9,TRUE
"Bos_grunniens_mutus",12,TRUE
"Bos_javanicus",13,TRUE
"Bos_taurus_primigenius",10,TRUE
"Boselaphus_tragocamelus",8,FALSE
"Bubalus_bubalis_arnee",13,TRUE
"Budorcas_taxicolor",14,FALSE
"Camelus_bactrianus",15,TRUE
"Camelus_dromedarius",16,TRUE
"Capra_hircus_aegagrus",17,TRUE
"Capra_ibex",18,FALSE
"Capra_nubiana",17,FALSE
"Capra_pyrenaica",6,FALSE
"Capra_sibirica",12,FALSE
"Capreolus_capreolus",4,FALSE
"Capreolus_pygargus",19,FALSE
"Capricornis_crispus",19,FALSE
"Capricornis_swinhoei",20,FALSE
"Catagonus_wagneri",3,FALSE
"Cephalophus_dorsalis",21,FALSE
"Cephalophus_jentinki",21,FALSE
"Cephalophus_natalensis",22,FALSE
"Cephalophus_niger",23,FALSE
"Cephalophus_nigrifrons",24,FALSE
"Cephalophus_rufilatus",25,FALSE
"Cephalophus_silvicultor",23,FALSE
"Cephalophus_zebra",21,FALSE
"Ceratotherium_simum",3,FALSE
"Cervus_elaphus",4,FALSE
"Cervus_nippon",19,FALSE
"Connochaetes_gnou",26,FALSE
"Connochaetes_taurinus",2,FALSE
"Dama_dama",4,FALSE
"Damaliscus_korrigum",25,FALSE
"Damaliscus_lunatus",2,FALSE
"Damaliscus_pygargus",26,FALSE
"Diceros_bicornis",1,FALSE
"Equus_burchellii",1,FALSE
"Equus_grevyi",2,FALSE
"Equus_hemionus",17,FALSE
"Equus_kiang",12,FALSE
"Equus_przewalskii",12,TRUE
"Equus_zebra",26,FALSE
"Eudorcas_rufifrons",25,FALSE
"Eudorcas_thomsonii",1,FALSE
"Gazella_bennettii",8,FALSE
"Gazella_dorcas",16,FALSE
"Gazella_gazella",17,FALSE
"Gazella_subgutturosa",15,FALSE
"Giraffa_camelopardalis",2,FALSE
"Hemitragus_jemlahicus",14,FALSE
"Hippocamelus_antisensis",27,FALSE
"Hippocamelus_bisulcus",28,FALSE
"Hippopotamus_amphibius",2,FALSE
"Hippotragus_equinus",25,FALSE
"Hippotragus_niger",2,FALSE
"Hyemoschus_aquaticus",21,FALSE
"Hylochoerus_meinertzhageni",23,FALSE
"Kobus_ellipsiprymnus",2,FALSE
"Kobus_kob",25,FALSE
"Kobus_leche",3,FALSE
"Kobus_megaceros",25,FALSE
"Kobus_vardonii",2,FALSE
"Lama_glama_guanicoe",28,TRUE
"Litocranius_walleri",2,FALSE
"Madoqua_guentheri",2,FALSE
"Madoqua_kirkii",1,FALSE
"Madoqua_saltiana",2,FALSE
"Mazama_americana",11,FALSE
"Mazama_gouazoubira",23,FALSE
"Mazama_nana",11,FALSE
"Mazama_pandora",22,FALSE
"Mazama_rufina",24,FALSE
"Mazama_temama",23,FALSE
"Muntiacus_muntjak",13,FALSE
"Muntiacus_reevesi",18,FALSE
"Nanger_granti",2,FALSE
"Nanger_soemmerringii",2,FALSE
"Neotragus_batesi",23,FALSE
"Neotragus_pygmaeus",21,FALSE
"Odocoileus_hemionus",6,FALSE
"Odocoileus_virginianus",10,FALSE
"Oreamnos_americanus",5,FALSE
"Oreotragus_oreotragus",1,FALSE
"Oryx_beisa",2,FALSE
"Oryx_gazella",3,FALSE
"Oryx_leucoryx",16,FALSE
"Ourebia_ourebi",25,FALSE
"Ovibos_moschatus",29,FALSE
"Ovis_ammon",12,FALSE
"Ovis_aries_orientalis",15,TRUE
"Ovis_canadensis",7,FALSE
"Ovis_dalli",29,FALSE
"Ozotoceros_bezoarticus",26,FALSE
"Pecari_tajacu",22,FALSE
"Pelea_capreolus",26,FALSE
"Phacochoerus_aethiopicus",2,FALSE
"Phacochoerus_africanus",2,FALSE
"Philantomba_maxwellii",21,FALSE
"Philantomba_monticola",22,FALSE
"Potamochoerus_larvatus",1,FALSE
"Potamochoerus_porcus",23,FALSE
"Procapra_picticaudata",12,FALSE
"Pseudois_nayaur",12,FALSE
"Pudu_puda",28,FALSE
"Rangifer_tarandus",30,TRUE
"Raphicerus_campestris",3,FALSE
"Raphicerus_melanotis",26,FALSE
"Raphicerus_sharpei",2,FALSE
"Redunca_arundinum",3,FALSE
"Redunca_fulvorufula",1,FALSE
"Redunca_redunca",25,FALSE
"Rhinoceros_unicornis",9,FALSE
"Rucervus_duvaucelii",9,FALSE
"Rupicapra_pyrenaica",30,FALSE
"Rupicapra_rupicapra",30,FALSE
"Rusa_timorensis",11,FALSE
"Rusa_unicolor",9,FALSE
"Sus_barbatus",21,FALSE
"Sus_cebifrons",23,FALSE
"Sus_scrofa",10,TRUE
"Sylvicapra_grimmia",25,FALSE
"Syncerus_caffer",2,FALSE
"Tapirus_bairdii",23,FALSE
"Tapirus_pinchaque",24,FALSE
"Tapirus_terrestris",11,FALSE
"Taurotragus_oryx",1,FALSE
"Tayassu_pecari",23,FALSE
"Tragelaphus_angasii",3,FALSE
"Tragelaphus_buxtoni",31,FALSE
"Tragelaphus_eurycerus",21,FALSE
"Tragelaphus_imberbis",2,FALSE
"Tragelaphus_scriptus",2,FALSE
"Tragelaphus_spekii",22,FALSE
"Tragelaphus_strepsiceros",3,FALSE
"Tragulus_kanchil",23,FALSE
"Tragulus_napu",21,FALSE
"Vicugna_vicugna",27,TRUE
