"","species","n","AUC","important_variables"
"1","Aepyceros_melampus",449,0.8852,"27,18,14,37,32,33,19,13,35,4,7,23"
"2","Alcelaphus_buselaphus",756,0.8568,"27,18,15,10,38,29,3,19,31,7,5,33,17"
"3","Alcelaphus_caama",14,0.9772,"2,14,33,8,25,32,24,3,4,5,9,19,29"
"4","Alces_alces",785,0.8811,"38,31,29,24,35,14,32,15,2"
"5","Alces_americanus",832,0.8566,"30,11,14,25,36,38,12,26,9,24"
"6","Ammotragus_lervia",322,0.9615,"13,38,2,35,4,15,5,3"
"7","Antidorcas_marsupialis",309,0.8906,"13,15,24,6,23,3,19,36,37,1,8,33,32,35"
"8","Antilocapra_americana",525,0.8432,"2,34,32,38,13,36,6,25,15,5,17,18"
"9","Antilope_cervicapra",21,0.883,"33,15,24,16,18,19,26,17,8,36,37"
"10","Axis_axis",93,0.9177,"11,3,27,15,2,24,36,19,17,18,38"
"11","Axis_porcinus",11,0.961,"30,38,2,26,27,24,14,15,36"
"12","Bison_bison",271,0.9655,"17,15,25,2,11,7,36,8,35,24,30,19,16,18"
"13","Bison_bonasus",53,0.8467,"31,9,25,5,26,38,15,29,18,2,16"
"14","Blastocerus_dichotomus",150,0.9746,"25,35,8,30,37,33,15,2,18,3,38,19"
"15","Bos_frontalis_gaurus",51,0.8288,"4,25,17,37,24,16,36,18,23"
"16","Bos_grunniens_mutus",13,0.8813,"37,33,17,24,27,2,15,36,38"
"17","Bos_javanicus",15,0.9187,"18,26,27,35,38,2,8,12,13,30,33,37"
"18","Bos_taurus_primigenius",10,0.9353,"31,19,38,24,7,37,3,1,5,15,35,36"
"19","Boselaphus_tragocamelus",50,0.9481,"15,14,36,3,31,24,4,18,2,16,38,19"
"20","Bubalus_bubalis_arnee",25,0.9794,"3,29,18,17,15,19,24,16,26"
"21","Budorcas_taxicolor",20,0.9061,"2,31,14,3,19,38,16,36,18,32,37"
"22","Camelus_bactrianus",18,0.8657,"12,9,14,3,24,8,2,4,15,19,36,37"
"23","Camelus_dromedarius",37,0.8584,"25,18,38,33,15,19,7,34,24,2,35,37"
"24","Capra_hircus_aegagrus",37,0.8759,"16,24,8,39,3,36,2,23"
"25","Capra_ibex",113,0.9836,"12,8,7,19,15,11,35"
"26","Capra_nubiana",34,0.9981,"8,15,26,2,17,19,5,9,3,31"
"27","Capra_pyrenaica",311,0.9565,"36,15,6,8,4,1,9,3"
"28","Capra_sibirica",13,0.9353,"39,2,18,9,36,17,19,7,15,25,31,38"
"29","Capreolus_capreolus",686,0.8343,"15,6,37,5,8,4,12,17"
"30","Capreolus_pygargus",18,0.8187,"24,16,31,4,14,5,15,3,9,38"
"31","Capricornis_crispus",43,0.9037,"24,2,6,1,37,36,14,8,12,35"
"32","Capricornis_swinhoei",21,0.9933,"5,25,33,2,38,9,8,12,15,18,19,23"
"33","Catagonus_wagneri",10,0.98,"32,14,13,35,38,2,4,6,7"
"34","Cephalophus_dorsalis",259,0.9764,"24,3,11,1,13,19,35,31,7,8"
"35","Cephalophus_jentinki",100,0.9988,"17,26,25,13,11,39,19,38,23,6,8"
"36","Cephalophus_natalensis",56,0.9873,"24,2,8,34,14,33,18,23,15,12,7"
"37","Cephalophus_niger",35,0.9609,"14,3,39,11,13,19,31,35,8,37"
"38","Cephalophus_nigrifrons",18,0.982,"32,3,25,23,15,19,2,13,31,33,36,38"
"39","Cephalophus_rufilatus",156,0.9179,"17,19,6,9,13,36,24,39,35,31,32"
"40","Cephalophus_silvicultor",28,0.9661,"25,15,37,19,7,33,38,4,6,8,13"
"41","Cephalophus_zebra",145,0.9986,"14,36,9,8,27,19,35,6,38,16,32"
"42","Ceratotherium_simum",267,0.9629,"24,38,15,3,33,36,14,11,35,2,23,9,12"
"43","Cervus_elaphus",584,0.8789,"26,11,38,15,19,24,37,39"
"44","Cervus_nippon",40,0.9194,"26,29,15,38,25,36,17,37,18"
"45","Connochaetes_gnou",35,0.9597,"6,33,12,13,38,3,19,34,2,4,5,35,39"
"46","Connochaetes_taurinus",532,0.8837,"35,18,4,38,17,33,19,27,15,23,7,10,29"
"47","Dama_dama",402,0.9023,"15,2,26,16,38,17,30,33,23,1"
"48","Damaliscus_korrigum",29,0.9647,"25,19,38,2,17,35,34,6,10,24,29,33,37"
"49","Damaliscus_lunatus",163,0.8974,"25,24,6,19,33,14,18,4,5,38,8"
"50","Damaliscus_pygargus",81,0.9198,"24,34,8,35,7,32,36,3,19,9,16,30"
"51","Diceros_bicornis",162,0.9237,"12,2,37,18,36,30,33,10,14,35,19,5,15"
"52","Equus_burchellii",740,0.894,"36,19,16,18,29,15,33,25,5,38,17,2,32"
"53","Equus_grevyi",290,0.9942,"3,7,19,8,4,12,17,35,18,13,23,33"
"54","Equus_hemionus",114,0.9424,"36,8,15,11,23,12,9,19"
"55","Equus_kiang",10,0.9219,"39,15,17,23,16,3,2,7,24"
"56","Equus_przewalskii",16,0.8948,"31,14,3,29,2,18,25,36"
"57","Equus_zebra",59,0.9337,"12,32,15,33,8,26,37,3,24,6,19,5,9,39"
"58","Eudorcas_rufifrons",17,0.9881,"39,31,11,19,8,35,12,14,33"
"59","Eudorcas_thomsonii",180,0.9821,"10,25,36,16,19,18,24,7,3,33,35,38"
"60","Gazella_bennettii",21,0.9747,"30,15,19,4,3,38,17,18,9,2,27,36"
"61","Gazella_dorcas",481,0.9834,"4,23,18,8,35,10,37,13,11,15"
"62","Gazella_gazella",485,0.9927,"13,33,4,15,35,37,14,38,23"
"63","Gazella_subgutturosa",18,0.8794,"17,15,31,2,8,19,26,18,27,36"
"64","Giraffa_camelopardalis",397,0.9006,"23,12,9,16,26,38,18,33,19,8,14,7,15"
"65","Hemitragus_jemlahicus",15,0.9616,"11,25,37,7,3,38,15,36,2,14"
"66","Hippocamelus_antisensis",10,0.9455,"8,2,4,35,18,38"
"67","Hippocamelus_bisulcus",15,0.9714,"29,3,13,18,15,26,8,6,35"
"68","Hippopotamus_amphibius",423,0.9052,"11,12,15,18,38,36,2,33,14,10,19,31,5"
"69","Hippotragus_equinus",882,0.9776,"39,6,17,16,19,10,35,24,31,9,33"
"70","Hippotragus_niger",75,0.8918,"27,24,16,7,32,33,17,23,4,29,35,18"
"71","Hyemoschus_aquaticus",31,0.9848,"17,4,19,31,1,9,2,8,13,35"
"72","Hylochoerus_meinertzhageni",34,0.9748,"14,12,36,18,19,35,7,29,38,6,13,33"
"73","Kobus_ellipsiprymnus",460,0.8501,"27,15,13,18,17,33,9,7,3,5,19,34,8"
"74","Kobus_kob",817,0.9634,"39,19,6,17,34,2,13,35,33"
"75","Kobus_leche",52,0.9582,"5,14,3,24,12,36,39,7,10,15,18,19,33"
"76","Kobus_megaceros",59,0.9938,"17,4,19,6,2,5,16,25,23,33,34"
"77","Kobus_vardonii",59,0.9754,"15,17,34,3,38,18,5,27,24,2,10,19,29,33"
"78","Lama_glama_guanicoe",272,0.9136,"8,2,30,25,14,24,15,4,35,7"
"79","Litocranius_walleri",185,0.9714,"23,1,19,4,25,7,36,16,18,17,31,33"
"80","Madoqua_guentheri",34,0.9619,"2,36,26,16,19,18,38,31,25,24,1,33"
"81","Madoqua_kirkii",162,0.921,"24,19,27,10,35,26,38,18,15,2,39,33,5"
"82","Madoqua_saltiana",26,0.938,"36,15,19,8,9,11,37,12,2,32,17,1,18,31,33"
"83","Mazama_americana",536,0.8715,"19,3,2,24,12,18,1,8,23,38"
"84","Mazama_gouazoubira",274,0.8842,"2,37,19,7,23,16,18,5,15,29"
"85","Mazama_nana",71,0.9992,"12,2,15,39,5,4,8,16,33,35"
"86","Mazama_pandora",73,0.9651,"35,31,18,14,13,4,8,34,7,19,33,37"
"87","Mazama_rufina",17,0.9733,"36,33,3,38,2,13,17,24,35"
"88","Mazama_temama",96,0.901,"36,2,12,17,33,15,29,23,31,5"
"89","Muntiacus_muntjak",48,0.8646,"25,16,24,35,19,3,38,2"
"90","Muntiacus_reevesi",524,0.9583,"38,18,16,15,26,9,3,23,34,1,10"
"91","Nanger_granti",752,0.9519,"29,19,38,4,27,16,36,7,35,14,18,33"
"92","Nanger_soemmerringii",13,0.9927,"15,2,7,3,38,31,14,25,35,8,11,37,18,33"
"93","Neotragus_batesi",15,0.9179,"2,19,24,16,38,31,15,9,6,10,12,33"
"94","Neotragus_pygmaeus",54,0.9557,"14,3,10,35,27,23,19,9,38,34"
"95","Odocoileus_hemionus",842,0.8603,"4,38,18,24,15,11,39,36,9,17,27"
"96","Odocoileus_virginianus",762,0.8184,"6,24,15,38,37,36,5,14,18"
"97","Oreamnos_americanus",221,0.9483,"8,24,12,23,26,17,2,11,15,35"
"98","Oreotragus_oreotragus",213,0.917,"12,8,9,38,5,33,26,15,16,7,17,35,19,18"
"99","Oryx_beisa",133,0.9765,"3,2,19,25,16,36,35,29,18,38,14,33"
"100","Oryx_gazella",255,0.912,"12,14,37,15,33,9,24,35,3,32,36,31,38,5"
"101","Oryx_leucoryx",13,0.9289,"4,15,9,14,8,3,10,12,31,37"
"102","Ourebia_ourebi",402,0.9775,"39,25,14,6,8,10,19,9,35,18,31"
"103","Ovibos_moschatus",47,0.8288,"2,24,15,34,26,35,6"
"104","Ovis_ammon",19,0.8607,"30,25,2,17,12,9,19,8,24,15,3,5,36"
"105","Ovis_aries_orientalis",11,0.9209,"17,38,3,2,29,18,19,7,24,35,36,39"
"106","Ovis_canadensis",304,0.91,"16,9,24,15,4,33,17,8,6,36,2,32,18"
"107","Ovis_dalli",71,0.8989,"4,15,38,19,32,3,2,5,39"
"108","Ozotoceros_bezoarticus",24,0.834,"38,4,18,2,15,5,35,19,17,11,27,37"
"109","Pecari_tajacu",537,0.8514,"8,24,38,39,26,35,37,16,10,19,18,15"
"110","Pelea_capreolus",39,0.9789,"38,17,33,23,11,35,15,27,2,6,7"
"111","Phacochoerus_aethiopicus",85,0.8441,"12,15,36,18,19,2,14,30,8,38,33,34,5"
"112","Phacochoerus_africanus",639,0.835,"18,7,15,14,10,13,38,33,39,19,3,34,23"
"113","Philantomba_maxwellii",247,0.981,"14,36,39,19,37,16,38,9,31"
"114","Philantomba_monticola",94,0.9471,"14,37,13,19,18,38,3,23,33,12,34,32,29"
"115","Potamochoerus_larvatus",41,0.8978,"35,23,2,33,16,32,18,12,38,9,4,14,15,19"
"116","Potamochoerus_porcus",106,0.9544,"17,26,19,35,8,16,11,6,34,29"
"117","Procapra_picticaudata",17,0.9187,"32,24,17,19,38,11,16,3,15,36"
"118","Pseudois_nayaur",17,0.9435,"1,15,24,4,3,17,12,8,2,38"
"119","Pudu_puda",94,0.985,"16,15,38,14,6,3,32,9,37"
"120","Rangifer_tarandus",44,0.9576,"32,3,15,31,4,38,5,12,9"
"121","Raphicerus_campestris",289,0.8491,"26,38,33,24,18,34,19,3,7,5,39,15,35,8"
"122","Raphicerus_melanotis",29,0.9774,"38,19,26,15,9,3,14,5,29,6,16,33"
"123","Raphicerus_sharpei",40,0.9356,"10,12,24,2,3,18,19,33,35,37,5,9,15"
"124","Redunca_arundinum",70,0.9145,"24,3,27,10,33,1,15,35,23,18,37,7,17,19"
"125","Redunca_fulvorufula",33,0.9451,"9,24,19,5,33,10,7,15,13,38,35,18,2"
"126","Redunca_redunca",514,0.9653,"11,19,14,7,38,35,23,6,16,34,29,33"
"127","Rhinoceros_unicornis",14,0.9749,"10,13,3,4,36,24,14,15"
"128","Rucervus_duvaucelii",14,0.9785,"25,32,24,2,12,36,14,7,15,38"
"129","Rupicapra_pyrenaica",203,0.9938,"29,34,37,3,25,15,35,38,16,4"
"130","Rupicapra_rupicapra",110,0.9793,"8,33,36,13,35,12,3,4,15,5"
"131","Rusa_timorensis",545,0.9785,"37,14,35,33,15,13,5,9,11"
"132","Rusa_unicolor",95,0.8826,"1,24,13,15,38,12,17,36,18,2,10"
"133","Sus_barbatus",21,0.9578,"27,17,34,2,26,13,19,37,33"
"134","Sus_cebifrons",14,0.9561,"17,16,25,31,1,2,34,22,18,19,20,21,23,36,37,38,41,NA"
"135","Sus_scrofa",88,0.9358,"15,37,8,29,11,4,12,7,14,19"
"136","Sylvicapra_grimmia",530,0.8961,"11,18,12,38,10,4,19,5,2,34,33,15,17"
"137","Syncerus_caffer",599,0.8446,"27,24,1,4,8,17,34,18,33,7,37,19"
"138","Tapirus_bairdii",201,0.9039,"13,36,18,35,15,31,8,7,11,33,38"
"139","Tapirus_pinchaque",10,0.9954,"31,24,25,38,33,7,18,3,36"
"140","Tapirus_terrestris",677,0.8621,"36,18,37,32,35,19,15,12,2,1"
"141","Taurotragus_oryx",101,0.8468,"32,13,19,3,35,18,27,29,33,37,38,14,5,15"
"142","Tayassu_pecari",316,0.8515,"2,36,6,27,23,15,31,18,19,8,38"
"143","Tragelaphus_angasii",181,0.9785,"15,10,36,24,33,19,38,27,3,34,18,9,5"
"144","Tragelaphus_buxtoni",15,0.9989,"36,33,30,15,25,19,24,18,37,3,7,35,38"
"145","Tragelaphus_eurycerus",55,0.9773,"14,30,11,6,13,34,38,5,27,35"
"146","Tragelaphus_imberbis",61,0.964,"19,37,27,8,18,7,4,36,15,13,35,33"
"147","Tragelaphus_scriptus",583,0.8401,"27,24,32,7,38,18,3,19,33,11,15,31,23"
"148","Tragelaphus_spekii",44,0.8767,"25,18,2,3,19,34,17,13,32,26,37,38,29,33"
"149","Tragelaphus_strepsiceros",573,0.8865,"38,24,26,35,15,33,7,16,10,14,34,18,23,29"
"150","Tragulus_kanchil",14,0.9269,"16,11,2,37,38,1,12,14,18,34,35"
"151","Tragulus_napu",13,0.8792,"6,38,34,4,2,12,13,18,35,37,39"
"152","Vicugna_vicugna",12,0.9637,"6,36,38,19,2,12"
