"","cluster","domesticated","taxon.name"
"Equus_zebra",22,FALSE,"Equus_zebra"
"Eudorcas_rufifrons",2,FALSE,"Eudorcas_rufifrons"
"Eudorcas_thomsonii",23,FALSE,"Eudorcas_thomsonii"
"Gazella_bennettii",7,FALSE,"Gazella_bennettii"
"Gazella_dorcas",15,FALSE,"Gazella_dorcas"
"Gazella_gazella",15,FALSE,"Gazella_gazella"
"Gazella_subgutturosa",6,FALSE,"Gazella_subgutturosa"
"Giraffa_camelopardalis",24,FALSE,"Giraffa_camelopardalis"
"Hemitragus_jemlahicus",13,FALSE,"Hemitragus_jemlahicus"
"Hippocamelus_antisensis",25,FALSE,"Hippocamelus_antisensis"
"Hippocamelus_bisulcus",16,FALSE,"Hippocamelus_bisulcus"
"Hippopotamus_amphibius",1,FALSE,"Hippopotamus_amphibius"
"Hippotragus_equinus",2,FALSE,"Hippotragus_equinus"
"Hippotragus_niger",1,FALSE,"Hippotragus_niger"
"Hyemoschus_aquaticus",19,FALSE,"Hyemoschus_aquaticus"
"Hylochoerus_meinertzhageni",26,FALSE,"Hylochoerus_meinertzhageni"
"Kobus_ellipsiprymnus",1,FALSE,"Kobus_ellipsiprymnus"
"Kobus_kob",2,FALSE,"Kobus_kob"
"Kobus_leche",1,FALSE,"Kobus_leche"
"Kobus_megaceros",2,FALSE,"Kobus_megaceros"
"Kobus_vardonii",1,FALSE,"Kobus_vardonii"
"Lama_glama_guanicoe",16,TRUE,"Lama_glama_guanicoe"
"Litocranius_walleri",24,FALSE,"Litocranius_walleri"
"Madoqua_guentheri",23,FALSE,"Madoqua_guentheri"
"Madoqua_kirkii",1,FALSE,"Madoqua_kirkii"
"Madoqua_saltiana",24,FALSE,"Madoqua_saltiana"
"Mazama_americana",27,FALSE,"Mazama_americana"
"Mazama_gouazoubira",26,FALSE,"Mazama_gouazoubira"
"Mazama_nana",27,FALSE,"Mazama_nana"
"Mazama_pandora",12,FALSE,"Mazama_pandora"
"Mazama_rufina",21,FALSE,"Mazama_rufina"
"Mazama_temama",26,FALSE,"Mazama_temama"
"Muntiacus_muntjak",8,FALSE,"Muntiacus_muntjak"
"Muntiacus_reevesi",3,FALSE,"Muntiacus_reevesi"
"Nanger_granti",24,FALSE,"Nanger_granti"
"Nanger_soemmerringii",24,FALSE,"Nanger_soemmerringii"
"Neotragus_batesi",26,FALSE,"Neotragus_batesi"
"Neotragus_pygmaeus",19,FALSE,"Neotragus_pygmaeus"
"Odocoileus_hemionus",5,FALSE,"Odocoileus_hemionus"
"Odocoileus_virginianus",28,FALSE,"Odocoileus_virginianus"
"Oreamnos_americanus",4,FALSE,"Oreamnos_americanus"
"Oreotragus_oreotragus",22,FALSE,"Oreotragus_oreotragus"
"Oryx_beisa",24,FALSE,"Oryx_beisa"
"Oryx_gazella",1,FALSE,"Oryx_gazella"
"Oryx_leucoryx",7,FALSE,"Oryx_leucoryx"
"Ourebia_ourebi",2,FALSE,"Ourebia_ourebi"
"Ovibos_moschatus",29,FALSE,"Ovibos_moschatus"
"Ovis_ammon",14,FALSE,"Ovis_ammon"
"Ovis_aries_orientalis",6,TRUE,"Ovis_aries_orientalis"
"Ovis_canadensis",5,FALSE,"Ovis_canadensis"
"Ovis_dalli",11,FALSE,"Ovis_dalli"
"Ozotoceros_bezoarticus",10,FALSE,"Ozotoceros_bezoarticus"
"Pecari_tajacu",12,FALSE,"Pecari_tajacu"
"Pelea_capreolus",22,FALSE,"Pelea_capreolus"
"Phacochoerus_aethiopicus",1,FALSE,"Phacochoerus_aethiopicus"
"Phacochoerus_africanus",2,FALSE,"Phacochoerus_africanus"
"Philantomba_maxwellii",19,FALSE,"Philantomba_maxwellii"
"Philantomba_monticola",20,FALSE,"Philantomba_monticola"
"Potamochoerus_larvatus",20,FALSE,"Potamochoerus_larvatus"
"Potamochoerus_porcus",19,FALSE,"Potamochoerus_porcus"
"Procapra_picticaudata",11,FALSE,"Procapra_picticaudata"
"Pseudois_nayaur",11,FALSE,"Pseudois_nayaur"
"Pudu_puda",16,FALSE,"Pudu_puda"
"Rangifer_tarandus",30,TRUE,"Rangifer_tarandus"
"Raphicerus_campestris",1,FALSE,"Raphicerus_campestris"
"Raphicerus_melanotis",22,FALSE,"Raphicerus_melanotis"
"Raphicerus_sharpei",1,FALSE,"Raphicerus_sharpei"
"Redunca_arundinum",1,FALSE,"Redunca_arundinum"
"Redunca_fulvorufula",22,FALSE,"Redunca_fulvorufula"
"Redunca_redunca",2,FALSE,"Redunca_redunca"
"Rhinoceros_unicornis",8,FALSE,"Rhinoceros_unicornis"
"Rucervus_duvaucelii",8,FALSE,"Rucervus_duvaucelii"
"Rupicapra_pyrenaica",30,FALSE,"Rupicapra_pyrenaica"
"Rupicapra_rupicapra",30,FALSE,"Rupicapra_rupicapra"
"Rusa_timorensis",20,FALSE,"Rusa_timorensis"
"Rusa_unicolor",8,FALSE,"Rusa_unicolor"
"Sus_barbatus",19,FALSE,"Sus_barbatus"
"Sus_cebifrons",26,FALSE,"Sus_cebifrons"
"Sus_scrofa",9,TRUE,"Sus_scrofa"
"Sylvicapra_grimmia",2,FALSE,"Sylvicapra_grimmia"
"Syncerus_caffer",2,FALSE,"Syncerus_caffer"
"Tapirus_bairdii",26,FALSE,"Tapirus_bairdii"
"Tapirus_pinchaque",21,FALSE,"Tapirus_pinchaque"
"Tapirus_terrestris",27,FALSE,"Tapirus_terrestris"
"Taurotragus_oryx",1,FALSE,"Taurotragus_oryx"
"Tayassu_pecari",26,FALSE,"Tayassu_pecari"
"Tragelaphus_angasii",1,FALSE,"Tragelaphus_angasii"
"Tragelaphus_buxtoni",31,FALSE,"Tragelaphus_buxtoni"
"Tragelaphus_eurycerus",19,FALSE,"Tragelaphus_eurycerus"
"Tragelaphus_imberbis",24,FALSE,"Tragelaphus_imberbis"
"Tragelaphus_scriptus",2,FALSE,"Tragelaphus_scriptus"
"Tragelaphus_spekii",12,FALSE,"Tragelaphus_spekii"
"Tragelaphus_strepsiceros",1,FALSE,"Tragelaphus_strepsiceros"
"Tragulus_kanchil",26,FALSE,"Tragulus_kanchil"
"Tragulus_napu",19,FALSE,"Tragulus_napu"
"Vicugna_vicugna",25,FALSE,"Vicugna_vicugna"
