"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Aspect","BulkDensity","ClayPercentage","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","OrganicCarbon","PhCaCL","slope"
"Aepyceros_melampus",NA,NA,NA,0.4714,NA,NA,0.2926,NA,NA,NA,NA,NA,3.7941,12.4102,NA,NA,NA,16.5745,5.8117,NA,NA,NA,0.1375,NA,NA,NA,21.3153,NA,NA,NA,6.6102,6.4991,NA,3.2024,NA,7.2088,NA,NA,NA,NA,NA
"Alcelaphus_buselaphus",NA,NA,3.3579,NA,2.1365,NA,2.1618,NA,NA,9.1318,NA,NA,NA,NA,12.5639,NA,0.2034,15.8915,3.3045,NA,NA,NA,NA,NA,NA,NA,29.5933,4.6991,NA,2.3168,NA,0.5639,NA,NA,NA,NA,4.8499,NA,NA,NA,NA
"Alcelaphus_caama",NA,35.7756,0,0,0,NA,NA,4.0121,0,NA,NA,NA,NA,21.1194,NA,NA,NA,NA,0,NA,NA,NA,NA,0.0916,3.7466,NA,NA,0,NA,NA,0.6357,8.6917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alces_alces",NA,0.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1157,0.0264,NA,NA,NA,NA,NA,NA,NA,NA,6.0101,NA,NA,NA,10.6737,NA,25.8762,0.0453,NA,NA,0.2509,NA,NA,53.2329,NA,NA,NA,NA
"Alces_americanus",NA,NA,NA,NA,NA,NA,NA,NA,0.0565,NA,22.7241,0.2836,NA,19.6599,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,16.4741,0.0668,NA,NA,31.9653,NA,NA,NA,NA,NA,2.4343,NA,0.751,NA,NA,NA,NA
"Ammotragus_lervia",NA,16.5456,0.1099,2.2408,0.9699,NA,NA,NA,NA,NA,NA,NA,21.0122,NA,1.3166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1909,NA,NA,18.5396,NA,NA,NA,NA
"Antidorcas_marsupialis",0.3223,NA,4.0832,NA,NA,7.5432,NA,0.1526,NA,NA,NA,NA,40.0853,NA,15.2629,NA,NA,NA,2.7128,NA,NA,NA,5.9674,14.3145,NA,NA,NA,NA,NA,NA,0.0392,0.0608,NA,0.0355,1.1397,0.4114,NA,NA,NA,NA,NA
"Antilocapra_americana",NA,52.3547,NA,NA,0.091,2.599,NA,NA,NA,NA,NA,NA,3.4869,NA,0.4833,NA,0.004,0,NA,NA,NA,NA,NA,NA,2.0074,NA,NA,NA,NA,NA,6.4792,NA,18.6532,NA,2.7265,NA,3.6047,NA,NA,NA,NA
"Antilope_cervicapra",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.9422,2.5408,0.0761,2.4711,0.4494,NA,NA,NA,NA,4.3566,NA,0.3531,NA,NA,NA,NA,NA,35.9762,NA,NA,0,0,NA,NA,NA,NA,NA
"Axis_axis",NA,9.6017,17.008,NA,NA,NA,NA,NA,NA,NA,30.3136,NA,NA,NA,10.036,NA,2.7333,1.942,2.8201,NA,NA,NA,NA,5.0383,NA,NA,12.9271,NA,NA,NA,NA,NA,NA,NA,3.8301,NA,0.3975,NA,NA,NA,NA
"Axis_porcinus",NA,9.2772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562,0.2766,NA,NA,NA,NA,NA,NA,NA,NA,2.3344,NA,6.8565,5.4254,NA,27.0124,NA,NA,NA,NA,NA,0,NA,24.7806,NA,NA,NA,NA
"Bison_bison",NA,9.6396,NA,NA,NA,NA,4.7841,1.5968,NA,NA,5.7101,NA,NA,NA,20.3287,0.0744,29.7819,0.0389,0.1897,NA,NA,NA,NA,0.4808,18.9236,NA,NA,NA,0.2317,NA,NA,NA,NA,0.9235,1.6079,NA,NA,NA,NA,NA,NA
