"","cluster","domesticated","taxon.name"
"Equus_zebra",23,FALSE,"Equus_zebra"
"Eudorcas_rufifrons",22,FALSE,"Eudorcas_rufifrons"
"Eudorcas_thomsonii",4,FALSE,"Eudorcas_thomsonii"
"Gazella_bennettii",1,FALSE,"Gazella_bennettii"
"Gazella_dorcas",15,FALSE,"Gazella_dorcas"
"Gazella_gazella",15,FALSE,"Gazella_gazella"
"Gazella_subgutturosa",5,FALSE,"Gazella_subgutturosa"
"Giraffa_camelopardalis",1,FALSE,"Giraffa_camelopardalis"
"Hemitragus_jemlahicus",19,FALSE,"Hemitragus_jemlahicus"
"Hippocamelus_antisensis",4,FALSE,"Hippocamelus_antisensis"
"Hippocamelus_bisulcus",17,FALSE,"Hippocamelus_bisulcus"
"Hippopotamus_amphibius",1,FALSE,"Hippopotamus_amphibius"
"Hippotragus_equinus",22,FALSE,"Hippotragus_equinus"
"Hippotragus_niger",2,FALSE,"Hippotragus_niger"
"Hyemoschus_aquaticus",20,FALSE,"Hyemoschus_aquaticus"
"Hylochoerus_meinertzhageni",20,FALSE,"Hylochoerus_meinertzhageni"
"Kobus_ellipsiprymnus",2,FALSE,"Kobus_ellipsiprymnus"
"Kobus_kob",22,FALSE,"Kobus_kob"
"Kobus_leche",1,FALSE,"Kobus_leche"
"Kobus_megaceros",22,FALSE,"Kobus_megaceros"
"Kobus_vardonii",22,FALSE,"Kobus_vardonii"
"Lama_glama_guanicoe",24,TRUE,"Lama_glama_guanicoe"
"Litocranius_walleri",2,FALSE,"Litocranius_walleri"
"Madoqua_guentheri",2,FALSE,"Madoqua_guentheri"
"Madoqua_kirkii",2,FALSE,"Madoqua_kirkii"
"Madoqua_saltiana",2,FALSE,"Madoqua_saltiana"
"Mazama_americana",12,FALSE,"Mazama_americana"
"Mazama_gouazoubira",10,FALSE,"Mazama_gouazoubira"
"Mazama_nana",12,FALSE,"Mazama_nana"
"Mazama_pandora",9,FALSE,"Mazama_pandora"
"Mazama_rufina",21,FALSE,"Mazama_rufina"
"Mazama_temama",10,FALSE,"Mazama_temama"
"Muntiacus_muntjak",10,FALSE,"Muntiacus_muntjak"
"Muntiacus_reevesi",17,FALSE,"Muntiacus_reevesi"
"Nanger_granti",2,FALSE,"Nanger_granti"
"Nanger_soemmerringii",2,FALSE,"Nanger_soemmerringii"
"Neotragus_batesi",20,FALSE,"Neotragus_batesi"
"Neotragus_pygmaeus",20,FALSE,"Neotragus_pygmaeus"
"Odocoileus_hemionus",5,FALSE,"Odocoileus_hemionus"
"Odocoileus_virginianus",16,FALSE,"Odocoileus_virginianus"
"Oreamnos_americanus",3,FALSE,"Oreamnos_americanus"
"Oreotragus_oreotragus",23,FALSE,"Oreotragus_oreotragus"
"Oryx_beisa",2,FALSE,"Oryx_beisa"
"Oryx_gazella",1,FALSE,"Oryx_gazella"
"Oryx_leucoryx",15,FALSE,"Oryx_leucoryx"
"Ourebia_ourebi",22,FALSE,"Ourebia_ourebi"
"Ovibos_moschatus",14,FALSE,"Ovibos_moschatus"
"Ovis_ammon",11,FALSE,"Ovis_ammon"
"Ovis_aries_orientalis",7,TRUE,"Ovis_aries_orientalis"
"Ovis_canadensis",16,FALSE,"Ovis_canadensis"
"Ovis_dalli",7,FALSE,"Ovis_dalli"
"Ozotoceros_bezoarticus",9,FALSE,"Ozotoceros_bezoarticus"
"Pecari_tajacu",9,FALSE,"Pecari_tajacu"
"Pelea_capreolus",4,FALSE,"Pelea_capreolus"
"Phacochoerus_aethiopicus",2,FALSE,"Phacochoerus_aethiopicus"
"Phacochoerus_africanus",2,FALSE,"Phacochoerus_africanus"
"Philantomba_maxwellii",20,FALSE,"Philantomba_maxwellii"
