"","cluster","domesticated"
"Aepyceros_melampus",1,FALSE
"Alcelaphus_buselaphus",2,FALSE
"Alcelaphus_caama",3,FALSE
"Alces_alces",4,FALSE
"Alces_americanus",5,FALSE
"Ammotragus_lervia",1,FALSE
"Antidorcas_marsupialis",3,FALSE
"Antilocapra_americana",6,FALSE
"Antilope_cervicapra",3,FALSE
"Axis_axis",7,FALSE
"Axis_porcinus",8,FALSE
"Bison_bison",9,FALSE
"Bison_bonasus",10,FALSE
"Blastocerus_dichotomus",11,FALSE
"Bos_frontalis_gaurus",8,TRUE
"Bos_grunniens_mutus",12,TRUE
"Bos_javanicus",8,TRUE
"Bos_taurus_primigenius",10,TRUE
"Boselaphus_tragocamelus",3,FALSE
"Bubalus_bubalis_arnee",13,TRUE
"Budorcas_taxicolor",14,FALSE
"Camelus_bactrianus",15,TRUE
"Camelus_dromedarius",16,TRUE
"Capra_hircus_aegagrus",15,TRUE
"Capra_ibex",4,FALSE
"Capra_nubiana",16,FALSE
"Capra_pyrenaica",10,FALSE
"Capra_sibirica",12,FALSE
"Capreolus_capreolus",17,FALSE
"Capreolus_pygargus",5,FALSE
"Capricornis_crispus",18,FALSE
"Capricornis_swinhoei",19,FALSE
"Catagonus_wagneri",2,FALSE
"Cephalophus_dorsalis",13,FALSE
"Cephalophus_jentinki",20,FALSE
"Cephalophus_natalensis",13,FALSE
"Cephalophus_niger",11,FALSE
"Cephalophus_nigrifrons",21,FALSE
"Cephalophus_rufilatus",2,FALSE
"Cephalophus_silvicultor",13,FALSE
"Cephalophus_zebra",13,FALSE
"Ceratotherium_simum",22,FALSE
"Cervus_elaphus",17,FALSE
"Cervus_nippon",14,FALSE
"Connochaetes_gnou",22,FALSE
"Connochaetes_taurinus",1,FALSE
"Dama_dama",17,FALSE
"Damaliscus_korrigum",1,FALSE
"Damaliscus_lunatus",1,FALSE
"Damaliscus_pygargus",22,FALSE
"Diceros_bicornis",1,FALSE
"Equus_burchellii",1,FALSE
"Equus_grevyi",1,FALSE
"Equus_hemionus",16,FALSE
"Equus_kiang",12,FALSE
"Equus_przewalskii",12,TRUE
"Equus_zebra",1,FALSE
"Eudorcas_rufifrons",2,FALSE
"Eudorcas_thomsonii",22,FALSE
"Gazella_bennettii",3,FALSE
"Gazella_dorcas",16,FALSE
"Gazella_gazella",16,FALSE
"Gazella_subgutturosa",15,FALSE
"Giraffa_camelopardalis",3,FALSE
"Hemitragus_jemlahicus",14,FALSE
"Hippocamelus_antisensis",23,FALSE
"Hippocamelus_bisulcus",17,FALSE
"Hippopotamus_amphibius",1,FALSE
"Hippotragus_equinus",2,FALSE
"Hippotragus_niger",2,FALSE
"Hyemoschus_aquaticus",13,FALSE
"Hylochoerus_meinertzhageni",13,FALSE
"Kobus_ellipsiprymnus",2,FALSE
"Kobus_kob",2,FALSE
"Kobus_leche",3,FALSE
"Kobus_megaceros",2,FALSE
"Kobus_vardonii",2,FALSE
"Lama_glama_guanicoe",24,TRUE
"Litocranius_walleri",1,FALSE
"Madoqua_guentheri",1,FALSE
"Madoqua_kirkii",1,FALSE
"Madoqua_saltiana",2,FALSE
"Mazama_americana",20,FALSE
"Mazama_gouazoubira",13,FALSE
"Mazama_nana",20,FALSE
"Mazama_pandora",11,FALSE
"Mazama_rufina",21,FALSE
"Mazama_temama",25,FALSE
"Muntiacus_muntjak",8,FALSE
"Muntiacus_reevesi",10,FALSE
"Nanger_granti",1,FALSE
"Nanger_soemmerringii",1,FALSE
"Neotragus_batesi",13,FALSE
"Neotragus_pygmaeus",23,FALSE
"Odocoileus_hemionus",6,FALSE
"Odocoileus_virginianus",9,FALSE
"Oreamnos_americanus",4,FALSE
"Oreotragus_oreotragus",1,FALSE
"Oryx_beisa",1,FALSE
"Oryx_gazella",3,FALSE
"Oryx_leucoryx",16,FALSE
"Ourebia_ourebi",2,FALSE
"Ovibos_moschatus",12,FALSE
"Ovis_ammon",12,FALSE
"Ovis_aries_orientalis",12,TRUE
"Ovis_canadensis",9,FALSE
"Ovis_dalli",5,FALSE
"Ozotoceros_bezoarticus",11,FALSE
"Pecari_tajacu",11,FALSE
"Pelea_capreolus",22,FALSE
"Phacochoerus_aethiopicus",2,FALSE
"Phacochoerus_africanus",2,FALSE
"Philantomba_maxwellii",13,FALSE
"Philantomba_monticola",13,FALSE
"Potamochoerus_larvatus",1,FALSE
"Potamochoerus_porcus",11,FALSE
"Procapra_picticaudata",12,FALSE
"Pseudois_nayaur",26,FALSE
"Pudu_puda",27,FALSE
"Rangifer_tarandus",4,TRUE
"Raphicerus_campestris",3,FALSE
"Raphicerus_melanotis",11,FALSE
"Raphicerus_sharpei",3,FALSE
"Redunca_arundinum",3,FALSE
"Redunca_fulvorufula",22,FALSE
"Redunca_redunca",2,FALSE
"Rhinoceros_unicornis",7,FALSE
"Rucervus_duvaucelii",8,FALSE
"Rupicapra_pyrenaica",17,FALSE
"Rupicapra_rupicapra",12,FALSE
"Rusa_timorensis",25,FALSE
"Rusa_unicolor",8,FALSE
"Sus_barbatus",28,FALSE
"Sus_cebifrons",3,FALSE
"Sus_scrofa",5,TRUE
"Sylvicapra_grimmia",2,FALSE
"Syncerus_caffer",2,FALSE
"Tapirus_bairdii",13,FALSE
"Tapirus_pinchaque",29,FALSE
"Tapirus_terrestris",30,FALSE
"Taurotragus_oryx",1,FALSE
"Tayassu_pecari",13,FALSE
"Tragelaphus_angasii",2,FALSE
"Tragelaphus_buxtoni",21,FALSE
"Tragelaphus_eurycerus",13,FALSE
"Tragelaphus_imberbis",1,FALSE
"Tragelaphus_scriptus",2,FALSE
"Tragelaphus_spekii",11,FALSE
"Tragelaphus_strepsiceros",3,FALSE
"Tragulus_kanchil",8,FALSE
"Tragulus_napu",20,FALSE
"Vicugna_vicugna",31,TRUE
