taxon_name	biomes	Boreal Forests/Taiga	Deserts & Xeric Shrublands	Flooded Grasslands & Savannas	Mangroves	Mediterranean Forests, Woodlands & Scrub	Montane Grasslands & Shrublands	Temperate Broadleaf & Mixed Forests	Temperate Conifer Forests	Temperate Grasslands, Savannas & Shrublands	Tropical & Subtropical Coniferous Forests	Tropical & Subtropical Dry Broadleaf Forests	Tropical & Subtropical Grasslands, Savannas & Shrublands	Tropical & Subtropical Moist Broadleaf Forests	Tundra
Aepyceros melampus	4	0	4	18	0	0	0	0	0	0	0	0	389	38	0
Alcelaphus buselaphus	5	0	60	15	0	0	14	0	0	0	0	0	656	9	0
Alcelaphus caama	3	0	6	1	0	0	0	0	0	0	0	0	7	0	0
Alces alces	4	353	0	0	0	0	0	294	7	0	0	0	0	0	104
Alces americanus	6	66	17	0	0	0	0	337	315	42	0	0	0	0	44
Ammotragus lervia	3	0	4	0	0	314	0	0	0	0	0	0	3	0	0
Antidorcas marsupialis	4	0	179	46	0	0	13	0	0	0	0	0	71	0	0
Antilocapra americana	3	0	224	0	0	0	0	0	152	149	0	0	0	0	0
Antilope cervicapra	3	0	10	0	0	0	0	0	0	0	0	3	0	8	0
Axis axis	5	0	2	0	3	0	0	0	0	0	0	49	7	32	0
Axis porcinus	2	0	0	0	0	0	0	0	0	0	0	0	4	7	0
Bison bison	2	0	5	0	0	0	0	0	266	0	0	0	0	0	0
Bison bonasus	2	0	0	0	0	0	0	51	2	0	0	0	0	0	0
Blastocerus dichotomus	3	0	0	22	0	0	0	0	0	2	0	0	126	0	0
Bos frontalis gaurus	5	0	1	0	0	0	0	2	0	0	0	13	1	34	0
Bos grunniens mutus	5	0	1	0	0	0	6	0	2	2	1	0	0	0	0
Bos javanicus	2	0	0	0	0	0	0	0	0	0	0	6	0	8	0
Bos taurus primigenius	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Boselaphus tragocamelus	5	0	11	3	0	0	0	0	0	0	0	13	1	22	0
Bubalus bubalis arnee	3	0	0	0	0	0	0	0	0	0	0	11	1	13	0
Budorcas taxicolor	4	0	0	0	0	0	1	12	5	0	0	0	0	2	0
Camelus bactrianus	5	0	9	0	0	0	1	1	4	3	0	0	0	0	0
Camelus dromedarius	7	0	24	1	0	3	0	0	0	1	0	1	4	2	0
Capra hircus aegagrus	5	0	14	0	0	1	0	16	3	2	0	0	0	0	0
Capra ibex	4	0	40	0	0	7	0	2	64	0	0	0	0	0	0
Capra nubiana	2	0	33	0	0	1	0	0	0	0	0	0	0	0	0
Capra pyrenaica	1	0	0	0	0	311	0	0	0	0	0	0	0	0	0
Capra sibirica	4	0	3	0	0	0	8	0	1	1	0	0	0	0	0
Capreolus capreolus	5	19	0	0	0	13	0	567	69	0	0	0	0	0	3
Capreolus pygargus	3	1	0	0	0	0	0	12	0	5	0	0	0	0	0
Capricornis crispus	2	0	0	0	0	0	0	39	4	0	0	0	0	0	0
Capricornis swinhoei	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Catagonus wagneri	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Cephalophus dorsalis	1	0	0	0	0	0	0	0	0	0	0	0	0	259	0
Cephalophus jentinki	1	0	0	0	0	0	0	0	0	0	0	0	0	100	0
Cephalophus natalensis	3	0	0	0	1	0	0	0	0	0	0	0	11	44	0
Cephalophus niger	1	0	0	0	0	0	0	0	0	0	0	0	0	35	0
Cephalophus nigrifrons	2	0	0	0	0	0	6	0	0	0	0	0	0	12	0
Cephalophus rufilatus	2	0	0	0	0	0	0	0	0	0	0	0	153	3	0
Cephalophus silvicultor	2	0	0	0	0	0	0	0	0	0	0	0	3	25	0
Cephalophus zebra	1	0	0	0	0	0	0	0	0	0	0	0	0	145	0
Ceratotherium simum	5	0	3	0	1	0	10	0	0	0	0	0	222	31	0
Cervus elaphus	5	4	0	0	0	53	0	310	177	0	0	0	0	0	31
Cervus nippon	3	0	0	0	0	0	0	36	3	0	0	0	0	1	0
Connochaetes gnou	3	0	10	0	0	0	15	0	0	0	0	0	10	0	0
Connochaetes taurinus	5	0	56	54	0	0	6	0	0	0	0	0	382	34	0
Dama dama	4	1	0	0	0	1	0	393	4	0	0	0	0	0	0
Damaliscus korrigum	1	0	0	0	0	0	0	0	0	0	0	0	29	0	0
Damaliscus lunatus	4	0	2	18	0	0	0	0	0	0	0	0	140	3	0
Damaliscus pygargus	4	0	1	0	0	32	31	0	0	0	0	0	17	0	0
Diceros bicornis	4	0	5	15	0	0	0	0	0	0	0	0	131	6	0
Equus burchellii	5	0	3	35	0	0	20	0	0	0	0	0	628	53	0
Equus grevyi	2	0	0	0	0	0	0	0	0	0	0	0	286	4	0
Equus hemionus	4	0	99	1	0	10	0	4	0	0	0	0	0	0	0
Equus kiang	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Equus przewalskii	2	0	0	0	0	0	4	0	0	12	0	0	0	0	0
Equus zebra	4	0	27	0	0	29	1	0	0	0	0	0	2	0	0
Eudorcas rufifrons	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Eudorcas thomsonii	3	0	0	1	0	0	0	0	0	0	0	0	175	4	0
Gazella bennettii	3	0	12	0	0	0	0	0	0	0	0	8	0	1	0
Gazella dorcas	2	0	480	1	0	0	0	0	0	0	0	0	0	0	0
Gazella gazella	2	0	29	0	0	456	0	0	0	0	0	0	0	0	0
Gazella subgutturosa	4	0	14	0	0	0	1	2	0	1	0	0	0	0	0
Giraffa camelopardalis	5	0	19	27	0	0	2	0	0	0	0	0	340	9	0
Hemitragus jemlahicus	4	0	0	0	0	3	6	1	2	0	0	0	0	0	0
Hippocamelus antisensis	3	0	2	0	0	0	6	0	0	0	0	0	0	2	0
Hippocamelus bisulcus	2	0	0	0	0	0	0	13	0	2	0	0	0	0	0
Hippopotamus amphibius	5	0	9	25	1	0	0	0	0	0	0	0	343	44	0
Hippotragus equinus	1	0	0	0	0	0	0	0	0	0	0	0	882	0	0
Hippotragus niger	3	0	1	13	0	0	0	0	0	0	0	0	61	0	0
Hyemoschus aquaticus	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0
Hylochoerus meinertzhageni	2	0	0	0	0	0	0	0	0	0	0	0	4	30	0
Kobus ellipsiprymnus	5	0	1	8	0	0	3	0	0	0	0	0	415	33	0
Kobus kob	2	0	0	0	0	0	0	0	0	0	0	0	816	1	0
Kobus leche	3	0	1	29	0	0	0	0	0	0	0	0	22	0	0
Kobus megaceros	1	0	0	59	0	0	0	0	0	0	0	0	0	0	0
Kobus vardonii	1	0	0	0	0	0	0	0	0	0	0	0	59	0	0
Lama glama guanicoe	6	0	2	0	0	18	36	108	0	103	0	0	2	0	0
Litocranius walleri	2	0	0	0	0	0	0	0	0	0	0	0	184	1	0
Madoqua guentheri	3	0	0	0	0	0	2	0	0	0	0	0	29	3	0
Madoqua kirkii	5	0	6	9	0	0	1	0	0	0	0	0	139	7	0
Madoqua saltiana	3	0	11	0	0	0	1	0	0	0	0	0	14	0	0
Mazama americana	5	0	0	3	2	0	0	0	0	0	0	2	17	512	0
Mazama gouazoubira	6	0	0	13	6	0	0	0	0	5	0	3	78	169	0
Mazama nana	1	0	0	0	0	0	0	0	0	0	0	0	0	71	0
Mazama pandora	3	0	0	0	1	0	0	0	0	0	0	5	0	67	0
Mazama rufina	2	0	0	0	0	0	5	0	0	0	0	0	0	12	0
Mazama temama	4	0	0	0	1	0	0	0	0	0	2	3	0	90	0
Muntiacus muntjak	6	0	0	0	0	0	0	3	2	0	2	13	2	26	0
Muntiacus reevesi	1	0	0	0	0	0	0	514	0	0	0	0	0	0	0
Nanger granti	2	0	0	0	0	0	0	0	0	0	0	0	739	13	0
Nanger soemmerringii	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Neotragus batesi	2	0	0	0	0	0	0	0	0	0	0	0	1	14	0
Neotragus pygmaeus	2	0	0	0	0	0	0	0	0	0	0	0	1	53	0
Odocoileus hemionus	5	0	111	0	0	284	0	0	369	74	1	0	0	0	0
Odocoileus virginianus	10	2	28	4	0	0	0	391	16	200	29	40	26	24	0
Oreamnos americanus	3	12	0	0	0	0	0	0	187	0	0	0	0	0	20
Oreotragus oreotragus	5	0	43	0	0	55	5	0	0	0	0	0	107	3	0
Oryx beisa	1	0	0	0	0	0	0	0	0	0	0	0	133	0	0
Oryx gazella	3	0	156	30	0	0	0	0	0	0	0	0	69	0	0
Oryx leucoryx	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0
