"","species","n","AUC","important_variables"
"1","Aepyceros_melampus",449,0.8852,"35,18,14,24,28,39,40,19,13,27,22,25,20,21,4,7,31,23"
"2","Alcelaphus_buselaphus",756,0.8568,"35,18,15,10,29,36,3,19,20,38,7,25,5,22,23,24,40,17,21"
"3","Alcelaphus_caama",14,0.9772,"2,22,14,40,8,33,39,32,23,3,4,5,9,19,20,21,24,25,36"
"4","Alces_alces",785,0.8811,"29,38,36,32,24,25,20,22,27,14,21,39,15,2"
"5","Alces_americanus",832,0.8566,"37,11,14,33,25,30,29,12,22,21,34,9,20,32,24"
"6","Ammotragus_lervia",322,0.9615,"13,29,2,25,27,22,20,4,15,5,24,3,21"
"7","Antidorcas_marsupialis",309,0.8906,"13,15,32,6,31,20,3,22,19,30,21,28,1,8,24,40,39,27,25,23"
"8","Antilocapra_americana",525,0.8432,"2,26,39,24,29,13,30,6,33,25,22,15,21,20,5,17,18"
"9","Antilope_cervicapra",21,0.883,"40,15,24,20,21,32,16,18,19,34,17,8,22,23,25,28,30"
"10","Axis_axis",93,0.9177,"11,3,35,15,2,32,30,19,17,18,24,23,21,29,25,20,22"
"11","Axis_porcinus",11,0.961,"37,29,22,20,2,34,35,32,21,25,14,15,23,24,30"
"12","Bison_bison",271,0.9655,"17,15,33,2,11,7,24,30,8,23,27,22,32,25,37,19,21,16,18,20"
"13","Bison_bonasus",53,0.8467,"38,25,9,24,33,5,34,29,15,21,36,18,22,20,2,16"
"14","Blastocerus_dichotomus",150,0.9746,"33,27,22,8,37,28,40,21,15,2,23,25,18,24,3,29,19,20"
"15","Bos_frontalis_gaurus",51,0.8288,"4,33,17,25,28,32,23,24,16,21,20,30,18,31,22"
"16","Bos_grunniens_mutus",13,0.8813,"28,40,17,20,32,21,23,35,25,2,15,22,24,29,30"
"17","Bos_javanicus",15,0.9187,"18,24,34,23,35,27,25,29,2,8,12,13,20,22,28,37,40"
"18","Bos_taurus_primigenius",10,0.9353,"38,19,29,32,20,7,28,3,22,1,25,21,5,15,24,27,30"
"19","Boselaphus_tragocamelus",50,0.9481,"15,14,30,3,24,21,38,32,4,20,25,18,23,22,2,16,29,19"
"20","Bubalus_bubalis_arnee",25,0.9794,"3,36,22,18,17,15,20,19,25,32,16,23,34,21,24"
"21","Budorcas_taxicolor",20,0.9061,"25,2,38,14,20,3,19,29,23,21,16,30,24,22,18,28,39"
"22","Camelus_bactrianus",18,0.8657,"12,24,9,22,21,14,3,32,25,23,8,2,4,15,19,20,28,30"
"23","Camelus_dromedarius",25,0.905,"29,12,21,2,22,20,25,23,30,14,24,3,1,10,15,27,28"
"24","Capra_hircus_aegagrus",37,0.8759,"16,25,24,32,8,21,41,3,30,2,20,31,22,23"
"25","Capra_ibex",113,0.9836,"12,8,25,7,24,19,15,11,27,21,22,20"
"26","Capra_nubiana",34,0.9981,"8,24,25,15,34,2,22,23,17,19,5,20,9,3,38"
"27","Capra_pyrenaica",311,0.9565,"23,24,30,25,15,6,8,20,4,1,22,9,3"
"28","Capra_sibirica",13,0.9353,"41,22,2,18,25,9,30,17,19,21,23,7,15,20,24,29,33,38"
"29","Capreolus_capreolus",686,0.8343,"15,6,28,5,8,4,12,23,20,22,17,24,25"
"30","Capreolus_pygargus",18,0.8187,"32,16,25,38,4,20,21,14,5,15,22,3,9,24,29"
"31","Capricornis_crispus",43,0.9037,"32,2,6,1,25,23,28,24,30,20,14,8,12,22,27"
"32","Capricornis_swinhoei",21,0.9933,"5,24,22,25,33,40,2,29,9,20,8,12,15,18,19,21,23,31"
"33","Catagonus_wagneri",10,0.98,"39,14,13,20,24,22,27,25,29,2,4,6,7,21,23"
"34","Cephalophus_dorsalis",259,0.9764,"32,22,24,20,3,11,1,25,13,19,21,27,38,7,8,23"
"35","Cephalophus_jentinki",100,0.9988,"17,22,24,34,33,25,13,11,41,19,20,29,21,31,6,8,23"
"36","Cephalophus_natalensis",56,0.9873,"32,2,8,26,14,40,18,31,15,24,20,12,25,21,7,23,22"
"37","Cephalophus_niger",35,0.9609,"14,3,22,41,24,20,11,13,23,19,21,38,25,27,8,28"
"38","Cephalophus_nigrifrons",18,0.982,"39,3,33,25,31,15,19,23,24,22,21,2,13,20,29,30,38,40"
"39","Cephalophus_rufilatus",156,0.9179,"17,19,6,9,13,30,20,32,21,41,27,38,39,24,23,22,25"
"40","Cephalophus_silvicultor",28,0.9661,"33,15,28,20,19,7,25,22,21,40,29,23,4,6,8,13,24"
"41","Cephalophus_zebra",145,0.9986,"14,24,22,30,9,20,8,35,19,25,27,6,29,23,16,39,21"
"42","Ceratotherium_simum",267,0.9629,"32,29,15,3,21,40,30,24,14,22,11,27,2,31,25,23,9,20,12"
"43","Cervus_elaphus",584,0.8789,"34,11,29,21,25,15,24,22,19,32,28,20,41"
"44","Cervus_nippon",40,0.9194,"34,21,36,15,25,29,33,22,30,20,17,24,28,18"
"45","Connochaetes_gnou",35,0.9597,"6,40,12,21,13,23,29,3,22,19,26,2,4,5,20,24,25,27,41"
"46","Connochaetes_taurinus",532,0.8837,"27,18,24,4,29,17,40,19,35,15,25,21,22,20,31,7,10,36,23"
"47","Dama_dama",402,0.9023,"15,2,34,25,16,29,17,37,40,24,21,22,31,20,1"
"48","Damaliscus_korrigum",29,0.9647,"33,19,29,2,24,23,25,17,27,26,22,21,20,6,10,28,32,36,40"
"49","Damaliscus_lunatus",163,0.8974,"33,32,6,24,19,40,14,25,18,4,20,21,23,5,29,22,8"
"50","Damaliscus_pygargus",81,0.9198,"32,26,8,27,7,21,25,39,23,30,3,22,24,19,9,16,37,20"
"51","Diceros_bicornis",162,0.9237,"22,12,2,28,18,30,37,40,10,20,24,14,27,19,5,21,15,25,23"
"52","Equus_burchellii",740,0.894,"30,19,16,18,36,24,15,40,33,5,22,29,25,21,20,17,2,39,23"
"53","Equus_grevyi",290,0.9942,"3,7,19,8,4,12,25,22,17,27,20,18,23,13,31,21,24,40"
"54","Equus_hemionus",114,0.9424,"30,8,15,24,11,31,12,20,25,23,9,22,19"
"55","Equus_kiang",10,0.9219,"41,15,24,17,22,31,16,23,25,3,2,7,32,20,21"
"56","Equus_przewalskii",16,0.8948,"38,14,21,22,3,36,23,2,18,20,24,25,30,33"
"57","Equus_zebra",59,0.9337,"12,25,24,39,15,40,8,21,34,28,3,22,32,6,20,19,23,5,9,41"
"58","Eudorcas_rufifrons",17,0.9881,"41,38,11,19,8,22,23,27,12,25,21,20,14,24,40"
"59","Eudorcas_thomsonii",180,0.9821,"10,33,30,16,19,25,18,32,24,7,20,3,23,22,21,40,27,29"
"60","Gazella_bennettii",21,0.9747,"37,15,19,22,4,3,29,25,17,21,18,9,2,24,20,23,30,35"
"61","Gazella_dorcas",481,0.9834,"4,31,18,8,27,25,10,24,28,22,13,23,20,11,15"
"62","Gazella_gazella",485,0.9927,"22,13,40,4,15,27,24,23,28,14,29,25,20,31"
"63","Gazella_subgutturosa",18,0.8794,"24,17,21,15,22,38,2,23,25,8,19,34,18,20,30,35"
"64","Giraffa_camelopardalis",397,0.9006,"31,12,9,24,16,34,22,29,18,40,19,8,20,14,7,25,23,21,15"
"65","Hemitragus_jemlahicus",15,0.9616,"11,33,25,28,7,3,29,15,20,30,2,23,21,14,22,24"
"66","Hippocamelus_antisensis",10,0.9455,"8,2,4,23,22,27,25,18,20,21,24,29"
