"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Aspect_5deg","BulkDensity_5min","ClayPercentage_5min","OrganicCarbon_5min","PhCaCL_5min","Slope_5deg","PETColdestQuarter","PETDriestQuarter","PETWarmestQuarter","PETWettestQuarter","PETseasonality","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","thermicityIndex"
"Cephalophus_rufilatus",NA,NA,NA,NA,NA,15.3532,NA,NA,13.9207,NA,NA,NA,10.1067,NA,NA,NA,24.9862,NA,18.3775,1.3228,1.0316,0.5448,0.5677,0.6698,0.3992,NA,0.8216,NA,NA,8.1425,NA,1.2685,NA,NA,NA,NA,NA,0.819,0.7249,NA,0.9434
"Cephalophus_silvicultor",NA,NA,NA,0.1088,NA,0,1.4348,0,NA,NA,NA,NA,0,NA,8.4234,NA,NA,NA,1.9753,3.497,0.456,0.502,0.298,0,1.2589,NA,NA,5.4479,0.3031,NA,NA,NA,75.9196,NA,NA,NA,NA,NA,NA,0.3751,NA
"Cephalophus_zebra",NA,NA,NA,NA,NA,0.0772,NA,0.3284,0.9449,NA,NA,NA,NA,45.8781,NA,0.0258,NA,NA,0.1372,0.829,0,22.0986,0.0318,27.6062,0.1083,NA,0.0989,NA,0.0681,1.5228,NA,NA,NA,NA,0.2323,NA,NA,NA,0.0124,NA,NA
"Ceratotherium_simum",NA,0.7496,9.6243,NA,NA,NA,NA,NA,0.4825,NA,0.8434,0.1674,NA,1.5493,10.6879,NA,NA,NA,NA,0.3324,9.2786,1.5198,0.5062,1.7657,0.5473,NA,0.8052,NA,13.3929,6.1551,0.697,33.4344,NA,NA,NA,NA,NA,NA,NA,7.461,NA
"Cervus_elaphus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8434,NA,NA,NA,2.9475,NA,NA,NA,0.701,0.1793,7.7687,1.1689,NA,1.3275,3.0565,NA,NA,0.4608,11.1873,NA,NA,0.52,NA,35.6779,NA,NA,NA,NA,NA,NA,0.1612
"Cervus_nippon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0411,NA,0.0108,0,NA,0.0355,17.3679,0.6909,NA,0.0103,5.0904,NA,NA,0.0014,4.6457,0.1693,NA,NA,3.6121,44.8556,NA,14.4691,NA,NA,NA,NA,NA
"Connochaetes_gnou",NA,0,0.7608,0,0,37.0835,NA,NA,NA,NA,NA,17.2519,3.0202,NA,NA,NA,NA,NA,0.2866,0,3.3661,0.3951,2.0897,0,0,0.1258,0,NA,2.0844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5361,0
"Connochaetes_taurinus",NA,NA,NA,8.4868,NA,NA,1.4714,NA,NA,0.5301,NA,NA,NA,NA,4.4796,NA,5.9084,13.2288,4.9306,2.3729,3.0836,2.5364,0.0487,13.1232,4.2049,NA,15.3683,NA,7.9986,NA,1.7854,NA,NA,NA,4.7214,0.1061,NA,NA,NA,5.6149,NA
"Dama_dama",0.045,24.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1448,5.7314,5.0668,NA,NA,0.1035,0.5944,0.5688,NA,1.7748,11.0308,NA,NA,NA,5.596,NA,0.2714,NA,NA,13.9699,NA,NA,3.5787,NA,NA,1.9566,NA
"Damaliscus_korrigum",NA,11.9965,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1.4443,NA,24.4411,0.4923,0.5633,0.5945,3.5103,8.2187,2.1074,0.6299,0.8309,0,13.9686,NA,NA,0,31.2021,NA,NA,0,NA,NA,NA,0,NA
"Damaliscus_lunatus",NA,NA,NA,2.4077,0.0931,12.9407,NA,0,NA,NA,NA,NA,NA,3.4915,NA,NA,NA,2.9817,7.0624,2.3203,0.6394,0.0028,0.2414,11.4372,3.4812,NA,NA,NA,0.0246,NA,NA,20.1189,26.6803,NA,NA,NA,NA,NA,NA,6.0769,NA
"Damaliscus_pygargus",NA,NA,1.1936,NA,NA,NA,2.7438,15.4366,0.447,NA,NA,NA,NA,NA,NA,0.1057,NA,NA,0.5633,0,2.2957,0.9755,1.5749,0.7327,1.8258,16.6117,4.5021,NA,NA,1.5338,NA,47.5867,NA,NA,NA,NA,0.0564,NA,1.8148,NA,NA
"Diceros_bicornis",NA,8.7657,NA,NA,2.2636,NA,NA,NA,NA,3.8838,NA,16.4831,NA,3.3292,0.1641,NA,NA,7.6982,2.4996,3.6917,0.9428,20.545,0.0159,3.5321,0.0413,NA,2.8796,7.7427,NA,6.1528,NA,NA,NA,NA,NA,NA,5.0906,NA,NA,4.2781,NA
"Equus_burchellii",NA,0.1437,NA,NA,4.0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1906,10.9997,0.9512,10.8557,12.2359,1.2926,2.467,3.4343,0,7.9321,2.6906,NA,NA,NA,3.1897,14.6805,NA,NA,4.1147,NA,NA,8.7621,NA,NA,0.0113,5.0334,NA
"Equus_grevyi",NA,NA,41.9067,5.4572,NA,NA,29.3167,8.4891,NA,NA,NA,1.5654,0.0748,NA,NA,NA,0.5482,0.0996,9.716,0.1139,0.0012,0.7438,0.0938,0.001,1.5409,NA,0.3265,NA,NA,NA,0.0052,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Equus_hemionus",NA,NA,NA,NA,NA,NA,NA,19.7243,0.0473,NA,9.4028,4.1897,NA,NA,16.6696,NA,NA,NA,0.0262,3.2246,NA,0.0466,1.6029,15.3223,2.3815,NA,NA,NA,NA,20.3917,6.9703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equus_kiang",NA,0.3182,0.5911,NA,NA,NA,0.2462,NA,NA,NA,NA,NA,NA,NA,10.5578,1.0326,7.5251,NA,NA,0,0,3.4488,0.8207,7.7623,0.5917,NA,NA,NA,NA,NA,3.2118,0.0475,NA,NA,NA,NA,NA,NA,NA,NA,63.8462
"Equus_przewalskii",NA,0,0.8705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5644,NA,NA,NA,0,NA,0,23.5381,6.9855,0.0158,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0.7749,NA,37.2508,NA,NA,NA
"Equus_zebra",NA,NA,1.747,NA,0.0591,1.2784,NA,5.2641,0,NA,NA,20.5831,NA,NA,7.8986,NA,NA,NA,0.4209,1.2125,4.7623,1.6006,0.3177,14.846,16.8181,NA,NA,1.9447,NA,NA,NA,1.5338,NA,2.2268,NA,NA,NA,NA,10.4236,7.063,0
"Eudorcas_rufifrons",NA,NA,NA,NA,NA,NA,NA,2.3648,NA,NA,10.3845,0.4659,NA,0,NA,NA,NA,NA,6.4243,5e-04,0.2086,2.2128,1.4234,0,0.4205,NA,0.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4016,NA,0,53.714
"Eudorcas_thomsonii",NA,NA,1.2042,NA,NA,NA,1.8655,NA,NA,44.2772,NA,NA,NA,NA,NA,5.7703,NA,4.143,5.2456,1.2271,0.5418,0.7488,1.0668,3.6906,4.4821,NA,0.1733,NA,0.162,7.205,NA,4.0575,13.8161,NA,NA,NA,NA,NA,NA,0.3232,NA
"Gazella_bennettii",NA,0.0556,9.734,10.2934,NA,NA,NA,NA,0.8666,NA,NA,NA,NA,NA,19.619,NA,1.6701,1.0542,12.5324,0,1.6219,12.2484,0,0.0381,2.7814,NA,NA,NA,3.6603,0,NA,NA,NA,NA,0,NA,23.8244,NA,NA,NA,NA
"Gazella_dorcas",NA,NA,NA,20.8599,NA,NA,NA,8.5029,NA,6.3088,0.5021,NA,1.8067,NA,0,NA,NA,12.1288,NA,1.209,NA,2.7694,1.4161,6.1415,6.6428,NA,7.4612,4.1453,NA,NA,20.1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gazella_gazella",NA,NA,NA,10.8161,NA,NA,NA,NA,NA,NA,NA,NA,19.6742,1.5805,7.1625,NA,NA,NA,NA,0.6315,NA,28.3218,3.2739,3.9878,0.8943,NA,5.3562,3.0801,1.5407,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.6805,NA
"Gazella_subgutturosa",NA,3.4632,NA,NA,NA,NA,NA,0.9877,NA,NA,NA,NA,NA,NA,9.7689,NA,11.682,0,0.4011,0,10.1251,3.8481,1.1396,53.864,1.1371,NA,NA,NA,NA,0,NA,NA,NA,0.0575,0,NA,NA,3.5257,NA,NA,NA
"Giraffa_camelopardalis",NA,NA,NA,NA,NA,NA,1.7871,2.5418,11.488,NA,NA,15.2791,NA,1.9422,0.3935,8.8445,NA,3.6034,2.6079,2.1814,0.4385,4.149,0.5832,10.11,0.6378,NA,NA,NA,3.9635,NA,19.6346,NA,NA,6.345,NA,NA,NA,NA,NA,3.4694,NA
"Hemitragus_jemlahicus",NA,0.265,3.5857,NA,NA,NA,5.4897,NA,NA,NA,39.829,NA,NA,0,1.4262,NA,NA,NA,NA,0.6885,0.0255,0,0.2367,0,16.3851,NA,NA,7.337,3.2725,0.4683,NA,NA,20.9907,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocamelus_antisensis",NA,10.5175,NA,6.1736,NA,NA,NA,72.4093,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,4.0698,4.4539,0,0.2312,NA,2.1448,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocamelus_bisulcus",NA,NA,9.0849,NA,NA,3e-04,NA,0.4148,NA,NA,NA,NA,8.083,NA,1.7339,NA,NA,3.7842,NA,0,NA,0.3589,5.5457,29.393,7.7938,NA,0,NA,NA,NA,NA,NA,NA,0.5137,NA,33.2937,NA,NA,NA,NA,NA
"Hippopotamus_amphibius",NA,5.7438,NA,NA,0.6624,NA,NA,NA,NA,2.8228,21.8262,11.8739,NA,4.1508,8.4997,NA,NA,8.3607,1.6958,0.1469,2.2483,0.1177,0.4863,7.9983,4.1948,NA,NA,NA,6.9738,6.0773,NA,NA,NA,NA,NA,NA,NA,0.9122,NA,5.2083,NA
"Hippotragus_equinus",NA,NA,NA,NA,NA,26.0925,NA,NA,0.0251,1.6464,NA,NA,NA,NA,NA,6.2672,18.5291,NA,2.4519,1.2916,1.3191,2.6481,1.7561,2.7717,0.0081,NA,1.4999,NA,NA,NA,NA,0.1737,NA,NA,NA,NA,NA,0.0265,NA,0,33.493
"Hippotragus_niger",NA,NA,NA,3.2128,NA,NA,9.9092,NA,NA,NA,NA,NA,NA,NA,NA,10.7404,5.6538,0.0812,NA,7.8783,0,0.1761,1.8255,0.6537,0.0435,NA,0.0879,NA,NA,NA,4.7731,13.2393,NA,NA,22.7425,2.6101,NA,NA,8.3195,8.0531,NA
"Hyemoschus_aquaticus",0.8351,0,NA,8.2547,NA,NA,NA,0,0.3795,NA,NA,NA,0,NA,NA,NA,56.494,NA,1.3699,8.0995,0,17.9668,0,5.7163,0.0053,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8788,NA,NA,NA
"Hylochoerus_meinertzhageni",NA,NA,NA,NA,NA,0,0.3864,NA,NA,NA,NA,24.3819,0,33.7289,NA,NA,NA,2.5627,2.1437,12.6938,3.0987,10.4004,0.1314,0,3.704,NA,0.435,NA,0.1924,5.826,NA,NA,NA,NA,NA,0.3146,NA,NA,NA,0,NA
"Kobus_ellipsiprymnus",NA,NA,1.5973,NA,1.5091,NA,2.8106,0.4012,3.23,NA,NA,NA,11.1798,NA,20.8925,NA,3.6341,4.6508,1.1734,1.4333,3.5194,1.8544,0.8677,6.8478,1.3277,0.5446,NA,NA,NA,NA,NA,NA,NA,NA,28.9475,NA,NA,NA,NA,3.5787,NA
"Kobus_kob",NA,1.5359,NA,NA,NA,11.6621,NA,NA,NA,NA,NA,NA,1.0062,NA,NA,NA,7.6427,NA,12.7852,1.9344,5.5932,7.6352,0.191,0.5878,0.0011,5.3782,0.1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,43.9042
"Kobus_leche",NA,NA,12.3685,NA,41.2695,NA,0.9627,NA,NA,0.7291,NA,6.9989,NA,15.0157,0,NA,NA,0,0,0.5279,0.3214,0.0081,0.0634,0.0027,8.13,NA,NA,NA,NA,3.7964,NA,7.4554,NA,NA,NA,NA,NA,NA,NA,0,2.3502
"Kobus_megaceros",NA,0.2366,NA,27.137,0.032,5.3446,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149,31.0437,NA,13.1696,0.4962,3.235,0,3.9654,1.5106,13.8007,0,NA,NA,NA,NA,0,NA,0.0136,NA,NA,NA,NA,NA,NA,0,NA
"Kobus_vardonii",NA,0.8947,9.6072,NA,2.7521,NA,NA,NA,NA,0.8611,NA,NA,NA,NA,23.6797,NA,21.3046,4.4993,0,0,0.0562,1.9374,1.8926,2.9188,6.2088,16.5645,NA,NA,4.5281,NA,NA,1.1164,NA,NA,1.1784,0,NA,NA,NA,0,NA
"Lama_glama_guanicoe",NA,16.2772,NA,1.9154,NA,NA,0.0201,54.685,NA,NA,NA,NA,NA,2.8032,2.2831,NA,NA,NA,NA,0.0569,0.0067,0.7259,0.8605,0.9212,2.7495,NA,0.4707,NA,NA,NA,NA,2.4978,4.6572,NA,NA,NA,9.0697,NA,NA,NA,NA
"Litocranius_walleri",22.7726,NA,NA,7.4613,NA,NA,3.5556,NA,NA,NA,NA,NA,NA,NA,NA,1.8029,0.0495,1.4019,20.7395,5.6743,0.8155,0.6593,0.3629,1.7859,0.1116,NA,NA,NA,NA,2.4504,25.819,NA,4.5379,NA,NA,NA,NA,0,NA,0,NA
"Madoqua_guentheri",0,50.0168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2937,NA,0.9118,5.2067,6.6509,0.8412,0.0666,0.751,0.0738,1.6455,NA,NA,NA,0.5456,12.2487,NA,0.0454,0.3185,11.9535,NA,NA,NA,0.4305,NA,0,NA
"Madoqua_kirkii",NA,0.1944,NA,NA,0.0252,NA,NA,NA,NA,10.0329,NA,NA,NA,NA,0.2062,NA,NA,1.1094,14.6785,2.1341,0.3542,7.7661,3e-04,14.7038,0.6353,NA,5.8046,NA,3.1787,NA,NA,23.6025,NA,5.2286,10.149,NA,NA,NA,NA,0.0424,0.154
"Madoqua_saltiana",0,0.4085,NA,NA,NA,NA,NA,8.097,6.5205,NA,2.4257,1.5484,NA,NA,23.8343,NA,0.0365,0,19.7729,2.3757,0.0394,0.0234,0,4.3961,3.2719,NA,NA,1.7315,NA,25.174,NA,NA,NA,NA,NA,NA,NA,0,0.3441,0,NA
"Mazama_americana",2.8964,14.4547,16.7806,NA,NA,NA,NA,2.8035,NA,NA,NA,8.9342,NA,NA,NA,NA,NA,7.6014,21.3267,1.4552,1.4767,2.0527,1.8076,5.2654,0.6626,NA,NA,NA,0.8318,NA,1.4214,10.2292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama_gouazoubira",NA,31.0546,NA,NA,2.0622,NA,6.326,NA,NA,NA,NA,NA,NA,NA,1.9465,4.8287,NA,4.6039,8.0702,0.1957,0.4524,5.5027,4e-04,2.3774,1.7056,NA,NA,24.4444,NA,NA,5.4532,NA,NA,NA,NA,0.9762,NA,NA,NA,NA,NA
