"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Aspect_5deg","BulkDensity_5min","ClayPercentage_5min","OrganicCarbon_5min","PhCaCL_5min","Slope_5deg","PETColdestQuarter","PETDriestQuarter","PETWarmestQuarter","PETWettestQuarter","PETseasonality","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","thermicityIndex"
"Aepyceros_melampus",NA,NA,NA,0.4714,NA,NA,0.2926,NA,NA,NA,NA,NA,3.7941,12.4102,NA,NA,NA,16.5745,5.8117,1.7058,0.8963,2.3545,0.0273,8.8229,1.8655,NA,3.2024,7.2088,NA,NA,0.1375,NA,NA,NA,21.3153,NA,NA,NA,6.6102,6.4991,NA
"Alcelaphus_buselaphus",NA,NA,3.3579,NA,2.1365,NA,2.1618,NA,NA,9.1318,NA,NA,NA,NA,12.5639,NA,0.2034,15.8915,3.3045,3.1896,0.1448,1.305,1.2176,1.2086,2.1603,NA,NA,NA,4.8499,NA,NA,NA,NA,NA,29.5933,4.6991,NA,2.3168,NA,0.5639,NA
"Alcelaphus_caama",NA,35.7756,0,0,0,NA,NA,4.0121,0,NA,NA,NA,NA,21.1194,NA,NA,NA,NA,0,0,0,25.9133,0.0139,0,0,NA,NA,NA,NA,NA,NA,0.0916,3.7466,NA,NA,0,NA,NA,0.6357,8.6917,NA
"Alces_alces",NA,0.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1157,0.0264,NA,NA,NA,NA,0.5184,0.0879,0.3762,NA,1.6993,1.0788,NA,0.2509,NA,53.2329,NA,NA,6.0101,NA,NA,NA,10.6737,NA,25.8762,0.0453,NA,NA
"Alces_americanus",NA,NA,NA,NA,NA,NA,NA,NA,0.0565,NA,22.7241,0.2836,NA,19.6599,NA,NA,NA,NA,NA,0.0242,0.0839,0.1819,NA,0.0092,5.2641,NA,NA,NA,0.751,2.4343,NA,0.021,16.4741,0.0668,NA,NA,31.9653,NA,NA,NA,NA
"Ammotragus_lervia",NA,16.5456,0.1099,2.2408,0.9699,NA,NA,NA,NA,NA,NA,NA,21.0122,NA,1.3166,NA,NA,NA,NA,4.9038,0.0131,5.5588,NA,0.5995,15.9994,NA,12.1909,NA,18.5396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antidorcas_marsupialis",0.3223,NA,4.0832,NA,NA,7.5432,NA,0.1526,NA,NA,NA,NA,40.0853,NA,15.2629,NA,NA,NA,2.7128,4.3384,0.7086,2.7273,0,0.0896,0.0052,NA,0.0355,0.4114,NA,1.1397,5.9674,14.3145,NA,NA,NA,NA,NA,NA,0.0392,0.0608,NA
"Antilocapra_americana",NA,52.3547,NA,NA,0.091,2.599,NA,NA,NA,NA,NA,NA,3.4869,NA,0.4833,NA,0.004,0,NA,0.2128,0.27,0.7359,NA,5.0349,1.2563,18.6532,NA,NA,3.6047,2.7265,NA,NA,2.0074,NA,NA,NA,NA,NA,6.4792,NA,NA
"Antilope_cervicapra",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.9422,2.5408,0.0761,2.4711,0.4494,11.2171,6.223,0,0,14.3946,0,NA,NA,0,NA,0,NA,4.3566,NA,0.3531,NA,NA,NA,NA,NA,35.9762,NA
"Axis_axis",NA,9.6017,17.008,NA,NA,NA,NA,NA,NA,NA,30.3136,NA,NA,NA,10.036,NA,2.7333,1.942,2.8201,0.0551,0.587,0.0352,0.7883,1.7298,0.1568,NA,NA,NA,0.3975,3.8301,NA,5.0383,NA,NA,12.9271,NA,NA,NA,NA,NA,NA
"Axis_porcinus",NA,9.2772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562,0.2766,NA,NA,NA,NA,10.3101,1.4014,10.4979,0,0,1.2655,NA,NA,NA,24.7806,0,NA,2.3344,NA,6.8565,5.4254,NA,27.0124,NA,NA,NA,NA
"Bison_bison",NA,9.6396,NA,NA,NA,NA,4.7841,1.5968,NA,NA,5.7101,NA,NA,NA,20.3287,0.0744,29.7819,0.0389,0.1897,0.01,0.1204,0.8564,1.3552,2.8712,0.475,NA,0.9235,NA,NA,1.6079,NA,0.4808,18.9236,NA,NA,NA,0.2317,NA,NA,NA,NA
"Bison_bonasus",NA,0,NA,NA,6.6708,NA,NA,NA,17.3749,NA,NA,NA,NA,NA,1.406,0,NA,0.086,NA,0.0031,1.2587,0.048,NA,14.2014,18.2903,NA,NA,NA,3.88,NA,NA,NA,7.7927,4.4102,NA,0.3225,NA,24.2554,NA,NA,NA
"Blastocerus_dichotomus",NA,4.1655,0.5544,NA,NA,NA,NA,8.3913,NA,NA,NA,NA,NA,NA,4.4242,NA,NA,0.9657,0.3334,0.0049,5.6277,8.542,3.0058,0.651,1.9904,NA,16.5363,8.105,0.4209,NA,NA,NA,20.5329,NA,NA,NA,8.3352,NA,NA,7.4133,NA
"Bos_frontalis_gaurus",NA,NA,NA,47.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0781,8.4737,0.7981,NA,1.8502,2.0615,0,3.5899,3.1056,7.1955,NA,NA,4.6992,NA,1.3981,0.0213,4.4333,12.2959,NA,NA,NA,NA,NA,NA,NA,NA
"Bos_grunniens_mutus",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,19.4962,NA,NA,10.1357,1.2868,0,1.2573,0,0.0722,NA,NA,31.3085,0,0,NA,5.0668,NA,NA,0.5476,NA,NA,NA,NA,30.829,NA
"Bos_javanicus",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,66.7548,NA,0,NA,0,4.3262,16.9938,0.3565,NA,0.3731,0,0.3238,NA,NA,NA,NA,9.3478,1.5239,NA,0,NA,NA,0,NA
"Bos_taurus_primigenius",0.5249,NA,4.1321,NA,0,NA,5.9557,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,19.5203,8.7946,5e-04,2.1161,NA,0,0.056,NA,0,5.2109,17.2248,0,NA,9.1784,NA,NA,NA,NA,NA,27.2857,NA,NA,NA
"Boselaphus_tragocamelus",NA,0.3725,4.8026,1.8213,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1067,51.8801,0.2808,NA,1.1284,0,1.5388,3.4636,0.489,0.9842,4.2342,1.3478,NA,NA,NA,0.0371,9.6929,NA,2.5204,NA,NA,NA,NA,NA,3.2995,NA,NA,NA
"Bubalus_bubalis_arnee",NA,NA,42.7213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.357,0.6043,4.3003,12.4006,1.4401,1.4439,0.007,13.3275,0.3496,0,1.0969,NA,NA,NA,NA,NA,NA,0.9396,NA,0.1347,NA,18.8772,NA,NA,NA,NA,NA
"Budorcas_taxicolor",NA,11.7351,1.3713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6132,NA,0.2287,NA,0,1.3043,4.3686,0.3129,0.002,1.0224,0.0832,65.2972,NA,NA,0,1.247,0.1466,NA,NA,NA,NA,NA,NA,NA,8.2675,0,NA,NA
"Camelus_bactrianus",NA,0,3.7809,0,NA,NA,NA,0.0053,17.7414,NA,NA,30.1707,NA,4.5494,0,NA,NA,NA,0,0,6.5968,8.7366,0.1143,21.8208,2.8633,NA,NA,0,NA,0,NA,3.6204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelus_dromedarius",0,5.9664,0.0694,NA,NA,NA,NA,NA,NA,0,NA,29.9677,NA,0.4428,0,NA,NA,NA,NA,3.6789,16.3342,4.8079,1.2665,0.1365,2.8888,NA,0,0,33.3742,1.0669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_hircus_aegagrus",NA,0.3155,1.3642,NA,NA,NA,NA,10.481,NA,NA,NA,NA,NA,NA,NA,35.5019,NA,NA,NA,0.1456,2.8098,0.0239,0,16.1219,17.7563,NA,NA,NA,NA,0.4116,0.1017,13.5066,NA,NA,NA,NA,NA,NA,NA,NA,1.46
"Capra_ibex",NA,NA,NA,NA,NA,NA,8.5097,22.9692,NA,NA,2.3298,39.0882,NA,NA,3.3782,NA,NA,NA,3.5102,0.0269,1.9286,0.2071,NA,4.8976,11.0364,NA,2.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_nubiana",NA,8.0933,0,NA,2.6525,NA,NA,14.2064,0.8114,NA,NA,NA,NA,NA,12.2916,NA,4.9833,NA,4.2547,2.3262,NA,6.6585,5.3754,13.7002,12.6086,NA,NA,NA,NA,NA,NA,NA,NA,12.0379,NA,NA,NA,0,NA,NA,NA
"Capra_pyrenaica",1.2899,NA,0.3488,3.1294,NA,6.4924,NA,5.4205,0.4989,NA,NA,NA,NA,NA,9.0467,NA,NA,NA,NA,3.6375,NA,1.264,29.2969,19.0398,10.0117,NA,NA,NA,NA,10.5235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_sibirica",NA,10.8606,NA,NA,NA,NA,0,NA,4.7373,NA,NA,NA,NA,NA,0,NA,1.6264,7.5575,0.2036,0,0.1856,15.8871,0.1391,0,4.8778,NA,NA,NA,0,3.566,NA,NA,0,NA,NA,NA,NA,0,NA,NA,50.3591
"Capreolus_capreolus",NA,NA,NA,1.7479,3.2187,24.1186,NA,2.1001,NA,NA,NA,1.3794,NA,NA,54.0655,NA,0.0201,NA,NA,0.0695,NA,0.0221,0.7873,0.0063,0.0061,NA,NA,12.4584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capreolus_pygargus",NA,NA,0,4.1098,0.0148,NA,NA,NA,0,NA,NA,NA,NA,0.038,0.012,29.5285,NA,NA,NA,3.731,0.9235,0.0109,NA,0,8.766,NA,NA,NA,0,NA,NA,45.0039,NA,NA,NA,NA,NA,7.8616,NA,NA,NA
"Capricornis_crispus",14.9568,19.2527,NA,NA,NA,17.8445,NA,0,NA,NA,NA,0,NA,0.0023,NA,NA,NA,NA,NA,0.0181,NA,0,2.9244,0.8465,10.0087,NA,0,2.879,NA,0.3528,NA,30.9142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capricornis_swinhoei",NA,0.7319,NA,NA,82.7365,NA,NA,0,0.0842,NA,NA,0,NA,NA,0,NA,NA,0,0,0.0837,0,4.2308,0,6.498,2.1585,NA,NA,NA,0.6977,NA,0,NA,1.6954,NA,NA,NA,NA,NA,NA,1.0834,NA
"Catagonus_wagneri",NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,13.1251,13.8453,NA,NA,NA,NA,NA,9.3296,0,1.9044,0,8.5331,0.2992,NA,0.4797,NA,0.0562,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4273,NA,NA
"Cephalophus_dorsalis",0.9868,NA,1.4139,NA,NA,NA,0,0,NA,NA,0.9921,NA,0.543,NA,NA,NA,NA,NA,0.5195,2.062,0.2516,19.9078,0,14.5027,0.8564,NA,0.0696,NA,NA,NA,NA,57.8692,NA,NA,NA,NA,NA,0.0253,NA,NA,NA
"Cephalophus_jentinki",NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.3312,NA,0.3551,NA,NA,NA,50.0561,NA,0.1857,0.0175,0.0035,23.1044,0,22.194,0.3792,NA,NA,NA,0.01,NA,0.0028,NA,1.188,1.8493,NA,NA,NA,NA,NA,NA,0.3233
"Cephalophus_natalensis",NA,14.421,NA,NA,NA,NA,0.3519,13.5553,NA,NA,NA,0.6516,NA,3.9449,2.2881,NA,NA,2.7416,NA,0.7164,0.5708,1e-04,2e-04,0.9542,0.5911,8.0181,NA,NA,NA,NA,2.5503,44.8767,NA,NA,NA,NA,NA,NA,NA,3.7679,NA
"Cephalophus_niger",NA,NA,28.9614,NA,NA,NA,NA,0,NA,NA,0.66,NA,0.5101,42.8825,NA,NA,NA,NA,0.2073,1.0591,0.0634,10.8884,0.4272,4.715,0.0359,NA,0.0223,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0413,NA,NA,9.5261
"Cephalophus_nigrifrons",NA,0,33.4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.717,NA,NA,NA,0.388,0,0.2275,0.2488,0.3487,0.3448,6.4962,NA,NA,NA,0,0,1.8504,NA,9.4658,NA,NA,NA,NA,0,45.4216,0,NA
