"","taxon","trainingAUC","validation"
"1","Aepyceros melampus","0.8852","valid"
"2","Alcelaphus buselaphus","0.8568","valid"
"3","Alcelaphus caama","0.9772","valid"
"4","Alces alces","0.8811","valid"
"5","Alces americanus","0.8566","valid"
"6","Ammotragus lervia","0.9615","valid"
"7","Antidorcas marsupialis","0.8906","valid"
"8","Antilocapra americana","0.8432","valid"
"9","Antilope cervicapra","0.883","valid"
"10","Axis axis","0.9177","valid"
"11","Axis porcinus","0.961","valid"
"12","Bison bison","0.9655","valid"
"13","Bison bonasus","0.8467","valid"
"14","Blastocerus dichotomus","0.9746","valid"
"15","Bos frontalis gaurus","0.8288","valid"
"16","Bos grunniens mutus","0.8813","valid"
"17","Bos javanicus","0.9187","valid"
"18","Bos taurus primigenius","0.9353","valid"
"19","Boselaphus tragocamelus","0.9481","valid"
"20","Bubalus bubalis arnee","0.9794","valid"
"21","Budorcas taxicolor","0.9061","valid"
"22","Camelus bactrianus","0.8657","valid"
"23","Camelus dromedarius","0.905","valid"
"24","Capra hircus aegagrus","0.8759","valid"
"25","Capra ibex","0.9836","valid"
"26","Capra nubiana","0.9981","valid"
"27","Capra pyrenaica","0.9565","valid"
"28","Capra sibirica","0.9353","valid"
"29","Capreolus capreolus","0.8343","valid"
"30","Capreolus pygargus","0.8187","valid"
"31","Capricornis crispus","0.9037","valid"
"32","Capricornis swinhoei","0.9933","valid"
"33","Catagonus wagneri","0.98","valid"
"34","Cephalophus dorsalis","0.9764","valid"
"35","Cephalophus jentinki","0.9988","valid"
"36","Cephalophus natalensis","0.9873","valid"
"37","Cephalophus niger","0.9609","valid"
"38","Cephalophus nigrifrons","0.982","valid"
"39","Cephalophus rufilatus","0.9179","valid"
"40","Cephalophus silvicultor","0.9661","valid"
"41","Cephalophus zebra","0.9986","valid"
"42","Ceratotherium simum","0.9629","valid"
"43","Cervus elaphus","0.8789","valid"
"44","Cervus nippon","0.9194","valid"
"45","Connochaetes gnou","0.9597","valid"
"46","Connochaetes taurinus","0.8837","valid"
"47","Dama dama","0.9023","valid"
"48","Damaliscus korrigum","0.9647","valid"
"49","Damaliscus lunatus","0.8974","valid"
"50","Damaliscus pygargus","0.9198","valid"
"51","Diceros bicornis","0.9237","valid"
"52","Equus burchellii","0.894","valid"
"53","Equus grevyi","0.9942","valid"
"54","Equus hemionus","0.9424","valid"
"55","Equus kiang","0.9219","valid"
"56","Equus przewalskii","0.8948","valid"
"57","Equus zebra","0.9337","valid"
"58","Eudorcas rufifrons","0.9881","valid"
"59","Eudorcas thomsonii","0.9821","valid"
"60","Gazella bennettii","0.9747","valid"
"61","Gazella dorcas","0.9834","valid"
"62","Gazella gazella","0.9927","valid"
"63","Gazella subgutturosa","0.8794","valid"
"64","Giraffa camelopardalis","0.9006","valid"
"65","Hemitragus jemlahicus","0.9616","valid"
"66","Hippocamelus antisensis","0.9455","valid"
"67","Hippocamelus bisulcus","0.9714","valid"
"68","Hippopotamus amphibius","0.9052","valid"
"69","Hippotragus equinus","0.9776","valid"
"70","Hippotragus niger","0.8918","valid"
"71","Hyemoschus aquaticus","0.9848","valid"
"72","Hylochoerus meinertzhageni","0.9748","valid"
"73","Kobus ellipsiprymnus","0.8501","valid"
"74","Kobus kob","0.9634","valid"
"75","Kobus leche","0.9582","valid"
"76","Kobus megaceros","0.9938","valid"
"77","Kobus vardonii","0.9754","valid"
"78","Lama glama guanicoe","0.9136","valid"
"79","Litocranius walleri","0.9714","valid"
"80","Madoqua guentheri","0.9619","valid"
"81","Madoqua kirkii","0.921","valid"
"82","Madoqua saltiana","0.938","valid"
"83","Mazama americana","0.8715","valid"
"84","Mazama gouazoubira","0.8842","valid"
"85","Mazama nana","0.9992","valid"
"86","Mazama pandora","0.9651","valid"
"87","Mazama rufina","0.9733","valid"
"88","Mazama temama","0.901","valid"
"89","Muntiacus muntjak","0.8646","valid"
"90","Muntiacus reevesi","0.9583","valid"
"91","Nanger granti","0.9519","valid"
"92","Nanger soemmerringii","0.9927","valid"
"93","Neotragus batesi","0.9179","valid"
"94","Neotragus pygmaeus","0.9557","valid"
"95","Odocoileus hemionus","0.8603","valid"
"96","Odocoileus virginianus","0.8184","valid"
"97","Oreamnos americanus","0.9483","valid"
"98","Oreotragus oreotragus","0.917","valid"
"99","Oryx beisa","0.9765","valid"
"100","Oryx gazella","0.912","valid"
"101","Oryx leucoryx","0.9289","valid"
"102","Ourebia ourebi","0.9775","valid"
"103","Ovibos moschatus","0.8288","valid"
"104","Ovis ammon","0.8607","valid"
"105","Ovis aries orientalis","0.9209","valid"
"106","Ovis canadensis","0.91","valid"
"107","Ovis dalli","0.8989","valid"
"108","Ozotoceros bezoarticus","0.834","valid"
