,IsDomesticated,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Aspect_10deg,BulkDensity_10min,ClayPercentage_10min,current_10arcmin_annualPET,current_10arcmin_aridityIndexThornthwaite,current_10arcmin_climaticMoistureIndex,current_10arcmin_continentality,current_10arcmin_embergerQ,current_10arcmin_growingDegDays0,current_10arcmin_growingDegDays5,current_10arcmin_maxTempColdest,current_10arcmin_minTempWarmest,current_10arcmin_monthCountByTemp10,current_10arcmin_PETColdestQuarter,current_10arcmin_PETDriestQuarter,current_10arcmin_PETseasonality,current_10arcmin_PETWarmestQuarter,current_10arcmin_PETWettestQuarter,current_10arcmin_thermicityIndex,OrganicCarbon_10min,PhCaCL_10min,slope_10deg
Aepyceros_melampus,FALSE,209.783964365256,137.734966592428,65.8530066815145,2270.40534521158,308.200445434298,95.0044543429844,213.195991091314,229.997772828508,179.69710467706,234.507795100223,177.298440979955,694.008908685969,139.507795100223,9.6347438752784,77.6748329621381,349.759465478842,39.6280623608018,270.518930957684,51.0690423162584,2.68619245786561,133.182628062361,24.0378619153675,1685.07879815388,63.5879284916052,-0.583853005699166,6.62516707487255,120.019287109375,90736.9576837417,90736.9576837417,246.632516703786,170.88864142539,12,111.565657074043,117.196637295933,2482.91254260227,165.98055690434,157.617171510556,522.936525612472,115.712694877506,60.4476614699332,0.0100230884391164
Alcelaphus_buselaphus,FALSE,247.47619047619,137.330687830688,64.5383597883598,2177.21296296296,353.271164021164,138.388888888889,214.882275132275,244.993386243386,228.265873015873,275.973544973545,221.350529100529,813.060846560847,193.133597883598,4.18650793650794,95.8201058201058,487.555555555556,18.4748677248677,175.34126984127,263.740740740741,3.46833600864374,139.361111111111,21.9537037037037,1860.68636245324,73.9468649304102,-0.560595234816588,6.5153439059144,135.593716659243,106998.476190476,106998.476190476,280.829365079365,214.218253968254,11.9259259259259,131.706310156161,145.524471166903,2235.4944178667,179.34703774427,146.597858469322,636.94708994709,127.687830687831,58.8756613756614,0.00606405109611221
Alcelaphus_caama,FALSE,213,173.642857142857,58.0714285714286,4153.85714285714,343.428571428571,46.2142857142857,297.214285714286,247.928571428571,155.214285714286,257.785714285714,153.785714285714,363.642857142857,91.2142857142857,0.142857142857143,104,241,2,168.285714285714,2.07142857142857,3.28759001088994,141.785714285714,24.7857142857143,1886.7571585519,80.7878554207938,-0.807857138769967,11.5714285714286,42.8078573771885,92122.7142857143,92122.7142857143,245.214285714286,182,12,107.249286106655,109.005714961461,4287.97284807478,203.542857578823,178.930713108608,504.428571428571,73.2142857142857,60.5714285714286,0.00280004166415893
Alces_alces,FALSE,40.1477707006369,70.7949044585987,25.031847133758,7302.50828025478,189.631847133758,-89.3783439490446,279.010191082803,101.551592356688,-5.67515923566879,136.166878980892,-51.0101910828025,808.183439490446,97.9872611464968,40.1452229299363,27.8777070063694,271.607643312102,133.282802547771,228.687898089172,182.528662420382,3.15242473296481,113.770700636943,11.2343949044586,501.338293340404,30.7862292927542,0.285477707556384,20.4421018527572,112.725159206512,15903.3076433121,10490.1477707006,-27.2496815286624,102.943949044586,3.47261146496815,3.71442038321951,30.5588917671495,4052.86018299662,96.3996177916314,58.1213120308651,-50.7089171974522,752.857324840764,43.5522959183673,0.0194053755649364
Alces_americanus,FALSE,24.8125,124.709134615385,31.0649038461538,9428.03605769231,231.036057692308,-166.987980769231,398.024038461538,68.1382211538462,-9.99759615384615,143.677884615385,-97.8617788461538,774.978365384615,88.6009615384615,43.9182692307692,24.7704326923077,246.375,144.789663461538,214.888221153846,177.102163461538,2.97841880746707,114.788206979543,13.0878459687124,764.550047177535,40.5953726513813,-0.0285937501019082,26.8926682208593,72.4081970132314,14882.4573317308,10952.2734375,-54.046875,85.8137019230769,3.484375,10.8658533910773,53.7460939418525,5120.40869287344,132.659183144569,82.640432744072,-77.4278846153846,542.929001203369,50.8712394705175,0.0307806160944669
Ammotragus_lervia,FALSE,150.738317757009,109.735202492212,39.6978193146417,5714.48909657321,301.931464174455,28.1370716510903,273.794392523364,145.906542056075,224.021806853583,227.644859813084,82.1059190031153,464.669781931464,66.7538940809969,10.5607476635514,41.2741433021807,168.841121495327,55.4953271028037,69.4267912772586,118.07476635514,3.08279624028401,134.663551401869,23.4236760124611,1137.97096685011,67.3174448458948,-0.582866037560401,16.3758566966309,59.2864168266362,65221.4579439252,64762.1448598131,124.514018691589,178.252336448598,8.75700934579439,40.7535201099431,157.260126844745,4868.97713064033,147.203862222927,73.8866046893634,303.963395638629,388.570093457944,73.0436137071651,0.0332320005656366
Antidorcas_marsupialis,FALSE,198.485436893204,159.148867313916,59.3398058252427,3735.28478964401,317.909385113269,49.378640776699,268.53074433657,231.766990291262,148.650485436893,239.087378640777,145.485436893204,313.181229773463,75.7411003236246,0.922330097087379,100.368932038835,198.822006472492,4.16828478964401,145.906148867314,5.16181229773463,3.545292251441,138.611650485437,18.1521035598706,1729.71550368028,82.2289316862532,-0.821844659673358,10.4535598585135,38.981391476196,85820.9708737864,85820.9708737864,226.220064724919,169.190938511327,11.7928802588997,96.9645950663051,101.283721355944,4032.27679660637,185.813430712061,167.560356201863,468.959546925566,55.5728155339806,63.294498381877,0.00740826918330664
Antilocapra_americana,FALSE,81.167619047619,161.00380952381,40.1390476190476,8301.50857142857,293.352380952381,-105.609523809524,398.961904761905,135.540952380952,51.7238095238095,189.205714285714,-24.007619047619,409.598095238095,63.6361904761905,14.9219047619048,47.6704761904762,169.413333333333,52.6228571428571,137.910476190476,73.6933333333333,2.71928245886806,140.438095238095,19.327619047619,1129.46853213356,67.414666755313,-0.609314285247099,23.8386666397821,36.7294475628081,33025.2114285714,26299.8628571429,37.0304761904762,115.39619047619,5.32380952380952,29.9186094611032,82.4632576415652,5890.1766843378,171.604572085426,133.378952854701,77.5385714285714,130.340952380952,64.7085714285714,0.0199728301584504
Antilope_cervicapra,FALSE,259.619047619048,131.380952380952,42.6190476190476,5338.61904761905,405.52380952381,96.7619047619048,308.761904761905,287.238095238095,237.238095238095,323.47619047619,184.571428571429,670.952380952381,224.809523809524,1.47619047619048,134.904761904762,530.904761904762,12.4761904761905,159,23.0952380952381,2.34674918651581,139.095238095238,23.6666666666667,1750.27476864769,81.2757143293108,-0.613809530224119,16.4833332924616,74.9904754275367,112240.285714286,112240.285714286,247.857142857143,272.952380952381,12,100.901429675874,148.484286353702,4120.83376348586,196.724283854167,140.42523810977,608.297619047619,86.5714285714286,70.4285714285714,0.00288267597837451
Axis_axis,FALSE,255.354838709677,105.741935483871,51.4301075268817,3658.5376344086,364.483870967742,136.344086021505,228.139784946237,270.182795698925,237.731182795699,297.903225806452,204,1268.15053763441,353.172043010753,6.80645161290323,112.709677419355,847.741935483871,35.5806451612903,322.247311827957,142.731182795699,3.18404181030664,136.622222222222,25.7888888888889,1582.06925193212,71.005376344086,-0.197311828653979,11.0516129270677,240.087527777559,110367.870967742,110367.870967742,257.193548387097,253.978494623656,12,101.82462335402,130.198387556179,2989.99214221585,165.772580054498,123.865053730626,629.126344086022,141.922222222222,62.2888888888889,0.00911227693735451
