"","inertia","OMI","Tol","Rtol","omi","tol","rtol"
"Aepyceros_melampus",28.9387308189182,21.271711173468,0.322024732122536,7.34499491332774,73.5,1.1,25.4
"Alcelaphus_buselaphus",43.4457649239783,33.0809801819924,2.1411733246953,8.22361141729058,76.1,4.9,18.9
"Alcelaphus_caama",34.4146875781458,29.4131249633206,0.167905125159079,4.83365748966611,85.5,0.5,14
"Alces_alces",28.7807924417482,19.3953830010936,1.06613180228347,8.31927763837111,67.4,3.7,28.9
"Alces_americanus",26.2156649537548,12.4343070516171,0.869830116778361,12.9115277853593,47.4,3.3,49.3
"Ammotragus_lervia",13.8898651453606,10.5268779382415,0.144145091931937,3.21884211518708,75.8,1,23.2
"Antidorcas_marsupialis",29.5990080399169,23.1098885382015,0.603436701007283,5.88568280070816,78.1,2,19.9
"Antilocapra_americana",18.5570956673558,8.39886747952158,0.303596472065246,9.85463171576902,45.3,1.6,53.1
"Antilope_cervicapra",41.9951178761086,37.3614253997879,0.221816154397381,4.41187632192328,89,0.5,10.5
"Axis_axis",50.7382391000592,36.8481241563406,0.842087600283407,13.0480273434352,72.6,1.7,25.7
"Axis_porcinus",69.3533454450448,61.8571710686413,2.59767878573702,4.89849559066647,89.2,3.7,7.1
"Bison_bison",26.8851353466119,20.3956431294835,0.936398203773329,5.55309401335515,75.9,3.5,20.7
"Bison_bonasus",14.8282779618189,9.65884146891556,0.162812521811348,5.006623971092,65.1,1.1,33.8
"Blastocerus_dichotomus",25.20372364994,23.0720886654781,0.108138074234207,2.02349691022767,91.5,0.4,8
"Bos_frontalis_gaurus",68.722440107029,42.251546137911,5.83362943709851,20.6372645320195,61.5,8.5,30
"Bos_grunniens_mutus",38.8916268325536,16.4138590867352,1.19570940657185,21.2820583392466,42.2,3.1,54.7
"Bos_javanicus",52.7781394659209,43.6811008408935,0.466390167539394,8.63064845748793,82.8,0.9,16.4
"Bos_taurus_primigenius",10.9972419342896,8.46304521683433,0.157024637312785,2.37717208014244,77,1.4,21.6
"Boselaphus_tragocamelus",42.8144260880977,38.6099517450038,0.170425918189572,4.0340484249044,90.2,0.4,9.4
"Bubalus_bubalis_arnee",82.7537171176771,62.0473332368624,5.23717704633056,15.4692068344842,75,6.3,18.7
"Budorcas_taxicolor",30.3733942650695,13.9789957426686,3.92350227816267,12.4708962442382,46,12.9,41.1
"Camelus_bactrianus",24.627848975077,15.5156349902644,0.685164668913332,8.42704931589929,63,2.8,34.2
"Camelus_dromedarius",39.7005551451584,28.1566392775298,0.452764586914894,11.0911512807137,70.9,1.1,27.9
"Capra_hircus_aegagrus",31.7156880500379,21.5579198805692,0.674811568955383,9.48295660051329,68,2.1,29.9
"Capra_ibex",52.7134462506072,18.3779624878173,9.21732736215593,25.118156400634,34.9,17.5,47.7
"Capra_nubiana",30.0649669465899,27.0396371894467,0.324424056500345,2.70090570064285,89.9,1.1,9
"Capra_pyrenaica",12.7585279798843,7.67101474126902,0.283386072511084,4.80412716610423,60.1,2.2,37.7
"Capra_sibirica",31.0927898109344,22.796437544616,0.944454393805096,7.35189787251327,73.3,3,23.6
"Capreolus_capreolus",25.6566022433493,13.1321191956011,1.74389046981589,10.7805925779323,51.2,6.8,42
"Capreolus_pygargus",30.2130878183466,14.5662741398114,2.93526291973932,12.7115507587959,48.2,9.7,42.1
"Capricornis_crispus",32.9752205313053,27.0690197465089,1.05534296665071,4.85085781814572,82.1,3.2,14.7
"Capricornis_swinhoei",107.37388386933,96.1459699183364,1.91917646792498,9.30873748306887,89.5,1.8,8.7
"Catagonus_wagneri",27.7618154585046,27.2732719092567,0.0630168044427882,0.425526744805119,98.2,0.2,1.5
"Cephalophus_dorsalis",118.816563755023,115.04490599825,1.37138370221515,2.40027405455747,96.8,1.2,2
"Cephalophus_jentinki",123.63991456625,121.221481083024,0.688462424630423,1.7299710585954,98,0.6,1.4
"Cephalophus_natalensis",25.14623065294,20.5765678510721,0.15461692362228,4.41504587824559,81.8,0.6,17.6
"Cephalophus_niger",100.598033234657,88.8149492532944,4.48996760559358,7.29311637576897,88.3,4.5,7.2
"Cephalophus_nigrifrons",51.2397425090118,40.4522706358678,0.86175432738074,9.92571754576331,78.9,1.7,19.4
"Cephalophus_rufilatus",53.7716282681031,50.7410914161959,0.138434312467104,2.89210253944006,94.4,0.3,5.4
"Cephalophus_silvicultor",103.022669310207,87.5332020243705,5.80942505548956,9.68004223034738,85,5.6,9.4
"Cephalophus_zebra",123.703754434582,121.573689965142,0.550851741183917,1.57921272825679,98.3,0.4,1.3
"Ceratotherium_simum",20.2213352807382,15.9263437377834,0.201671265784728,4.09332027717,78.8,1,20.2
"Cervus_elaphus",47.6304898344177,24.2893796388827,8.74671432814663,14.5943958673883,51,18.4,30.6
"Cervus_nippon",29.5124115625304,22.4789652684546,1.47988712592247,5.55355916815334,76.2,5,18.8
"Connochaetes_gnou",14.0005581030252,9.50250147208351,0.378371625269908,4.11968500567174,67.9,2.7,29.4
"Connochaetes_taurinus",28.1388587773024,19.746693934192,0.420104281411719,7.97206056169869,70.2,1.5,28.3
"Dama_dama",21.2366125716034,14.0909225497612,0.64273806150365,6.50295196033848,66.4,3,30.6
"Damaliscus_korrigum",49.4421394610073,41.6994867956569,1.82771446569666,5.91493819965372,84.3,3.7,12
"Damaliscus_lunatus",34.9218146721245,25.1233602084452,0.840900747179518,8.95755371649979,71.9,2.4,25.7
"Damaliscus_pygargus",15.4721727604048,8.16274405626123,0.249016045287935,7.06041265885562,52.8,1.6,45.6
"Diceros_bicornis",33.2176693766546,22.3099006350047,0.470934831584202,10.4368339100658,67.2,1.4,31.4
"Equus_burchellii",29.6107567090905,20.5634518815478,0.547157347990606,8.50014747955209,69.4,1.8,28.7
"Equus_grevyi",40.0536598911619,35.0068707414391,0.28840014712504,4.75838900259778,87.4,0.7,11.9
"Equus_hemionus",26.7964803004757,22.8457474588091,1.54950855544104,2.40122428622556,85.3,5.8,9
"Equus_kiang",31.9820687109965,26.1736856753373,0.294485834848808,5.51389720081042,81.8,0.9,17.2
"Equus_przewalskii",22.562222316066,18.2725961206854,0.111574156014029,4.17805203936652,81,0.5,18.5
"Equus_zebra",20.8850243224387,14.3786345187828,0.71593460896636,5.7904551946895,68.8,3.4,27.7
