,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Aspect_5deg,BulkDensity_5min,ClayPercentage_5min,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex,OrganicCarbon_5min,PhCaCL_5min,Slope_5deg,IsDomesticated
Aepyceros_melampus,0.833322675,0.806670093,1.306447465,-1.131827746,0.424050879,0.893550628,-0.983720736,0.733444868,0.727209172,0.446630622,0.95823608,-0.012405097,0.187457896,-0.329235253,0.44811875,0.123505559,-0.293721173,0.321430629,-0.354785299,0.000192663,0.418709927,0.59454162,1.005724689,0.234073724,-0.662283938,-1.141677955,0.002551222,0.861668685,0.887143667,1.022246896,0.319660621,1.118478477,1.218586054,0.61536244,-0.958139915,0.494810928,0.909772132,0.901810954,-0.357523464,0.1417722,-0.25331558,FALSE
Alcelaphus_buselaphus,1.101110637,0.772876805,1.237242747,-1.150015535,0.922123363,1.115842703,-0.974986904,0.897790718,0.96665469,0.928029442,1.178192106,0.167264874,0.672956259,-0.502673786,0.98682143,0.592904689,-0.499188632,-0.190369381,0.674526514,0.086205319,0.597791383,0.367427741,1.295402553,0.648250815,-0.605096243,-1.149737015,0.085049079,1.226976021,1.242307637,1.18096326,0.895003722,1.101738745,1.599291412,1.011848637,-1.104511783,0.778134919,0.662391601,1.214151492,-0.351755838,0.015972011,-0.379435559,FALSE
Alcelaphus_caama,0.852563077,2.017097611,0.921772118,-0.777117552,0.807745171,0.647696178,-0.390007592,0.927541648,0.603659157,0.710329216,0.839150911,-0.489639234,-0.233962278,-0.634722051,1.212568374,-0.232734252,-0.659845579,-0.214237972,-0.592211728,0.216121326,0.734116712,0.861919779,1.334472416,0.917183617,-1.153821749,-0.806527644,-0.381748551,0.88912684,0.913839401,1.012116627,0.464357366,1.118478477,1.113820508,0.479895434,0.099754438,1.276532771,1.338261846,0.849154077,-0.420102971,0.211370426,-0.458626944,FALSE
Alces_alces,-0.376549906,-1.524166511,-0.696295073,-0.174754519,-0.885631947,-0.046107238,-0.506896114,-0.70972023,-0.19690943,-0.693765424,-0.186598701,0.160213949,-0.177697524,0.67648279,-1.020579748,-0.133750513,0.632998218,0.099853229,0.280167022,0.056646548,-0.455826716,-0.601288536,-0.991497016,-1.077257537,1.285733481,-0.192693648,-0.032925863,-0.826622438,-0.871641304,-0.267924094,-0.579898253,-0.730410951,-0.865120156,-0.65706179,-0.021738234,-0.991776192,-1.180359018,-0.672139703,0.574690448,-1.30471922,0.144679479,FALSE
Alces_americanus,-0.489199508,0.393027259,-0.38447938,0.222141312,-0.427882453,-0.441972554,0.345739504,-1.081019663,-0.225901789,-0.615355511,-0.420605221,0.097080174,-0.27045025,0.784473966,-1.106822283,-0.22872894,0.727883379,0.011934136,0.246301819,0.010701086,-0.353262708,-0.400451371,-0.543077473,-0.654989663,0.556466289,0.241452017,-0.240837696,-0.851375243,-0.864161029,-0.391646939,-0.827882094,-0.740444036,-0.726299739,-0.330596673,0.614819691,-0.203269613,-0.648036549,-0.74743826,0.215812737,-0.676904941,0.64470948,FALSE
Ammotragus_lervia,0.384824722,-0.187271998,0.007870884,-0.473675212,0.322269448,0.535736079,-0.545879282,-0.30192575,0.928346123,0.329600432,0.461082605,-0.319013199,-0.449321666,-0.263074719,-0.67051777,-0.468774228,-0.094361026,-0.729744698,-0.01033041,-0.224524751,0.405922647,0.486590338,0.058818341,0.36612701,-0.604927235,-0.470073957,-0.2901046,0.248897576,0.27958657,0.428161754,0.375181491,0.367150928,-0.167275923,1.162916469,0.443245534,0.071185399,-0.925796228,0.269898886,-0.034484387,1.186308799,0.95513474,FALSE
Antidorcas_marsupialis,0.753257749,1.531444718,0.9842982,-0.85437137,0.533005702,0.664016467,-0.590352894,0.752764075,0.571411027,0.502184967,0.799786969,-0.568920507,-0.378262587,-0.608060175,1.124334301,-0.381151868,-0.638801253,-0.341353535,-0.578724319,0.276218549,0.597440399,0.01489514,1.077783031,0.982864564,-1.189350046,-0.880480378,-0.403747938,0.752620268,0.781123161,0.925702804,0.301768787,1.072431094,0.927868687,0.36688332,-0.043912367,0.915673652,1.114117505,0.75546057,-0.454139887,0.3484414,-0.313046441,FALSE
Antilocapra_americana,-0.075024415,1.616734882,0.046250001,0.011710502,0.276250999,-0.122350077,0.35053729,-0.325850202,0.082099965,-0.066492165,-0.045025736,-0.434582418,-0.490038766,-0.166309002,-0.426185547,-0.482238522,-0.17636529,-0.388550954,-0.256011174,-0.193014541,0.685668834,0.04242749,0.075078359,0.412403667,-0.736752704,0.037959165,-0.418114476,-0.432210119,-0.516220667,0.03950474,-0.403419228,-0.317094577,-0.35755433,0.082743502,1.071491278,0.632043446,0.395077788,-0.308984197,-0.339285903,0.450028701,0.184474999,FALSE
Antilope_cervicapra,1.186508836,0.561417164,0.159897909,-0.551695649,1.496212495,0.9033972,-0.305367295,1.371393351,0.986698672,1.477950723,0.993480496,-0.050269266,0.951010485,-0.586038251,2.142262031,0.722647951,-0.556726237,-0.276408631,-0.492376446,-0.445261033,0.615681704,0.519245472,1.1061806,0.924893943,-0.73097685,-0.469223054,-0.224526518,1.343271628,1.355374103,1.024864458,1.672145936,1.118478477,0.999522022,0.982381105,0.003040678,1.144383993,0.532449655,1.133915217,-0.410175735,0.933295441,-0.467217741,FALSE
Axis_axis,1.138705433,-0.194544158,0.508166594,-0.823813921,1.083527771,1.06071444,-0.793198544,1.179620468,0.992702057,1.190265545,1.062375507,0.849762267,2.174783998,-0.416822783,1.587194741,1.874293644,-0.329368143,0.636312245,-0.005606978,-0.034738549,0.452221816,0.648290543,0.846274368,0.6205949,0.206542938,-0.78836633,0.543320693,1.279477166,1.293351,1.052764316,1.406274569,1.118478477,1.00686737,0.79589702,-0.553691783,0.552719639,0.217273716,1.160852082,-0.323190928,0.353985041,-0.124502666,FALSE
Axis_porcinus,1.050988808,-0.201612028,0.232235123,-0.672677299,0.809615615,0.90020685,-0.744159192,1.307213213,0.703822588,1.068904648,0.92154584,2.020691463,3.421937076,-0.420570436,1.227370168,3.356441045,-0.291151561,3.744075534,-0.388082256,0.810505094,0.420989142,0.077593891,0.672232394,0.459081119,1.159594211,-0.696451739,0.90675929,1.159071828,1.176288917,0.92160093,1.256201637,1.118478477,0.712195598,0.122374328,-0.429690646,0.216019693,0.545373046,1.008800804,-0.319379071,-0.239810355,-0.037563011,FALSE
Bison_bison,-0.624943768,1.431590316,-0.060876544,0.056194729,-0.464533802,-0.488705423,0.387843946,-1.799835565,0.068900492,-0.934483019,-0.443857478,-0.163451365,-0.466189339,0.54551096,-1.310564069,-0.45372492,0.52841139,-0.327718589,0.167370501,-0.169664378,0.650326228,-0.347179999,-0.500713381,-0.193776327,0.104925564,0.07345389,-0.333567153,-0.961429017,-0.964948101,-0.360182767,-1.470358954,-0.989385907,-0.718180634,0.100057599,0.713586825,-0.066124494,-0.890393414,-0.949123335,-0.364855452,0.249413088,0.748555647,FALSE
