"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",81085,"Capra hircus",-0.63306,-90.38306
"2",81085,"Capra hircus",-34.066029,149.27677
"3",81085,"Capra hircus",-31.389604,146.717212
"4",81085,"Capra hircus",-34.367694,150.21779
"5",81085,"Capra hircus",-34.145001,146.210484
"6",81085,"Capra hircus",-32.340838,149.809726
"7",81085,"Capra hircus",-32.42547,149.837385
"8",81085,"Capra hircus",-32.407486,149.751876
"9",81085,"Capra hircus",-32.398149,149.841811
"10",81085,"Capra hircus",-34.134102,146.198656
"11",81085,"Capra hircus",-33.100821,149.393405
"12",81085,"Capra hircus",-34.095909,146.219613
"13",81085,"Capra hircus",-33.198187,145.120773
"14",81085,"Capra hircus",-33.991917,146.187738
"15",81085,"Capra hircus",-34.503633,143.46413
"16",81085,"Capra hircus",-31.925196,141.514329
"17",81085,"Capra hircus",-30.71136,143.558899
"18",81085,"Capra hircus",-30.233454,150.268324
"19",81085,"Capra hircus",-31.838558,150.261157
"20",81085,"Capra hircus",-33.596719,142.855057
"21",81085,"Capra hircus",-30.746549,149.420451
"23",81085,"Capra hircus",-30.532681,145.714869
"24",81085,"Capra hircus",-30.522179,145.657687
"25",81085,"Capra hircus",-30.573513,145.738314
"26",81085,"Capra hircus",-30.559088,145.739543
"28",81085,"Capra hircus",-30.506669,145.777734
"29",81085,"Capra hircus",-30.237828,150.084356
"30",81085,"Capra hircus",-31.745464,150.011183
"31",81085,"Capra hircus",-31.733276,150.010519
"32",81085,"Capra hircus",-28.943363,152.143246
"33",81085,"Capra hircus",-29.03339,152.256496
"34",81085,"Capra hircus",-31.256273,152.155609
"35",81085,"Capra hircus",-28.944266,152.143238
"36",81085,"Capra hircus",-31.488071,151.545021
"37",81085,"Capra hircus",-29.219905,144.537696
"38",81085,"Capra hircus",-30.853249,144.869075
"39",81085,"Capra hircus",-30.748837,144.920237
"40",81085,"Capra hircus",-30.915304,144.920263
"41",81085,"Capra hircus",-30.915293,145.086629
"42",81085,"Capra hircus",-30.748796,145.253082
"43",81085,"Capra hircus",-30.915278,145.253097
"44",81085,"Capra hircus",-32.746579,142.5836
"45",81085,"Capra hircus",-32.913068,142.750313
"46",81085,"Capra hircus",-32.746482,142.750175
"48",81085,"Capra hircus",-33.564783,142.860707
"49",81085,"Capra hircus",-33.745791,142.918018
"50",81085,"Capra hircus",-33.579134,142.91777
"51",81085,"Capra hircus",-32.013006,142.894775
"52",81085,"Capra hircus",-33.079399,142.917079
"53",81085,"Capra hircus",-32.912915,142.916882
"54",81085,"Capra hircus",-33.04558,142.922407
"55",81085,"Capra hircus",-32.915791,142.940916
"56",81085,"Capra hircus",-32.970717,142.933033
"57",81085,"Capra hircus",-32.889466,142.944392
"58",81085,"Capra hircus",-30.083521,143.914584
"59",81085,"Capra hircus",-30.132931,143.945782
"60",81085,"Capra hircus",-34.432719,142.473884
"61",81085,"Capra hircus",-35.691579,149.270132
"62",81085,"Capra hircus",-33.388044,141.057131
"63",81085,"Capra hircus",-33.43178,141.101115
"64",81085,"Capra hircus",-33.395861,141.16256
"65",81085,"Capra hircus",-33.434765,141.25331
"66",81085,"Capra hircus",-33.400293,141.297354
"67",81085,"Capra hircus",-30.50244,145.582936
"69",81085,"Capra hircus",-30.506094,145.587051
"71",81085,"Capra hircus",-30.5558,145.594672
"72",81085,"Capra hircus",-30.628358,145.63014
"75",81085,"Capra hircus",-30.490366,145.635203
