"","taxon_id","taxon_name","decimal_latitude","decimal_longitude"
"1",80280,"Tapirus pinchaque",0.996444,-77.127972
"2",80280,"Tapirus pinchaque",-0.298751,-78.12791
"3",80280,"Tapirus pinchaque",-0.433,-78.483
"4",80280,"Tapirus pinchaque",-0.354275,-78.01363
"5",80280,"Tapirus pinchaque",4.658389,-75.42931
"6",80280,"Tapirus pinchaque",2.221482,-76.277292
"7",80280,"Tapirus pinchaque",1.87936,-76.69865
"9",80280,"Tapirus pinchaque",-1.21694,-78.25005
"10",80280,"Tapirus pinchaque",1.833333,-76.583333
"11",80280,"Tapirus pinchaque",-0.216667,-78.25
"12",80280,"Tapirus pinchaque",1.947139,-76.396675
"14",80280,"Tapirus pinchaque",-3.101066,-78.643011
"15",80280,"Tapirus pinchaque",-0.474797,-77.975943
